Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
I2,14/09/02,Ancona,Palermo,4,2,H,3,1,H,2.25,2.75,3.2,2.35,2.7,3.15,2.3,2.6,2.8,,,,2.2,2.75,3.2,2.35,2.65,3,1.83,1.8
I2,14/09/02,Bari,Ascoli,2,0,H,1,0,H,1.727,2.875,5,1.7,2.85,5.65,1.65,2.7,4.8,,,,1.667,2.875,5.5,1.7,2.7,5.5,1.8,1.8
I2,14/09/02,Cagliari,Napoli,2,2,D,1,2,A,2.375,2.7,3,2.4,2.65,3.1,2.3,2.6,2.8,,,,2.375,2.7,3,2.3,2.6,3.15,1.92,1.7
I2,14/09/02,Catania,Genoa,3,2,H,3,0,H,2.25,2.75,3.2,2.25,2.65,3.4,2.2,2.6,3,,,,2.25,2.7,3.2,2.1,2.65,3.5,1.9,1.7
I2,14/09/02,Cosenza,Vicenza,2,1,H,1,1,D,2.375,2.7,3,2.5,2.62,3,2.4,2.6,2.7,,,,2.4,2.625,3,2.45,2.6,2.9,1.95,1.65
I2,14/09/02,Salernitana,Ternana,0,3,A,0,1,A,1.833,2.875,4.333,1.8,2.85,4.75,1.75,2.7,4.2,,,,1.8,2.875,4.5,1.75,2.8,4.75,1.8,1.82
I2,14/09/02,Sampdoria,Lecce,4,2,H,1,1,D,1.727,2.875,5,1.75,2.85,5.15,1.75,2.7,4.2,,,,1.8,2.875,4.5,1.8,2.7,4.75,1.8,1.8
I2,14/09/02,Siena,Messina,1,0,H,0,0,D,2,2.75,3.8,2,2.65,4.25,1.9,2.6,3.8,,,,2,2.75,3.75,1.85,2.65,4.6,1.95,1.65
I2,14/09/02,Triestina,Venezia,1,2,A,0,1,A,2.1,2.75,3.5,2.1,2.7,3.75,2.1,2.6,3.3,,,,2.1,2.75,3.4,2.2,2.7,3.2,1.9,1.7
I2,14/09/02,Verona,Livorno,0,1,A,0,1,A,1.727,2.875,5,1.82,2.85,5.15,1.7,2.7,4.4,,,,1.667,2.875,5.5,1.6,3,5.5,1.85,1.75
I2,21/09/02,Ascoli,Sampdoria,0,0,D,0,0,D,3,2.7,2.375,3.22,2.6,2.3,3,2.5,2.25,,,,3,2.7,2.375,3,2.7,2.25,1.75,1.85
I2,21/09/02,Genoa,Bari,0,0,D,0,0,D,2.1,2.75,3.5,2.15,2.65,3.5,2.1,2.6,3.2,,,,2.2,2.75,3.25,2.2,2.7,3.1,1.85,1.75
I2,21/09/02,Lecce,Salernitana,2,1,H,0,0,D,1.667,3,5,1.68,2.9,5.3,1.6,2.8,5.2,,,,1.7,3,5,1.65,3,4.8,1.7,1.93
I2,21/09/02,Livorno,Triestina,2,0,H,0,0,D,1.8,2.8,4.5,1.8,2.75,4.75,1.8,2.6,4.2,,,,1.8,2.875,4.5,1.7,2.8,5,1.75,1.85
I2,21/09/02,Messina,Catania,3,3,D,1,1,D,2.1,2.75,3.5,2.15,2.6,3.6,2.1,2.5,3.3,,,,2.2,2.7,3.3,2.1,2.6,3.5,1.95,1.65
I2,21/09/02,Napoli,Cosenza,1,2,A,1,2,A,1.571,3.1,6,1.52,3.05,7,1.5,3,5.6,,,,1.571,3.1,6,1.5,3.1,6.25,1.9,1.7
I2,21/09/02,Palermo,Siena,1,0,H,1,0,H,1.615,2.875,6.5,1.6,3.1,5.4,1.6,2.8,5.2,,,,1.667,2.875,5.5,1.65,3,4.8,1.85,1.75
