Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
I2,24/08/01,Genoa,Napoli,0,2,A,0,0,D,,,,2,2.6,3.3,,,,1.9,2.65,4.3
I2,26/08/01,Ancona,Reggina,1,0,H,1,0,H,,,,,,,2.3,2.5,3.4,2.3,2.6,3.15
I2,26/08/01,Cagliari,Messina,0,0,D,0,0,D,,,,1.5,3,5.5,1.44,3.4,7,1.35,3.5,9
I2,26/08/01,Como,Crotone,1,1,D,0,0,D,,,,1.9,2.7,3.5,1.91,2.62,4.5,2,2.5,4.2
I2,26/08/01,Cosenza,Cittadella,2,1,H,0,0,D,,,,1.65,2.7,4.5,1.67,2.8,6,1.7,2.8,5.2
I2,26/08/01,Empoli,Palermo,5,3,H,2,0,H,,,,1.6,2.8,4.6,1.62,2.9,6,1.6,2.9,6
I2,26/08/01,Modena,Bari,2,0,H,1,0,H,,,,2.6,2.6,2.5,2.7,2.5,2.8,2.65,2.6,2.65
I2,26/08/01,Salernitana,Sampdoria,2,0,H,0,0,D,,,,2.5,2.6,2.6,2.1,2.6,3.75,2.1,2.6,3.6
I2,26/08/01,Ternana,Siena,3,0,H,1,0,H,,,,1.6,2.8,4.6,1.44,3.25,8,1.55,3,6.5
I2,26/08/01,Vicenza,Pistoiese,1,1,D,0,0,D,,,,1.4,3,7,,,,1.35,3.7,8
I2,02/09/01,Bari,Empoli,2,2,D,1,1,D,,,,1.9,2.5,4,1.8,2.7,5,2,2.75,3.6
I2,02/09/01,Cittadella,Salernitana,4,4,D,3,2,H,,,,2.5,2.5,2.7,2.4,2.62,3,2.55,2.7,2.65
I2,02/09/01,Crotone,Modena,1,2,A,0,0,D,,,,1.8,2.6,4.4,1.8,2.7,5,1.8,2.75,4.6
I2,02/09/01,Messina,Ternana,1,1,D,0,0,D,,,,2.5,2.5,2.7,2.7,2.5,2.8,2.5,2.5,3.2
I2,02/09/01,Napoli,Ancona,1,2,A,1,1,D,,,,1.5,3,5.5,1.5,3.25,6.5,1.5,3.1,6.75
I2,02/09/01,Pistoiese,Genoa,0,1,A,0,0,D,,,,2.3,2.5,2.9,2.5,2.5,3.1,2.35,2.55,3.1
I2,02/09/01,Reggina,Como,4,1,H,1,0,H,,,,1.6,2.8,5.2,1.57,2.9,7,1.55,2.95,6.5
I2,02/09/01,Sampdoria,Cosenza,1,1,D,1,1,D,,,,1.6,2.8,5.2,1.5,3.25,6.5,1.6,2.95,5.75
I2,02/09/01,Siena,Vicenza,2,4,A,2,1,H,,,,2.5,2.5,2.7,2.7,2.5,2.8,2.6,2.6,2.7
I2,03/09/01,Palermo,Cagliari,0,0,D,0,0,D,,,,2.4,2.5,2.8,,,,2.35,2.55,3.1
I2,09/09/01,Ancona,Siena,0,0,D,0,0,D,,,,1.65,2.6,5.2,,,,1.65,2.85,5.5
I2,09/09/01,Cagliari,Bari,1,2,A,1,2,A,,,,1.9,2.6,3.7,,,,1.9,2.75,4
I2,09/09/01,Cosenza,Ternana,2,2,D,2,0,H,,,,2.3,2.4,3.1,,,,2.3,2.5,3.3
I2,09/09/01,Empoli,Messina,2,0,H,0,0,D,,,,1.55,2.8,5.5,,,,1.45,3.25,7
I2,09/09/01,Genoa,Como,2,1,H,1,1,D,,,,1.6,2.8,4.9,,,,1.55,3,6.5
I2,09/09/01,Palermo,Pistoiese,1,0,H,1,0,H,,,,1.8,2.6,4,,,,1.75,2.75,5
I2,09/09/01,Salernitana,Crotone,0,0,D,0,0,D,,,,1.6,2.8,4.9,,,,1.55,3.1,6
I2,09/09/01,Vicenza,Cittadella,2,1,H,1,0,H,,,,1.4,3.2,6.5,,,,1.35,3.75,7.5
I2,10/09/01,Modena,Napoli,4,1,H,2,1,H,,,,2.3,2.6,2.8,,,,2.3,2.65,3.1
I2,10/09/01,Reggina,Sampdoria,2,0,H,1,0,H,,,,2,2.5,3.6,,,,1.9,2.75,4
I2,16/09/01,Como,Salernitana,1,0,H,1,0,H,,,,2.3,2.5,2.9,,,,2.35,2.65,3
I2,16/09/01,Crotone,Cagliari,4,2,H,2,1,H,,,,2.4,2.4,2.9,,,,2.4,2.5,3.1
I2,16/09/01,Messina,Ancona,1,1,D,0,0,D,,,,2.2,2.4,3.3,,,,2.15,2.5,3.65
I2,16/09/01,Pistoiese,Cosenza,0,1,A,0,1,A,,,,2.3,2.4,3,,,,2.3,2.5,3.3
I2,16/09/01,Sampdoria,Empoli,0,2,A,0,2,A,,,,2.1,2.5,3.4,,,,2,2.7,3.7
I2,16/09/01,Siena,Genoa,0,1,A,0,1,A,,,,2.6,2.5,2.6,,,,2.5,2.5,2.95
I2,16/09/01,Ternana,Modena,0,0,D,0,0,D,,,,1.7,2.7,4.4,,,,1.7,2.85,5
I2,17/09/01,Bari,Palermo,2,0,H,1,0,H,,,,1.7,2.7,4.4,,,,1.6,2.9,6
I2,17/09/01,Cittadella,Reggina,0,2,A,0,0,D,,,,,,,,,,2.65,2.6,2.65
I2,23/09/01,Ancona,Crotone,1,0,H,1,0,H,,,,1.8,2.6,4,,,,1.8,2.65,4.75
I2,23/09/01,Cosenza,Como,1,4,A,0,0,D,,,,1.8,2.5,4.2,,,,1.75,2.7,5
I2,23/09/01,Empoli,Napoli,1,0,H,0,0,D,,,,1.8,2.5,4.2,,,,1.7,3,4.5
I2,23/09/01,Genoa,Messina,3,0,H,3,0,H,,,,1.45,3,6,,,,1.5,3.25,6
I2,23/09/01,Modena,Siena,2,2,D,1,2,A,,,,1.7,2.7,4.4,,,,1.65,2.8,5.5
I2,23/09/01,Palermo,Cittadella,3,1,H,1,0,H,,,,1.8,2.6,4,,,,1.7,3,4.5
I2,23/09/01,Reggina,Bari,0,0,D,0,0,D,,,,1.8,2.6,4,,,,1.85,2.6,4.6
I2,23/09/01,Salernitana,Pistoiese,2,1,H,1,0,H,,,,1.5,3,4.5,,,,1.45,3.3,6.75
I2,23/09/01,Vicenza,Ternana,1,1,D,0,0,D,,,,1.85,2.4,4.4,,,,1.75,2.65,5.2
I2,24/09/01,Cagliari,Sampdoria,0,2,A,0,0,D,,,,2.1,2.5,3.3,,,,2,2.65,3.8
I2,28/09/01,Ternana,Genoa,0,0,D,0,0,D,,,,2.1,2.5,3.3,,,,2.1,2.6,3.6
