round,home_team,home_score,away_score,away_team,notes
1,1. FC Köln,2,1,Offenbach,"(Overath 37, Flohe 68 - Becker 75)"
1,Dortmund,1,3,M'gladbach,"(Kurrat 62 p - Laumen 25, 72, Wimmer 67)"
1,Werder,3,2,Hannover,"(Steinmann 24, Görts 36, Piontek 68 - Anders 66,Siemensmeyer 88)"
1,Bayern,2,0,K'lautern,"(Ohlhauser 7, Rehhagel 10)"
1,Stuttgart,1,1,TSV 1860,(Larsson 34 - Rebele 53)
1,B'schweig,1,0,Hamburger,(Ulsaß 25)
1,Duisburg,1,0,Schalke,(Budde 26)
1,Frankfurt,2,0,Hertha,"(Grabowski 45, Nickel 72)"
1,Nürnberg,1,4,Aachen,"(Hermandung 28 - Klostermann 22, 40, 55, C.Walter 63)"
2,Hertha,1,1,Duisburg,(Brungs 67 - Gecks 84)
2,Schalke,0,2,B'schweig,"(Weiß 57, Polywka 72)"
2,Hamburger,2,1,Stuttgart,"(Haaya 58, U.Seeler 86 - Hönig 50)"
2,TSV 1860,0,3,Bayern,"(G.Müller 23, 90 p, Roth 9)"
2,K'lautern,1,0,Werder,(Kentschke 15)
2,Hannover,1,1,Dortmund,(Bandura 28 - Emmerich 43)
2,M'gladbach,2,1,1.FC Köln,"(Wimmer 58, Bleidick 83 - Flohe 87)"
2,Offenbach,2,1,Nürnberg,"(Schönberger 5, Koch 82 - Küppers 75)"
2,Aachen,4,2,Frankfurt,"(Ionescu 18, 45, Claessen 16, 74 - Huberts 12,Bellut 68)"
3,Duisburg,1,1,Frankfurt,(Gecks 7 - Jusufi 61)[Aug 31]
3,1. FC Köln,1,0,Hannover,(Hornig 47)
3,Bayern,5,1,Hamburger,"(G.Müller 28, 57, 84, 88, Starek 62 - U.Seeler 70)"
3,Stuttgart,1,1,Schalke,(Heidmann 4 - Libuda 68)
3,B'schweig,3,3,Hertha,"(Weiß 69, 85, Ulsaß 83 - Kröner 19, 90, Weber 79)"
3,Offenbach,1,1,Aachen,(Nuber 87 - Claessen 52)
3,Nürnberg,4,0,M'gladbach,"(Zaczyk 52, Cebinac 56 p, Struhl 86, Beer 90)[Sep 17]"
3,Dortmund,2,3,K'lautern,"(Lehmann 58, Emmerich 64 - Kentschke 36, Windhausen67, Rehhagel 84)"
3,Werder,4,1,TSV 1860,"(Görts 75, 79, Zebrowski 57, Björnmose 64 -Linsenmaier 51)"
4,Hertha,0,1,Stuttgart,(Handschuh 80)[Sep 4]
4,Frankfurt,0,1,B'schweig,(Weiß 79) [55 Schämer (Frankfurt) m/pen]
4,Schalke,1,2,Bayern,"(Senger 29 - G.Müller 35, Ohlhauser 52)"
4,Hamburger,5,2,Werder,"(U.Seeler 64, 74, G.Dörfel 36, Pötzschke 42,Hönig 90 - Görts 25, A.Schütz 49)"
4,TSV 1860,2,1,Dortmund,"(Patzke 66, Reich 72 - Assauer 33)"
4,K'lautern,4,0,1. FC Köln,"(Friedrick 49, Hasebrink 50, Kentschke 75,Windhausen 83)"
4,Hannover,2,2,Nürnberg,"(Bandura 38, Bohnsack 65 - Beer 5, Nüssing 23)"
4,M'gladbach,4,1,Offenbach,"(Laumen 12, 53, Vogts 7, Köppel 28 - Nuber 62)"
4,Aachen,4,0,Duisburg,"(Hermandung 8, 25, Klostermann 33, Ionescu 80)"
5,1. FC Köln,0,0,TSV 1860,
5,Dortmund,3,1,Hamburger,"(Weist 2, Neuberger 70, Held 72 - H.Schulz 87)[35 Held (Dortmund) m/pen]"
5,Werder,1,3,Schalke,"(Höttges 38 p - Lütkebohmers 3, Kasperski 50,Slomiany 73)"
5,Bayern,3,0,Hertha,"(Starek 8, G.Müller 13, Ohlhauser 30)"
5,Stuttgart,2,0,Frankfurt,"(Handschuh 18, Heidmann 38)"
5,B'schweig,0,0,Duisburg,
5,M'gladbach,2,2,Aachen,"(Netzer 42 p, Ackermann 86 - Klostermann 58,Thelen 65)"
5,Offenbach,1,1,Hannover,(Fern 84 - Skoblar 51)
5,Nürnberg,1,0,K'lautern,"(Cebinac 24) [60 Cebinac (Nürnberg) m/pen,68 Hasebrink (K'lautern) m/pen]"
6,Duisburg,2,0,Stuttgart,"(Pirsig 59, Budde 87)[Sep 14]"
6,Frankfurt,1,1,Bayern,(Grabowski 17 p - G.Müller 29)
6,Hertha,1,0,Werder,(Steffenhagen 13)
6,Schalke,4,1,Dortmund,"(Kasperski 31, 84, Libuda 30, Erlhoff 34 -Neuberger 13)"
6,Hamburger,3,1,1. FC Köln,"(Rühl 7, U.Seeler 30, Hönig 35 - H.Schulz 74)"
6,TSV 1860,2,0,Nürnberg,"(Fischer 8, Zeiser 68)"
6,K'lautern,2,1,Offenbach,"(Windhausen 23, Kentschke 82 - Schmitt 90)"
6,Hannover,2,3,M'gladbach,"(Skoblar 22, Heynckes 35 - Laumen 17, 80,Ackermann 63)"
6,Aachen,1,4,B'schweig,"(Claessen 76 - Weiß 16, 74, Polywka 25, Maas 27)"
7,Offenbach,2,3,TSV 1860,"(Nuber 87, Weida 88 - J.Schütz 61, 90, Fischer 17)[Sep 21]"
7,1. FC Köln,2,0,Schalke,"(Rühl 40, Biskup 65)"
7,Dortmund,2,2,Hertha,"(Sturm 1, Neuberger 80 - Ipta 31, Kröner 78 p)"
7,Werder,0,1,Frankfurt,(Bellut 50)
7,Bayern,2,2,Duisburg,"(G.Müller 18 p, Brenninger 81 - Budde 27,Pavlic 73 p)"
7,Stuttgart,2,2,B'schweig,"(Larsson 25, Heidmann 64 - B.Dörfel 4, Ulsaß 33)"
7,Hannover,5,2,Aachen,"(Skoblar 2, 28, 59, Heynckes 14, 32 - Hoffmann 70 p,Sell 80)(sent off: Pawellek (Aachen, 85))"
7,M'gladbach,4,0,K'lautern,"(Wimmer 28, 69, Netzer 1, Vogts 78)"
7,Nürnberg,0,0,Hamburger,
8,B'schweig,2,3,Bayern,"(Deppe 34, 89 - G.Müller 51, 84, Starek 41)"
8,Duisburg,2,0,Werder,"(Riedl 58, Pavlic 85)"
8,Frankfurt,1,1,Dortmund,(Held 67 - Schämer 57)
8,Hertha,2,1,1. FC Köln,"(Steffenhagen 58, Krafczyk 72 - Rühl 82) [41Thielen (Köln) m/pen](sent off: Blusch (Köln, 62))"
8,Schalke,4,1,Nürnberg,"(Hasil 44, 69, 82, Pohlschmidt 54 - Volkert 48)"
8,Hamburger,3,0,Offenbach,"(U.Seeler 44, H.Schulz 51, Fock 75)"
8,TSV 1860,0,4,M'gladbach,"(Dietrich 64, 81, Vogts 18, Bleidick 60)"
8,K'lautern,0,0,Hannover,[81 Friedrich (K'lautern) m/pen]
8,Aachen,1,3,Stuttgart,"(Mayer 15 - Weidmann 9, 25, Entenmann 55)"
9,1. FC Köln,2,1,Frankfurt,"(Rühl 5, Hornig 51 - Huberts 88)"
9,Dortmund,2,1,Duisburg,"(Weist 17, 82 - Pavlic 61)"
9,Werder,2,1,B'schweig,"(Zebrowski 9, Höttges 57 - Polywka 32)"
9,Bayern,2,0,Stuttgart,"(G.Müller 46, 89)"
9,K'lautern,2,1,Aachen,"(Hasebrink 3, Klimaschewski 83 - Sell 25)"
9,Hannover,3,2,TSV 1860,"(Heynckes 12, 88, Skoblar 78 - J.Schütz 34, 49)"
9,M'gladbach,1,2,Hamburger,"(Netzer 1 p - Hönig 13, U.Seeler 35)"
9,Offenbach,1,0,Schalke,(Siber 42)
9,Nürnberg,3,0,Hertha,"(Volkert 1, Zaczyk 18, Küppers 33)"
10,Stuttgart,2,2,Werder,"(Lorenz 45 o, Gress 75 - Görts 47, Piontek 85)"
10,B'schweig,4,3,Dortmund,"(Weiß 2, Ulsaß 51, B.Dörfel 58, Gerwien 75 -Emmerich 36, Held 41, Neuberger 72)"
