round,home_team,home_score,away_score,away_team,notes
1,Schalke,1,1,M'gladbach,(A.Müller 12 - Herrlich 57)
1,Stuttgart,2,1,Hamburger,"(Elber 50, Bobic 90 - Spörl 72 p)(sent off: Sassen (Hamburger, 90))"
1,Leverkusen,0,1,K'lautern,(Kuntz 73)[Aug 20]
1,Dynamo,1,1,Werder,(Ekström 3 - M.Bode 35)
1,Bayern,3,1,Bochum,"(Scholl 67, Helmer 72, Nerlinger 73 - Aden 87)"
1,Karlsruher,2,0,Freiburg,"(Knup 34, Reich 62)(sent off: Sundermann (Freiburg, 69))"
1,Uerdingen,1,1,Duisburg,(Bittengel 68 - Weidemann 33)
1,Dortmund,4,0,TSV 1860,"(Riedle 44, Chapuisat 45, Franck 76, Zorc 90)"
1,Frankfurt,0,0,1. FC Köln,
2,Freiburg,5,1,Bayern,"(Spanring 11, Kohl 17, Cardoso 18, 58 p, Heinrich68 - Ziege 32)(sent off: Papin (Bayern, 76))"
2,1. FC Köln,1,6,Dortmund,"(Labbadia 18 - Möller 12, 22, 35, Sammer 73, Zorc 81,Povlsen 83)"
2,TSV 1860,0,2,Stuttgart,"(Elber 50, Bobic 68)(sent off: T.Schmidt (TSV, 38))"
2,Bochum,2,0,Dynamo,"(Aden 31, von Ahlen 75)(sent off: Ratke (Dynamo, 36))"
2,K'lautern,1,1,Frankfurt,(Kuntz 82 p - Yeboah 78)[Aug 24]
2,Hamburger,0,0,Uerdingen,
2,Duisburg,2,2,Schalke,"(Közle 50, Osthoff 85 - Herzog 38, Anderbrügge 62)"
2,M'gladbach,2,2,Karlsruher,"(Hochstätter 58, Herrlich 68 - Fink 65, 70)(sent off: Metz (Karlsruher, 83))"
2,Werder,3,2,Leverkusen,"(M.Bode 18, 43, Rufer 33 - Dooley 16, Sergio 52 p)"
3,Dynamo,1,3,Freiburg,"(Dittgen 46 - S.Müller 11, U.Spies 63, Cardoso 83)"
3,Dortmund,2,1,K'lautern,"(Chapuisat 40, Zorc 73 p - Kuntz 82)[Aug 27]"
3,Werder,3,0,Bochum,"(Basler 69, 82, 88)(sent off: M.Schulz (Bochum, 72))"
3,Bayern,3,0,M'gladbach,"(Kreuzer 22, Nerlinger 33, Matthäus 83)"
3,Karlsruher,4,1,Duisburg,"(Tarnat 22, 70, Knup 27, Wück 71 - Közle 38)(sent off: Weidemann (Duisburg, 57))"
3,Schalke,0,1,Hamburger,(Bäron 78)
3,Uerdingen,1,1,TSV 1860,(Laessig 28 - Lilienberg 60)
3,Stuttgart,2,2,1. FC Köln,"(Kögl 24 p, Bobic 37 - Labbadia 18, 90)[Aug 28]"
3,Leverkusen,4,0,Frankfurt,"(Schuster 16, Kirsten 39, Sergio 66, Völler 90)(sent off: Zchadadse (Eintracht, 57))"
4,Duisburg,0,3,Bayern,"(Nerlinger 8, Witeczek 26, Helmer 42) [4 Közle(Duisburg) m/pen]"
4,Freiburg,1,3,Werder,"(Zeyer 24 - M.Bode 8, Basler 45, Hobsch 46)(sent off: Herzog (Werder, 72))"
4,M'gladbach,2,0,Dynamo,"(Dahlin 46, Effenberg 89)[Sep 3]"
4,1. FC Köln,2,0,Uerdingen,"(Polster 61, Heldt 76)"
4,TSV 1860,0,1,Schalke,(Dikhtjar 10)
4,Hamburger,3,1,Karlsruher,"(Schnoor 57, Albertz 70, Letchkov 89 - Fink 2)(sent off: Ivanauskas (Hamburger, 42))"
4,Bochum,1,3,Leverkusen,"(Kirsten 42, 75, Völler 61 - Aden 63)"
4,Frankfurt,4,1,Dortmund,"(Yeboah 44 p, Binz 49, Franck 54 o, Okocha 87 -Chapuisat 34)"
4,K'lautern,3,2,Stuttgart,"(Sforza 5, 75, Kadlec 35 - Strunz 40, Bobic 77)"
5,Bochum,1,3,Freiburg,"(Aden 57 - Cardoso 2, U.Spies 34, 90)"
5,Karlsruher,3,1,TSV 1860,"(Bilic 15, Nowotny 20, Häßler 79 - Trares 49)[Sep 17]"
5,Werder,1,0,M'gladbach,(Hobsch 27)
5,Dynamo,4,2,Duisburg,"(Böger 35, Kern 45, M.Spies 62, Osthoff 84 -Fuchs 61, 74)"
5,Bayern,1,1,Hamburger,"(Matthäus 84 p - Breitenreiter 15)(sent off: Stein (Hamburger, 58))"
5,Schalke,3,1,1. FC Köln,"(Anderbrügge 14, 75 p, Mulder 65 - Hauptmann 24)"
5,Uerdingen,1,3,K'lautern,"(Weber 79 - Kuka 39, Marschall 84, Anders 88)"
5,Leverkusen,2,2,Dortmund,"(Kirsten 40, Wörns 75 - Reuter 25, Chapuisat 60)[Sep 18]"
5,Stuttgart,4,1,Frankfurt,"(Bobic 18, Dickhaut 25 o, Covic 82, 87 - Dickhaut 40)"
6,TSV 1860,1,3,Bayern,"(Pacult 78 p - Schupp 29, Ziege 55, Zickler 87)(sent off: Nerlinger (Bayern, 35))[Sep 23]"
6,Duisburg,0,2,Werder,"(Basler 39, Rufer 87 p)"
6,Frankfurt,0,3,Uerdingen,"(Feldhoff 11, 16, Bittengel 66)[Sep 24]"
6,1. FC Köln,3,4,Karlsruher,"(Polster 6, 9 p, Labbadia 74 - Bilic 28, Polster37 o, Kirjakow 53, Bonan 88)"
6,Hamburger,2,1,Dynamo,"(Albertz 52, Bäron 88 - Dittgen 54)"
6,M'gladbach,7,1,Bochum,"(Effenberg 16, 85, Kastenmaier 23, Herrlich 27, Wynhoff 38, Salou 50, M.Schneider 78 -Heinemann 68 p)"
6,Freiburg,1,1,Leverkusen,(Cardoso 43 p - S.Müller 27 o)
6,Dortmund,5,0,Stuttgart,"(Möller 4, 51, Chapuisat 11, 14, Riedle 78)"
6,K'lautern,3,1,Schalke,"(Funkel 21, Sforza 71, Wagner 88 - A.Müller 28)"
7,Bochum,1,0,Duisburg,"(Gudjonsson 90) (sent off: Böger (Duisburg, 57))"
7,Dynamo,1,1,TSV 1860,(Seeliger 13 o - Pacult 68 p) [23 Pilz (Dynamo)m/pen][Oct 1]
7,Bayern,2,2,1. FC Köln,"(Ziege 67, Zickler 83 - Labbadia 43, Polster 44)"
7,Karlsruher,3,3,K'lautern,"(Bonan 74, Knup 76, 79 - Sforza 12, Kuka 22,Marschall 44)(sent off: Funkel (K'lautern, 64))"
7,Schalke,0,0,Frankfurt,
7,Uerdingen,0,2,Dortmund,"(Julio Cesar 79, Möller 90)"
7,Leverkusen,3,1,Stuttgart,"(Schäfer 18 o, Hapal 76, Sergio 81 - Kruse 57)[Oct 2]"
7,Freiburg,1,1,M'gladbach,"(Cardoso 31 - Effenberg 14)(sent off: Effenberg (M'gladbach, 73))[Oct 5]"
7,K'lautern,1,1,Bayern,(Kuka 9 - Zickler 77)
8,Werder,1,4,Hamburger,"(Bestschastnich 11 - Letchkov 29, Hubtchev 38, Wiedener 44 o, Zarate 76)[Oct 7]"
8,M'gladbach,3,3,Leverkusen,"(Herrlich 53, Dahlin 57, 63 - Völler 12, 18,Happe 71)(sent off: Melzig (Leverkusen, 85))"
8,Frankfurt,1,0,Karlsruher,(Yeboah 60 p)[Oct 8]
8,1. FC Köln,1,2,Dynamo,"(Polster 83 - M.Spies 18, Ekström 57)"
8,Duisburg,1,2,Freiburg,"(Közle 79 - U.Spies 65, Cardoso 73 p)(sent off: Zeyer (Freiburg, 43))"
8,Stuttgart,3,1,Uerdingen,"(Kögl 30, 72 p, Kruse 54 - Laessig 81)"
8,Dortmund,3,2,Schalke,"(Chapuisat 20, Zorc 26 p, Möller 72 - Latal 16,Anderbrügge 70 p)[Oct 9]"
8,TSV 1860,1,2,Werder,"(Miller 40 - M.Bode 42, 50)"
8,Hamburger,3,1,Bochum,"(Spörl 32 p, 50, Letchkov 42 - Gudjonsson 21)"
9,Freiburg,3,0,Hamburger,"(Spanring 10, Kohl 26, Heinrich 47)"
9,Bochum,2,2,TSV 1860,"(U.Wegmann 45, da Palma 59 - Trares 76,U.Schneider 82 o)(sent off: Yanyali (TSV, 10))[Oct 15]"
9,M'gladbach,1,0,Duisburg,(Wynhoff 15)
9,Werder,2,2,1. FC Köln,"(M.Bode 20, Bestschastnich 48 - Polster 51,Weiser 80)"
9,Dynamo,1,0,K'lautern,(Ekström 18)
9,Bayern,3,3,Frankfurt,"(Babbel 37, Ziege 70, Sutter 83 - Dickhaut 5, Doll54, Komljenovic 86)"
9,Karlsruher,0,0,Dortmund,"[70 Zorc (Dortmund) m/pen](sent off: D.Schuster (Karlsruher, 70))"
9,Schalke,1,1,Stuttgart,(Linke 29 - Kruse 17)
9,Leverkusen,1,1,Uerdingen,"(Sergio 21 p - Heintze 31)(sent off: Münch (Leverkusen, 48))"
10,1. FC Köln,2,1,Bochum,"(Rudy 5, Polster 28 p - U.Wegmann 24)(sent off: Rolff (Köln, 30))"
10,Hamburger,1,2,M'gladbach,"(Bäron 16 - Wynhoff 62, Kastenmaier 84)(sent off: Bäron (Hamburger, 80))[Oct 22]"
10,TSV 1860,4,0,Freiburg,"(Trares 4, Winkler 35, 82, Bodden 65)"
10,Duisburg,0,2,Leverkusen,"(Lehnhoff 45, Völler 49)"
10,Uerdingen,1,1,Schalke,(Heintze 59 - Thon 47)
10,Stuttgart,4,0,Karlsruher,"(Kruse 5, Bobic 43, Kögl 54 p, Dunga 81)"
10,Dortmund,1,0,Bayern,(Riedle 79)
10,Frankfurt,2,0,Dynamo,"(Furtok 46, Yeboah 54)[Oct 23]"
10,K'lautern,1,1,Werder,(Kuka 60 - Bestschastnich 73)
11,Bochum,0,2,K'lautern,"(Sforza 22, Brehme 36 p)"
11,Karlsruher,2,1,Uerdingen,"(Peschke 27 o, Schmitt 76 - Steffen 45)[Oct 29]"
11,M'gladbach,2,0,TSV 1860,"(Dahlin 66, Kastenmaier 84)(sent off: Trares (TSV, 61))"
11,Freiburg,4,2,1. FC Köln,"(Cardoso 43, Todt 76, Spanring 83, U.Spies 90 -Zdebel 67, Janßen 78)(sent off: Higl (Köln, 17))"
11,Werder,2,0,Frankfurt,"(Bestschastnich 25, 75)"
11,Dynamo,0,1,Dortmund,(Möller 34)
11,Bayern,2,2,Stuttgart,"(Zickler 64, Matthäus 82 - Poschner 16, Kienle 57)"
11,Leverkusen,2,2,Schalke,"(Lehnhoff 59, Völler 80 p - Latal 58, Linke 90)[Oct 30]"
11,Duisburg,0,5,Hamburger,"(Hartmann 19, Albertz 27, Schnoor 56, Spörl 69, 75)"
12,Schalke,0,0,Karlsruher,
12,Stuttgart,4,2,Dynamo,"(Buck 35, Kruse 61, Kögl 81 p, Poschner 85 -Fuchs 42, M.Spies 60)(sent off: Kranz (Dynamo, 83))[Nov 5]"
12,1. FC Köln,1,3,M'gladbach,"(Polster 31 - Wynhoff 26, Kastenmaier 55,Herrlich 74)"
12,TSV 1860,1,1,Duisburg,(Dowe 10 - Nijhuis 31)
12,Hamburger,1,2,Leverkusen,"(Albertz 12 - Schuster 48, Dooley 70)"
12,Uerdingen,1,1,Bayern,(Paßlack 89 - Matthäus 87 p)
12,Frankfurt,2,1,Bochum,"(Yeboah 41, 60 - Gudjonsson 80)"
12,K'lautern,3,2,Freiburg,"(Kuka 25, 42, Brehme 77 p - Cardoso 45, Zeyer 68)[Nov 6]"
12,Dortmund,2,0,Werder,"(Freund 72, Möller 80)"
13,M'gladbach,4,0,K'lautern,"(Hochstätter 34, Herrlich 51, 74, Neun 57)"
13,Bochum,0,2,Dortmund,"(Riedle 29, Chapuisat 67)[Nov 12]"
13,Duisburg,1,3,1. FC Köln,"(Közle 45 - Kohn 10 p, Greiner 58, Labbadia 73)(sent off: Hopp (Duisburg, 54))"
13,Freiburg,2,0,Frankfurt,"(Roth 53 o, Cardoso 75 p)"
13,Werder,4,0,Stuttgart,"(Bestschastnich 29, Basler 45, Eilts 63, M.Bode 76)"
13,Dynamo,1,2,Uerdingen,"(Rath 40 - Bittengel 26, Laessig 51)"
13,Bayern,2,0,Schalke,"(Papin 62, Jorginho 82)(sent off: Thon (Schalke, 63))"
13,Leverkusen,0,0,Karlsruher,"(sent off: Münch (Leverkusen, 20))[Nov 13]"
13,Hamburger,3,0,TSV 1860,"(Schnoor 27, Spörl 69, Bäron 73)(sent off: Kober (Hamburger, 76))"
14,1. FC Köln,1,1,Hamburger,(Hauptmann 12 - Albertz 86)
14,Schalke,4,0,Dynamo,"(Mulder 21, Latal 30, 46, Büskens 53)[Nov 19]"
14,TSV 1860,1,1,Leverkusen,(Bodden 71 - Kirsten 51)
14,Karlsruher,2,2,Bayern,"(Schmitt 50, Carl 90 - Frey 49, Schupp 53)(sent off: Kuffour (Bayern, 89))"
14,Uerdingen,1,3,Werder,"(Paßlack 65 - Basler 6, 62, Bestschastnich 15)"
14,Stuttgart,2,2,Bochum,"(Dunga 20, Frontzeck 89 - U.Wegmann 44, Kruse 50)[86 Kögl (Stuttgart) m/pen]"
14,Dortmund,1,1,Freiburg,(Möller 59 - Kohl 76)
14,Frankfurt,2,1,M'gladbach,"(Yeboah 58, Okocha 81 - Herrlich 90)"
14,K'lautern,1,0,Duisburg,(Sforza 90)
15,Bochum,2,1,Uerdingen,"(Waldoch 31, U.Wegmann 56 p - Paßlack 86)"
15,Werder,2,1,Schalke,"(Hobsch 49, Herzog 62 - A.Müller 80)[Nov 26]"
15,1. FC Köln,2,1,TSV 1860,"(Polster 70, Janßen 85 - Pacult 77)"
15,Hamburger,0,0,K'lautern,
15,M'gladbach,3,3,Dortmund,"(Herrlich 19, Dahlin 81, Fach 90 - Zorc 10,Chapuisat 22, 45)"
