day,date,home_team,result,away_team
Friday,March 26,Chivas USA,0-1,COL
Saturday,April 3,COL,2-2,Chicago
Saturday,April 10,Sporting KC,1-0,COL
Sunday,April 18,COL,3-1,Toronto FC
Saturday,April 24,New England,1-2,COL
Saturday,May 1,San Jose,1-0,COL
Wednesday,May 5,COL,0-1,LA Galaxy
Saturday,May 15,D.C. United,0-1,COL
Saturday,May 29,Seattle,1-0,COL
Saturday,June 5,COL,1-0,Columbus
Wednesday,June 9,Chicago,2-2,COL
Saturday,June 26,Houston,2-2,COL
Sunday,July 4,COL,1-1,NY Red Bulls
Saturday,July 10,Toronto FC,1-0,COL
Saturday,July 17,COL,1-1,Sporting KC
Sunday,July 25,Seattle,2-1,COL
Saturday,July 31,COL,1-1,FC Dallas
Saturday,August 7,COL,1-0,San Jose
Saturday,August 14,Philadelphia,1-1,COL
Saturday,August 21,Columbus,3-1,COL
Saturday,August 28,COL,3-0,Houston
Saturday,September 4,COL,3-0,Chivas USA
Saturday,September 11,NY Red Bulls,3-1,COL
Saturday,September 18,COL,3-0,New England
Saturday,September 25,Real Salt Lake,1-1,COL
Wednesday,September 29,COL,4-1,Philadelphia
Saturday,October 2,COL,0-1,D.C. United
Saturday,October 9,FC Dallas,2-2,COL
Saturday,October 16,LA Galaxy,1-3,COL
Saturday,October 23,COL,2-2,Real Salt Lake
