day,date,home_team,result,away_team
Thursday,March 25,SEA,2-0,Philadelphia
Saturday,April 3,SEA,0-1,NY Red Bulls
Saturday,April 10,Real Salt Lake,2-2,SEA
Saturday,April 17,SEA,1-0,Sporting KC
Thursday,April 22,FC Dallas,2-2,SEA
Sunday,April 25,Toronto FC,2-0,SEA
Saturday,May 1,SEA,1-1,Columbus
Saturday,May 8,SEA,0-4,LA Galaxy
Saturday,May 15,NY Red Bulls,0-1,SEA
Saturday,May 22,SEA,0-1,San Jose
Saturday,May 29,Colorado,1-0,SEA
Saturday,June 5,SEA,3-0,New England
Thursday,June 10,SEA,2-3,D.C. United
Sunday,June 27,Philadelphia,3-1,SEA
Sunday,July 4,LA Galaxy,3-1,SEA
Sunday,July 11,SEA,1-1,FC Dallas
Thursday,July 15,D.C. United,0-1,SEA
Sunday,July 25,SEA,2-1,Colorado
Saturday,July 31,San Jose,0-1,SEA
Sunday,August 8,SEA,2-0,Houston
Saturday,August 14,Chivas USA,0-0,SEA
Saturday,August 28,SEA,2-1,Chicago
Saturday,September 4,New England,3-1,SEA
Thursday,September 9,SEA,0-0,Real Salt Lake
Saturday,September 18,Columbus,0-4,SEA
Saturday,September 25,Chicago,0-1,SEA
Saturday,October 2,SEA,3-2,Toronto FC
Saturday,October 9,Sporting KC,1-2,SEA
Friday,October 15,SEA,2-1,Chivas USA
Saturday,October 23,Houston,2-1,SEA
