Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
David Ousted,DC,GK,34,34,3060,40,1.18,5/5,12,8,14,13,35.3
Bill Hamid,DC,GK,30,30,2700,34,1.13,5/5,14,9,7,10,46.7
Stefan Frei,SEA,GK,34,34,3060,50,1.47,6/7,20,10,4,9,58.8
Jaime Penedo,LA,GK,29,29,2610,33,1.14,3/3,15,7,7,8,51.7
Bobby Shuttleworth,MIN,GK,32,32,2880,40,1.25,2/4,16,12,4,8,50.0
Steve Clark,DC,GK,34,34,3060,42,1.24,2/4,14,10,10,8,41.2
Eric Kronberg,KC,GK,20,20,1800,22,1.1,5/5,7,8,5,7,35.0
Nick Rimando,RSL,GK,24,24,2160,25,1.04,1/5,13,4,7,7,54.2
Tally Hall,DC,GK,24,24,2150,44,1.83,7/8,8,12,4,7,33.3
Clint Irwin,TOR,GK,26,25,2336,49,1.96,6/7,7,15,4,7,26.9
Donovan Ricketts,POR,GK,32,32,2861,44,1.38,7/7,12,7,12,7,37.5
Dan Kennedy,CHV,GK,33,33,2957,57,1.73,3/4,9,18,6,6,27.3
Sean Johnson,NYC,GK,33,33,2970,49,1.48,6/8,6,9,18,6,18.2
Jon Busch,SJ,GK,34,34,3060,50,1.47,8/10,6,16,12,6,17.6
Luis Robles,RBNY,GK,34,34,3060,50,1.47,8/10,13,10,11,6,38.2
Troy Perkins,MTL,GK,21,21,1890,35,1.67,4/5,4,12,5,5,19.0
Zac MacMath,COL,GK,29,29,2610,45,1.55,4/7,9,10,10,5,31.0
Raul Fernandez,DAL,GK,21,20,1818,25,1.25,3/4,9,8,3,4,42.9
Joe Bendik,ORL,GK,27,27,2430,45,1.67,4/5,8,11,8,4,29.6
Jeff Attinella,POR,GK,10,10,900,14,1.4,3/5,2,4,4,3,20.0
Tyler Deric,HOU,GK,11,10,910,14,1.4,2/3,3,5,2,3,27.3
Andy Gruenebaum,KC,GK,11,11,945,12,1.09,1/1,6,3,2,3,54.5
Evan Bush,MTL,GK,13,13,1170,23,1.77,2/2,2,6,5,3,15.4
Andrew Dykstra,COL,GK,4,4,360,3,0.75,0/1,3,0,1,2,75.0
John Berner,COL,GK,5,5,450,6,1.2,0/0,1,1,3,2,20.0
Júlio César,BRA,GK,7,7,630,9,1.29,2/2,3,4,0,2,42.9
Chris Seitz,HOU,GK,14,14,1242,20,1.43,0/1,7,4,3,2,50.0
Brian Perk,LA,GK,2,2,180,1,0.5,0/0,1,0,1,1,50.0
Brian Rowe,VAN,GK,3,3,270,3,1.0,0/0,1,0,2,1,33.3
Rais MBolhi,ALG,GK,4,4,360,4,1.0,0/0,1,1,2,1,25.0
Marcus Hahnemann,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Matt Pickens,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Chris Konopka,TOR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Paolo Tornaghi,VAN,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
David Bingham,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jake Gleeson,POR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Richard Sanchez,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Joe Willis,HOU,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Josh Ford,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Matt Lampson,MIN,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Ryan Meara,RBNY,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Brian Holt,PHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Michael Lisch,HOU,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Santiago Castaño,NY,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Brad Stuver,NYC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Luis Soffner,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Maxime Crepeau,MTL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Alec Kann,ATL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jesse Gonzalez,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Marco Carducci,VAN,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Billy Knutsen,SJ,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Larry Jackson,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Andre Blake,PHI,GK,1,1,90,2,2.0,0/0,0,1,0,0,0.0
Trevor Spangenberg,CHV,GK,1,0,22,1,1.0,1/1,0,0,0,0,0.0
Kyle Reynish,CHI,GK,1,1,90,2,2.0,0/0,0,1,0,0,0.0
Brad Knighton,NE,GK,2,2,180,6,3.0,1/1,1,1,0,0,50.0
Tim Melia,SKC,GK,2,1,79,3,3.0,0/0,0,1,0,0,0.0
Andrew Weber,POR,GK,3,2,198,8,4.0,2/3,0,2,1,0,0.0
Jon Kempin,CLB,GK,4,3,315,7,2.33,0/1,1,2,0,0,25.0
Joe Nasco,COL,GK,4,4,271,7,1.75,0/0,0,2,1,0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
