day,date,home_team,result,away_team
Saturday,March 8,LA Galaxy,0-1,RSL
Saturday,March 15,San Jose,3-3,RSL
Saturday,March 22,RSL,1-1,LA Galaxy
Saturday,March 29,RSL,3-0,Toronto FC
Saturday,April 5,Sporting KC,0-0,RSL
Saturday,April 12,Philadelphia,2-2,RSL
Saturday,April 19,RSL,1-0,Portland
Saturday,April 26,RSL,2-2,Vancouver
Saturday,May 3,Chicago,2-3,RSL
Sunday,May 11,Houston,2-5,RSL
Saturday,May 17,RSL,2-1,Colorado
Saturday,May 24,RSL,0-0,FC Dallas
Saturday,May 31,Seattle,4-0,RSL
Wednesday,June 4,Columbus,1-1,RSL
Saturday,June 7,RSL,1-3,Portland
Saturday,June 28,Chivas USA,1-0,RSL
Friday,July 4,RSL,2-1,New England
Saturday,July 12,LA Galaxy,1-0,RSL
Saturday,July 19,RSL,1-1,Vancouver
Thursday,July 24,RSL,3-1,Montreal
Wednesday,July 30,RSL,1-1,NY Red Bulls
Saturday,August 2,Colorado,0-1,RSL
Saturday,August 9,RSL,3-0,D.C. United
Saturday,August 16,Seattle,2-1,RSL
Friday,August 22,FC Dallas,2-1,RSL
Saturday,August 30,San Jose,1-1,RSL
Saturday,September 6,RSL,2-1,FC Dallas
Friday,September 12,Seattle,3-2,RSL
Friday,September 19,RSL,5-1,Colorado
Saturday,September 27,Vancouver,2-1,RSL
Sunday,October 5,Chivas USA,1-0,RSL
Saturday,October 11,RSL,2-0,San Jose
Friday,October 17,Portland,0-0,RSL
Wednesday,October 22,RSL,2-0,Chivas USA
