Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Jon Busch,SJ,GK,34,34,3060,191,137,50,1.47,8/10,6,16,12,6,17.6,71.7
Luis Robles,RBNY,GK,34,34,3060,171,111,50,1.47,8/10,13,10,11,6,38.2,64.9
David Ousted,DC,GK,34,34,3060,140,96,40,1.18,5/5,12,8,14,13,35.3,68.6
Stefan Frei,SEA,GK,34,34,3060,149,99,50,1.47,6/7,20,10,4,9,58.8,66.4
Steve Clark,DC,GK,34,34,3060,153,111,42,1.24,2/4,14,10,10,8,41.2,72.5
Dan Kennedy,CHV,GK,33,33,2957,155,93,57,1.73,3/4,9,18,6,6,27.3,60.0
Sean Johnson,NYC,GK,33,33,2970,149,96,49,1.48,6/8,6,9,18,6,18.2,64.4
Donovan Ricketts,POR,GK,32,32,2861,151,105,44,1.38,7/7,12,7,12,7,37.5,69.5
Bobby Shuttleworth,MIN,GK,32,32,2880,141,94,40,1.25,2/4,16,12,4,8,50.0,66.7
Bill Hamid,DC,GK,30,30,2700,146,110,34,1.13,5/5,14,9,7,10,46.7,75.3
Zac MacMath,COL,GK,29,29,2610,125,77,45,1.55,4/7,9,10,10,5,31.0,61.6
Jaime Penedo,LA,GK,29,29,2610,115,81,33,1.14,3/3,15,7,7,8,51.7,70.4
Joe Bendik,ORL,GK,27,27,2430,125,82,45,1.67,4/5,8,11,8,4,29.6,65.6
Clint Irwin,TOR,GK,26,25,2336,125,73,49,1.96,6/7,7,15,4,7,26.9,58.4
Tally Hall,DC,GK,24,24,2150,115,67,44,1.83,7/8,8,12,4,7,33.3,58.3
Nick Rimando,RSL,GK,24,24,2160,97,71,25,1.04,1/5,13,4,7,7,54.2,73.2
Raul Fernandez,DAL,GK,21,20,1818,95,66,25,1.25,3/4,9,8,3,4,42.9,69.5
Troy Perkins,MTL,GK,21,21,1890,102,66,35,1.67,4/5,4,12,5,5,19.0,64.7
Eric Kronberg,KC,GK,20,20,1800,73,45,22,1.1,5/5,7,8,5,7,35.0,61.6
Chris Seitz,HOU,GK,14,14,1242,67,44,20,1.43,0/1,7,4,3,2,50.0,65.7
Evan Bush,MTL,GK,13,13,1170,79,52,23,1.77,2/2,2,6,5,3,15.4,65.8
Tyler Deric,HOU,GK,11,10,910,53,36,14,1.4,2/3,3,5,2,3,27.3,67.9
Andy Gruenebaum,KC,GK,11,11,945,45,34,12,1.09,1/1,6,3,2,3,54.5,75.6
Jeff Attinella,POR,GK,10,10,900,60,45,14,1.4,3/5,2,4,4,3,20.0,75.0
Júlio César,BRA,GK,7,7,630,27,18,9,1.29,2/2,3,4,0,2,42.9,66.7
John Berner,COL,GK,5,5,450,12,6,6,1.2,0/0,1,1,3,2,20.0,50.0
Joe Nasco,COL,GK,4,4,271,19,13,7,1.75,0/0,0,2,1,0,0.0,68.4
Jon Kempin,CLB,GK,4,3,315,13,5,7,2.33,0/1,1,2,0,0,25.0,38.5
Rais MBolhi,ALG,GK,4,4,360,13,7,4,1.0,0/0,1,1,2,1,25.0,53.8
Andrew Dykstra,COL,GK,4,4,360,9,6,3,0.75,0/1,3,0,1,2,75.0,66.7
Andrew Weber,POR,GK,3,2,198,16,8,8,4.0,2/3,0,2,1,0,0.0,50.0
Brian Rowe,VAN,GK,3,3,270,13,10,3,1.0,0/0,1,0,2,1,33.3,76.9
Tim Melia,SKC,GK,2,1,79,4,1,3,3.0,0/0,0,1,0,0,0.0,25.0
Brian Perk,LA,GK,2,2,180,3,2,1,0.5,0/0,1,0,1,1,50.0,66.7
Brad Knighton,NE,GK,2,2,180,12,6,6,3.0,1/1,1,1,0,0,50.0,50.0
Trevor Spangenberg,CHV,GK,1,0,22,2,1,1,1.0,1/1,0,0,0,0,0.0,50.0
Andre Blake,PHI,GK,1,1,90,8,7,2,2.0,0/0,0,1,0,0,0.0,87.5
Kyle Reynish,CHI,GK,1,1,90,4,2,2,2.0,0/0,0,1,0,0,0.0,50.0
Chris Konopka,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Marcus Hahnemann,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Matt Pickens,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Paolo Tornaghi,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
David Bingham,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Richard Sanchez,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Joe Willis,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Marco Carducci,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Billy Knutsen,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Larry Jackson,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Matt Lampson,MIN,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Ryan Meara,RBNY,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Brian Holt,PHI,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Michael Lisch,HOU,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Santiago Castaño,NY,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Brad Stuver,NYC,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Luis Soffner,NE,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Maxime Crepeau,MTL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Alec Kann,ATL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
