Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Jon Busch,SJ,GK,34,34,3060,191,137,50,1.47,8/10,71.7
Steve Clark,DC,GK,34,34,3060,153,111,42,1.24,2/4,72.5
Luis Robles,RBNY,GK,34,34,3060,171,111,50,1.47,8/10,64.9
Bill Hamid,DC,GK,30,30,2700,146,110,34,1.13,5/5,75.3
Donovan Ricketts,POR,GK,32,32,2861,151,105,44,1.38,7/7,69.5
Stefan Frei,SEA,GK,34,34,3060,149,99,50,1.47,6/7,66.4
David Ousted,DC,GK,34,34,3060,140,96,40,1.18,5/5,68.6
Sean Johnson,NYC,GK,33,33,2970,149,96,49,1.48,6/8,64.4
Bobby Shuttleworth,MIN,GK,32,32,2880,141,94,40,1.25,2/4,66.7
Dan Kennedy,CHV,GK,33,33,2957,155,93,57,1.73,3/4,60.0
Joe Bendik,ORL,GK,27,27,2430,125,82,45,1.67,4/5,65.6
Jaime Penedo,LA,GK,29,29,2610,115,81,33,1.14,3/3,70.4
Zac MacMath,COL,GK,29,29,2610,125,77,45,1.55,4/7,61.6
Clint Irwin,TOR,GK,26,25,2336,125,73,49,1.96,6/7,58.4
Nick Rimando,RSL,GK,24,24,2160,97,71,25,1.04,1/5,73.2
Tally Hall,DC,GK,24,24,2150,115,67,44,1.83,7/8,58.3
Raul Fernandez,DAL,GK,21,20,1818,95,66,25,1.25,3/4,69.5
Troy Perkins,MTL,GK,21,21,1890,102,66,35,1.67,4/5,64.7
Evan Bush,MTL,GK,13,13,1170,79,52,23,1.77,2/2,65.8
Jeff Attinella,POR,GK,10,10,900,60,45,14,1.4,3/5,75.0
Eric Kronberg,KC,GK,20,20,1800,73,45,22,1.1,5/5,61.6
Chris Seitz,HOU,GK,14,14,1242,67,44,20,1.43,0/1,65.7
Tyler Deric,HOU,GK,11,10,910,53,36,14,1.4,2/3,67.9
Andy Gruenebaum,KC,GK,11,11,945,45,34,12,1.09,1/1,75.6
Júlio César,BRA,GK,7,7,630,27,18,9,1.29,2/2,66.7
Joe Nasco,COL,GK,4,4,271,19,13,7,1.75,0/0,68.4
Brian Rowe,VAN,GK,3,3,270,13,10,3,1.0,0/0,76.9
Andrew Weber,POR,GK,3,2,198,16,8,8,4.0,2/3,50.0
Andre Blake,PHI,GK,1,1,90,8,7,2,2.0,0/0,87.5
Rais MBolhi,ALG,GK,4,4,360,13,7,4,1.0,0/0,53.8
Andrew Dykstra,COL,GK,4,4,360,9,6,3,0.75,0/1,66.7
Brad Knighton,NE,GK,2,2,180,12,6,6,3.0,1/1,50.0
John Berner,COL,GK,5,5,450,12,6,6,1.2,0/0,50.0
Jon Kempin,CLB,GK,4,3,315,13,5,7,2.33,0/1,38.5
Brian Perk,LA,GK,2,2,180,3,2,1,0.5,0/0,66.7
Kyle Reynish,CHI,GK,1,1,90,4,2,2,2.0,0/0,50.0
Trevor Spangenberg,CHV,GK,1,0,22,2,1,1,1.0,1/1,50.0
Tim Melia,SKC,GK,2,1,79,4,1,3,3.0,0/0,25.0
David Bingham,LA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0.0
Richard Sanchez,CHI,GK,0,0,0,0,0,0,0.0,0/0,0.0
Joe Willis,HOU,GK,0,0,0,0,0,0,0.0,0/0,0.0
Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Paolo Tornaghi,VAN,GK,0,0,0,0,0,0,0.0,0/0,0.0
Chris Konopka,TOR,GK,0,0,0,0,0,0,0.0,0/0,0.0
Marcus Hahnemann,SEA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Matt Pickens,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Billy Knutsen,SJ,GK,0,0,0,0,0,0,0.0,0/0,0.0
Larry Jackson,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Marco Carducci,VAN,GK,0,0,0,0,0,0,0.0,0/0,0.0
Matt Lampson,MIN,GK,0,0,0,0,0,0,0,0/0,0.0
Ryan Meara,RBNY,GK,0,0,0,0,0,0,0,0/0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0,0,0,0/0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0,0/0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0/0,0.0
Brian Holt,PHI,GK,0,0,0,0,0,0,0,0/0,0.0
Michael Lisch,HOU,GK,0,0,0,0,0,0,0,0/0,0.0
Santiago Castaño,NY,GK,0,0,0,0,0,0,0,0/0,0.0
Brad Stuver,NYC,GK,0,0,0,0,0,0,0,0/0,0.0
Luis Soffner,NE,GK,0,0,0,0,0,0,0,0/0,0.0
Maxime Crepeau,MTL,GK,0,0,0,0,0,0,0,0/0,0.0
Alec Kann,ATL,GK,0,0,0,0,0,0,0,0/0,0.0
Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0,0/0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
