Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Robbie Keane,LA,F,29,28,2549,19,14,122,54,1/4,15.6,44.3
Deshorn Brown,COL,F,30,26,2288,10,0,121,46,0/1,8.3,38.0
Clint Dempsey,SEA,F,26,23,2132,15,10,113,47,2/2,13.3,41.6
Dom Dwyer,ORL,F,33,31,2724,22,1,113,48,7/8,19.5,42.5
Giles Barnes,HOU,M,34,34,3028,11,5,113,42,2/3,9.7,37.2
Bradley Wright-Phillips,RBNY,F,32,29,2573,27,2,109,57,6/6,24.8,52.3
Pedro Morales,VAN,M,33,28,2554,10,12,105,39,7/8,9.5,37.1
Diego Valeri,POR,M,33,32,2763,11,14,104,42,1/1,10.6,40.4
Erick Torres,CHV,F,29,29,2510,15,1,95,32,5/6,15.8,33.7
Thierry Henry,NY,F,30,30,2651,10,14,86,28,0/0,11.6,32.6
Lee Nguyen,NE,M,32,32,2750,18,5,83,41,4/4,21.7,49.4
Chris Wondolowski,SJ,F,26,26,2340,14,4,77,36,1/2,18.2,46.8
Obafemi Martins,SEA,F,31,29,2600,17,13,77,36,1/1,22.1,46.8
Quincy Amarikwa,SJ,F,32,29,2549,8,5,76,29,0/0,10.5,38.2
Marco Di Vaio,MTL,F,26,17,1739,9,4,75,32,0/1,12.0,42.7
Fabian Castillo,DAL,M-F,27,26,2282,10,4,74,32,0/1,13.5,43.2
Gyasi Zardes,CLB,F,32,26,2392,16,2,74,30,0/0,21.6,40.5
Gilberto,TOR,F,28,21,1955,7,5,73,22,0/0,9.6,30.1
Federico Higuain,CLB,M,29,28,2488,11,7,73,25,5/8,15.1,34.2
Will Bruin,SEA,F,27,24,2074,10,1,68,31,0/0,14.7,45.6
Fabian Espindola,DC,F,27,24,2124,11,9,68,31,0/1,16.2,45.6
Diego Fagundez,NE,M,31,25,2142,5,4,67,23,0/0,7.5,34.3
Andrew Wenger,HOU,F,32,22,2120,7,4,66,27,0/0,10.6,40.9
Landon Donovan,LA,M-F,31,30,2720,10,19,66,24,3/3,15.2,36.4
Javier Morales,RSL,M,30,30,2645,9,12,64,19,4/4,14.1,29.7
Marco Pappa,SEA,M,29,24,1931,6,5,62,21,0/0,9.7,33.9
Felipe,VAN,M,31,28,2456,3,6,60,17,0/0,5.0,28.3
Kelyn Rowe,NE,M,27,21,1960,5,5,59,15,0/0,8.5,25.4
Vincent Nogueira,PHI,M,29,28,2498,2,3,59,14,0/0,3.4,23.7
Will Johnson,ORL,M,29,29,2526,6,2,59,21,3/3,10.2,35.6
Jermain Defoe,TOR,F,19,17,1529,11,2,58,25,3/4,19.0,43.1
Luke Moore,CHV,F,33,24,2164,6,4,58,23,0/0,10.3,39.7
Joao Plata,RSL,F,26,24,1985,13,6,56,32,1/1,23.2,57.1
Jack McInerney,MTL,F,30,25,2116,8,2,56,19,0/0,14.3,33.9
Erik Hurtado,VAN,F-M,30,19,1805,5,3,55,22,0/0,9.1,40.0
Blas Pérez,DAL,F,29,24,2061,11,6,55,21,2/3,20.0,38.2
Juninho,LA,M,34,31,2758,0,4,55,15,0/0,0.0,27.3
Kekuta Manneh,VAN,M-F,29,13,1198,4,2,54,22,0/0,7.4,40.7
Darren Mattocks,DC,F,30,20,1802,6,3,54,23,1/2,11.1,42.6
Jackson Goncalves,TOR,M,26,21,1842,4,1,54,19,0/0,7.4,35.2
Sebastian Fernandez,VAN,F,32,24,1968,5,0,54,17,0/0,9.3,31.5
Fanendo Adi,POR,F,24,18,1512,9,4,53,24,0/0,17.0,45.3
Bernardo Añor,CLB,M,27,18,1672,6,1,53,19,0/0,11.3,35.8
Teal Bunbury,NE,F,31,28,2446,4,6,53,28,0/0,7.5,52.8
Justin Meram,ORL,M,32,19,1683,8,4,52,21,0/0,15.4,40.4
Michael Bradley,TOR,M,25,25,2198,2,4,52,12,0/1,3.8,23.1
Ethan Finlay,MIN,F,29,21,1898,11,7,50,22,0/0,22.0,44.0
Sébastien Le Toux,PHI,F,29,23,2050,12,7,50,21,5/5,24.0,42.0
Ricardo Clark,CLB,M,25,24,2087,4,4,50,15,0/0,8.0,30.0
Lamar Neagle,SEA,M,32,27,2248,9,9,49,28,0/0,18.4,57.1
Kyle Beckerman,RSL,M,28,28,2520,3,3,49,21,0/0,6.1,42.9
Alvaro Saborio,RSL,F,16,13,1148,8,2,47,18,2/3,17.0,38.3
Maximiliano Urruti,DAL,F,30,12,1181,10,2,47,15,0/0,21.3,31.9
Benny Feilhaber,LAFC,M,31,30,2607,4,6,47,13,0/0,8.5,27.7
Nick DeLeon,DC,M,32,31,2707,2,5,47,18,0/0,4.3,38.3
Jairo Arrieta,CLB,F,23,14,1236,5,1,44,16,1/1,11.4,36.4
Baggio Husidic,LA,M,34,26,2197,5,4,44,9,0/0,11.4,20.5
Jeff Larentowicz,ATL,M,33,33,2970,6,3,43,19,4/5,14.0,44.2
Eddie Johnson,DC,F,26,22,1957,7,3,42,18,2/2,16.7,42.9
Darlington Nagbe,ATL,M,32,30,2681,1,7,42,17,0/0,2.4,40.5
Luke Mulholland,RSL,M,31,24,1987,6,7,41,13,0/0,14.6,31.7
Mike Magee,CHI,M,17,17,1519,7,4,40,16,3/5,17.5,40.0
Harry Shipp,SEA,M,33,26,2346,7,6,40,16,0/0,17.5,40.0
Alan Gordon,LA,F,29,11,1176,5,1,39,17,0/0,12.8,43.6
Conor Casey,PHI,F,25,18,1434,8,2,39,17,1/1,20.5,43.6
Luis Silva,RSL,F,27,22,1523,11,4,39,17,2/2,28.2,43.6
Dillon Serna,COL,M,27,18,1623,3,4,39,14,0/0,7.7,35.9
Brad Davis,HOU,M,25,25,2071,4,11,39,15,1/2,10.3,38.5
Dominic Oduro,MTL,M,35,23,2107,2,5,39,13,0/0,5.1,33.3
Marcelo Sarvas,LA,M,28,25,2218,3,11,39,15,0/1,7.7,38.5
Patrick Mullins,DC,F,21,14,1198,4,1,37,16,0/0,10.8,43.2
Gaston Fernandez,POR,M,32,17,1562,7,2,37,17,0/0,18.9,45.9
Maurice Edu,PHI,M,31,31,2789,3,2,37,9,1/1,8.1,24.3
Lloyd Sam,DC,M-F,32,32,2832,4,9,37,16,0/0,10.8,43.2
Yannick Djalo,SJ,M,18,13,1136,3,2,36,7,0/0,8.3,19.4
Michel Garbini Pereira,DAL,M-D,25,20,1787,8,5,36,13,5/5,22.2,36.1
Cristian Maidana,PHI,M,26,23,1889,2,11,36,11,0/0,5.6,30.6
Leandro Barrera,CHV,M,32,24,2071,1,2,36,16,0/0,2.8,44.4
Omar Cummings,HOU,F,26,14,1270,3,3,35,14,0/0,8.6,40.0
Danny Cruz,PHI,M-F,26,16,1352,3,2,35,16,0/0,8.6,45.7
Stefan Ishizaki,LA,M,30,22,1898,5,7,35,15,0/0,14.3,42.9
Tony Tchani,CHI,M,33,33,2942,0,6,35,8,0/0,0.0,22.9
Khari Stephenson,SJ,M,19,11,1080,2,2,34,8,1/1,5.9,23.5
José Mari,COL,M,20,20,1745,4,1,34,11,0/0,11.8,32.4
Chris Rolfe,CHI,F,23,21,1755,6,6,34,13,0/0,17.6,38.2
Edson Buddle,COL,F,18,12,1116,2,1,33,9,0/0,6.1,27.3
Dillon Powers,ORL,M,30,27,2328,5,9,33,12,3/3,15.2,36.4
Osvaldo Alonso,SEA,M,33,33,2952,0,2,33,4,0/1,0.0,12.1
Graham Zusi,SKC,D-M,25,24,2151,5,8,32,13,0/0,15.6,40.6
Nick LaBrocca,COL,M,31,29,2584,1,1,32,7,0/0,3.1,21.9
Steven Lenhart,SJ,F,11,10,905,1,1,31,12,0/0,3.2,38.7
Soony Saad,KC,F,22,9,906,3,1,31,12,0/0,9.7,38.7
Olmes Garcia,RSL,F,23,12,1191,3,0,31,12,0/0,9.7,38.7
Atiba Harris,SJ,D,24,19,1585,4,2,31,15,0/0,12.9,48.4
Andres Romero,MTL,M,29,25,2185,6,3,31,20,0/0,19.4,64.5
Amobi Okugo,PHI,D-M,32,31,2798,2,2,31,7,0/0,6.5,22.6
Chad Barrett,SEA,F,26,8,867,7,1,30,14,0/0,23.3,46.7
Tesho Akindele,DAL,F,26,18,1748,7,3,30,16,0/0,23.3,53.3
Lovel Palmer,CHI,D,30,29,2625,1,1,30,8,0/0,3.3,26.7
Kenny Cooper,SEA,F,22,12,989,3,4,29,9,0/0,10.3,31.0
Antonio Dovale,KC,M,19,14,1033,1,3,29,8,0/0,3.4,27.6
Carlos Alvarez,CHV,M,21,13,1262,0,1,29,7,0/0,0.0,24.1
Dilly Duka,CHI,M,20,15,1354,3,3,29,9,0/0,10.3,31.0
Andrew Driver,HOU,M,34,22,1897,0,1,29,7,0/0,0.0,24.1
Je-Vaughn Watson,DAL,D,31,29,2481,4,2,29,8,0/0,13.8,27.6
Paulo Nagamura,KC,M,21,21,1745,2,3,28,10,0/0,7.1,35.7
Alex,CHI,M,28,24,1986,0,1,28,7,0/0,0.0,25.0
Mauro Rosales,CHV,M,32,26,2366,0,11,28,7,0/0,0.0,25.0
Ned Grabavoy,RSL,M,33,30,2711,2,3,28,10,0/0,7.1,35.7
Gabriel Torres,PAN,M-F,23,11,1090,3,1,26,12,1/1,11.5,46.2
Tim Cahill,NY,M,23,18,1516,2,2,26,8,0/0,7.7,30.8
Shea Salinas,SJ,M,31,30,2470,1,8,26,9,0/0,3.8,34.6
Sam Cronin,MIN,M,31,30,2627,2,0,26,6,0/0,7.7,23.1
Vicente Sanchez,COL,F,17,12,1011,6,0,25,11,5/5,24.0,44.0
Justin Mapp,MTL,M,23,20,1726,0,8,25,8,0/0,0.0,32.0
Matt Watson,CHI,M,27,22,2034,1,1,25,9,0/0,4.0,36.0
Boniek Garcia,HOU,M,27,26,2206,2,1,25,9,0/1,8.0,36.0
Eric Alexander,HOU,M,34,30,2641,2,9,25,12,0/0,8.0,48.0
