Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Diego Chara,POR,M,31,31,2745,2,5,9,5,83,52,1,8,0
Perry Kitchen,LA,M,31,31,2790,5,4,18,11,65,30,0,11,0
Dom Dwyer,ORL,F,33,31,2724,22,1,113,48,64,66,38,6,0
Matias Laba,VAN,M,32,31,2738,0,1,8,1,61,39,0,8,1
Marcelo Sarvas,LA,M,28,25,2218,3,11,39,15,57,43,1,6,0
Quincy Amarikwa,SJ,F,32,29,2549,8,5,76,29,57,101,27,6,1
Hassoun Camara,MTL,D,28,26,2365,1,1,11,4,56,29,1,11,1
Tony Tchani,CHI,M,33,33,2942,0,6,35,8,56,46,0,7,0
Javier Morales,RSL,M,30,30,2645,9,12,64,19,52,73,4,6,0
Giles Barnes,HOU,M,34,34,3028,11,5,113,42,52,48,14,4,0
Tim Cahill,NY,M,23,18,1516,2,2,26,8,51,17,8,4,1
Seth Sinovic,SKC,D,31,31,2755,0,2,21,7,51,22,1,6,0
Jeff Larentowicz,ATL,M,33,33,2970,6,3,43,19,51,23,0,2,0
Erick Torres,CHV,F,29,29,2510,15,1,95,32,50,55,19,4,1
Fabian Espindola,DC,F,27,24,2124,11,9,68,31,49,45,28,5,1
Collen Warner,MIN,M,29,28,2295,0,2,21,1,49,30,2,4,1
Lee Nguyen,NE,M,32,32,2750,18,5,83,41,49,77,3,5,0
Teal Bunbury,NE,F,31,28,2446,4,6,53,28,48,27,8,5,0
Davy Arnaud,DC,M,31,30,2626,2,0,21,6,47,53,2,8,0
Atiba Harris,SJ,D,24,19,1585,4,2,31,15,46,34,5,4,0
Blas Pérez,DAL,F,29,24,2061,11,6,55,21,46,51,12,4,2
Maurice Edu,PHI,M,31,31,2789,3,2,37,9,46,41,0,5,1
Gilberto,TOR,F,28,21,1955,7,5,73,22,45,44,10,3,0
DeAndre Yedlin,USA,D,25,25,2220,0,4,7,2,45,25,0,4,0
Bradley Wright-Phillips,RBNY,F,32,29,2573,27,2,109,57,45,38,33,3,0
Osvaldo Alonso,SEA,M,33,33,2952,0,2,33,4,45,58,0,7,0
Benny Feilhaber,LAFC,M,31,30,2607,4,6,47,13,44,73,1,6,0
A.J. Soares,NE,D,32,32,2806,2,1,21,4,44,30,1,5,1
Felipe,VAN,M,31,28,2456,3,6,60,17,43,51,4,5,0
Je-Vaughn Watson,DAL,D,31,29,2481,4,2,29,8,43,20,6,4,2
Kofi Sarkodie,HOU,D,32,32,2872,0,4,5,1,43,34,1,7,1
Aurélien Collin,RBNY,D,26,25,2104,2,0,24,6,42,27,11,2,2
Jámison Olave,NY,D,28,28,2519,0,1,13,0,42,29,0,8,0
Oswaldo Minda,CHV,M,20,20,1613,0,0,5,0,41,21,0,12,1
Lamar Neagle,SEA,M,32,27,2248,9,9,49,28,41,46,14,3,0
Boniek Garcia,HOU,M,27,26,2206,2,1,25,9,39,58,3,4,0
Gonzalo Pineda,SEA,M,28,24,2233,3,7,16,9,39,43,0,9,0
Tony Beltran,RSL,D,29,28,2483,0,0,7,0,39,17,2,6,1
Amobi Okugo,PHI,D-M,32,31,2798,2,2,31,7,39,20,0,3,1
Kyle Beckerman,RSL,M,28,28,2520,3,3,49,21,38,19,0,4,0
Nick LaBrocca,COL,M,31,29,2584,1,1,32,7,38,28,1,9,0
Conor Casey,PHI,F,25,18,1434,8,2,39,17,37,24,15,1,0
Tony Lochhead,CHV,D,20,19,1697,0,1,1,0,37,9,1,6,0
Doneil Henry,VAN,D,21,19,1802,1,0,14,3,37,18,1,8,0
Jhon Kennedy Hurtado,CHI,D,25,24,2082,1,0,6,3,37,17,0,3,1
Matt Besler,SKC,D,24,24,2145,0,1,4,0,37,13,0,4,1
Andres Romero,MTL,M,29,25,2185,6,3,31,20,37,20,5,3,0
Dan Gargan,LA,D,29,27,2400,0,5,7,1,37,21,1,7,1
Wil Trapp,CLB,M,28,28,2486,1,4,11,3,37,23,0,6,2
David Horst,RSL,D,31,31,2653,1,1,15,1,37,26,0,3,1
Raymon Gaddis,PHI,D,34,34,3051,0,2,8,2,37,26,3,3,0
Gershon Koffie,VAN,M,21,17,1541,1,1,20,5,36,38,0,4,0
Agustín Pelletieri,CHV,M,27,22,1684,1,0,10,4,36,4,1,4,1
Jackson Goncalves,TOR,M,26,21,1842,4,1,54,19,36,32,5,5,1
Matteo Ferrari,MTL,D,25,25,2148,0,0,3,0,36,22,2,6,0
Jordan Stewart,SJ,D-M,30,29,2593,0,1,9,0,36,26,1,5,0
Sam Cronin,MIN,M,31,30,2627,2,0,26,6,36,18,1,5,0
Bobby Boswell,DC,D,34,34,3045,1,3,19,5,36,11,1,2,0
Andrew Wenger,HOU,F,32,22,2120,7,4,66,27,35,22,21,1,1
Juninho,LA,M,34,31,2758,0,4,55,15,35,29,0,3,0
Marco Pappa,SEA,M,29,24,1931,6,5,62,21,34,34,1,3,0
Eddie Johnson,DC,F,26,22,1957,7,3,42,18,34,49,32,3,1
Jermaine Taylor,HOU,D,24,23,2012,0,0,9,0,34,9,1,7,0
Clint Dempsey,SEA,F,26,23,2132,15,10,113,47,34,52,12,4,0
Luke Moore,CHV,F,33,24,2164,6,4,58,23,34,47,4,2,1
Alan Gordon,LA,F,29,11,1176,5,1,39,17,33,35,13,3,0
Alex,CHI,M,28,24,1986,0,1,28,7,33,35,2,3,0
Ricardo Clark,CLB,M,25,24,2087,4,4,50,15,33,18,3,5,0
Bakary Soumare,CHI,D,26,25,2275,0,0,4,1,33,19,1,5,0
José Gonçalves,NE,D,27,27,2381,1,2,10,2,33,29,1,3,0
Thierry Henry,NY,F,30,30,2651,10,14,86,28,33,26,12,3,0
Jordan Harvey,LAFC,D,33,33,2939,2,0,17,4,33,26,4,6,1
Bernardo Añor,CLB,M,27,18,1672,6,1,53,19,32,21,2,5,2
Patrice Bernier,MTL,M,26,20,1802,0,3,11,2,32,20,0,2,0
Waylon Francis,SEA,D,24,24,2111,0,6,11,3,32,12,4,5,1
Chris Schuler,ORL,D,25,25,2154,3,1,14,6,32,9,0,4,0
Mauro Rosales,CHV,M,32,26,2366,0,11,28,7,32,73,2,5,0
Nigel Reo-Coker,CHV,M,21,17,1467,0,2,7,2,31,18,0,4,1
Paulo Nagamura,KC,M,21,21,1745,2,3,28,10,31,22,5,5,0
Michel Garbini Pereira,DAL,M-D,25,20,1787,8,5,36,13,31,20,0,6,1
Erik Hurtado,VAN,F-M,30,19,1805,5,3,55,22,31,21,19,1,0
Deshorn Brown,COL,F,30,26,2288,10,0,121,46,31,30,33,2,0
Shea Salinas,SJ,M,31,30,2470,1,8,26,9,31,30,4,3,1
Lovel Palmer,CHI,D,30,29,2625,1,1,30,8,31,14,2,7,0
Nick DeLeon,DC,M,32,31,2707,2,5,47,18,31,25,1,3,0
Landon Donovan,LA,M-F,31,30,2720,10,19,66,24,31,32,6,7,0
Moises Hernandez,DAL,D,17,13,1116,0,0,7,2,30,8,0,2,2
Fabinho,PHI,D,19,19,1636,0,2,7,0,30,21,0,6,0
Leonardo González,SEA,D,23,20,1836,0,0,2,1,30,15,1,3,0
Fabian Castillo,DAL,M-F,27,26,2282,10,4,74,32,30,29,31,5,0
Lloyd Sam,DC,M-F,32,32,2832,4,9,37,16,30,60,7,6,0
Shaun Francis,SJ,D,20,16,1436,0,0,7,1,29,7,0,5,0
Scott Caldwell,NE,M,26,14,1553,0,2,6,1,29,12,0,6,0
Darrius Barnes,NE,D,22,16,1628,1,2,6,2,29,11,0,4,0
Gonzalo Segares,CHI,D,21,20,1741,0,0,2,1,29,13,2,6,0
Bobby Burling,CHV,D,22,20,1807,1,0,8,1,29,16,0,7,1
Russell Teibert,VAN,M,29,22,1971,0,2,15,1,29,16,0,4,0
Víctor Bernárdez,SJ,D,26,25,2231,2,1,8,4,29,22,1,6,0
Chris Wingert,RSL,D,30,30,2537,0,3,8,2,29,15,0,6,0
Justin Morrow,TOR,D,31,30,2676,0,3,8,1,29,22,4,6,0
Ned Grabavoy,RSL,M,33,30,2711,2,3,28,10,29,45,5,2,0
Matt Hedges,DAL,D,32,32,2790,3,1,19,6,29,17,2,4,0
Carlos Alvarez,CHV,M,21,13,1262,0,1,29,7,28,9,0,4,0
Brad Evans,SKC,D-M,26,22,1896,0,5,8,2,28,24,1,4,0
Omar Gonzalez,USA,D,22,22,1902,4,2,18,10,28,19,1,5,1
Donny Toia,ORL,D,27,24,2240,0,0,13,3,28,8,1,5,0
Maximiliano Urruti,DAL,F,30,12,1181,10,2,47,15,27,21,22,1,0
Olmes Garcia,RSL,F,23,12,1191,3,0,31,12,27,28,10,4,0
Danny Cruz,PHI,M-F,26,16,1352,3,2,35,16,27,23,2,3,0
Fanendo Adi,POR,F,24,18,1512,9,4,53,24,27,41,23,1,0
Justin Meram,ORL,M,32,19,1683,8,4,52,21,27,30,1,2,0
Patrick Mullins,DC,F,21,14,1198,4,1,37,16,26,27,8,1,0
Jairo Arrieta,CLB,F,23,14,1236,5,1,44,16,26,14,21,1,0
Zach Scott,SEA,D,18,16,1389,0,0,2,0,26,14,2,6,0
Roy Miller,POR,D,23,22,1943,0,3,10,0,26,9,2,2,0
Ibrahim Sekagya,NY,D,25,23,1947,0,0,6,0,26,7,0,4,1
Matt Watson,CHI,M,27,22,2034,1,1,25,9,26,19,2,4,0
Michael Bradley,TOR,M,25,25,2198,2,4,52,12,26,28,0,6,0
Dax McCarty,CHI,M,31,29,2661,3,3,24,7,26,36,3,2,0
Rodney Wallace,NYC,F,17,12,1058,5,1,24,11,25,12,6,2,0
Alvaro Saborio,RSL,F,16,13,1148,8,2,47,18,25,18,20,3,0
Jared Watts,COL,D-M,17,13,1149,0,1,8,2,25,6,1,2,1
Warren Creavalle,PHI,M,26,17,1502,1,0,3,3,25,19,0,4,0
Shane O'Neill,COL,D,21,21,1890,1,0,6,4,25,12,0,6,0
Andrew Driver,HOU,M,34,22,1897,0,1,29,7,25,10,7,1,0
Luke Mulholland,RSL,M,31,24,1987,6,7,41,13,25,49,2,4,1
Igor Juliao,KC,D,23,23,1992,0,2,15,4,25,52,5,4,0
Andy O'Brien,VAN,D,26,25,2258,0,1,2,1,25,6,1,3,0
Dillon Powers,ORL,M,30,27,2328,5,9,33,12,25,63,4,2,0
Will Johnson,ORL,M,29,29,2526,6,2,59,21,25,43,3,4,0
Obafemi Martins,SEA,F,31,29,2600,17,13,77,36,25,67,11,4,2
Krzysztof Krol,MTL,D,12,11,961,0,1,2,0,24,8,0,4,1
Edson Buddle,COL,F,18,12,1116,2,1,33,9,24,13,3,1,0
Marky Delgado,TOR,M,20,12,1121,2,1,12,4,24,6,1,4,1
Dilly Duka,CHI,M,20,15,1354,3,3,29,9,24,18,5,3,0
Robbie Rogers,LA,D,19,15,1372,0,2,13,4,24,14,2,2,0
Darren Mattocks,DC,F,30,20,1802,6,3,54,23,24,33,15,2,0
Jean-Baptiste Pierazzi,SJ,M,24,23,1982,1,0,17,6,24,12,1,3,0
Sheanon Williams,PHI,D,24,23,2088,3,4,17,6,24,34,0,2,0
Graham Zusi,SKC,D-M,25,24,2151,5,8,32,13,24,43,3,3,0
Chris Wondolowski,SJ,F,26,26,2340,14,4,77,36,24,33,18,2,0
A.J. DeLaGarza,HOU,D,29,28,2491,0,2,2,2,24,31,0,4,0
Diego Valeri,POR,M,33,32,2763,11,14,104,42,24,45,7,6,0
Sanna Nyassi,CHI,M,14,10,739,2,1,18,7,23,22,6,2,0
Luis Garrido,HON,M,11,11,915,0,0,6,2,23,6,0,2,0
Gaston Fernandez,POR,M,32,17,1562,7,2,37,17,23,43,10,3,0
Jorge Villafaña,USA,D-M,19,17,1577,1,2,4,1,23,21,1,1,0
Pa-Modou Kah,VAN,D,20,20,1744,1,0,5,1,23,16,1,5,0
Brad Davis,HOU,M,25,25,2071,4,11,39,15,23,30,6,1,0
Eric Avila,CHV,M,29,26,2171,0,1,16,5,23,26,0,2,0
Baggio Husidic,LA,M,34,26,2197,5,4,44,9,23,29,1,3,0
Steven Beitashour,LAFC,D,27,27,2371,0,3,3,0,23,33,1,3,0
Robbie Keane,LA,F,29,28,2549,19,14,122,54,23,38,22,2,0
Adam Moffat,DAL,M,20,13,1150,0,0,14,1,22,6,1,4,1
Jermain Defoe,TOR,F,19,17,1529,11,2,58,25,22,23,25,5,0
Kevin Ellis,KC,D,20,16,1538,0,3,6,1,22,14,0,3,0
José Mari,COL,M,20,20,1745,4,1,34,11,22,28,0,3,1
Michael Harrington,POR,D,25,21,1749,0,2,3,0,22,7,0,1,1
Sebastian Fernandez,VAN,F,32,24,1968,5,0,54,17,22,64,9,6,0
Nick Hagglund,TOR,D,25,23,2088,2,3,22,6,22,21,2,2,2
Diego Fagundez,NE,M,31,25,2142,5,4,67,23,22,14,7,2,0
Federico Higuain,CLB,M,29,28,2488,11,7,73,25,22,45,9,8,0
Aaron Wheeler,PHI,F,15,8,759,0,0,6,1,21,21,0,0,0
CJ Sapong,PHI,F,20,7,811,2,0,14,5,21,22,4,1,0
Karl Ouimette,MTL,D,11,9,834,0,0,2,0,21,8,1,3,0
David Texeira,DAL,F,19,9,839,4,0,19,10,21,22,4,3,0
Alvas Powell,POR,D,15,11,1052,2,2,14,7,21,10,1,1,1
Andy Dorman,NE,M,16,15,1237,0,1,10,3,21,9,0,6,0
Tyson Wahl,CLB,D,18,15,1396,0,0,1,0,21,5,1,3,0
Daigo Kobayashi,NE,M,34,23,1867,0,4,24,6,21,23,0,4,0
Stefan Ishizaki,LA,M,30,22,1898,5,7,35,15,21,20,3,2,0
Marc Burch,MIN,D,22,21,1899,1,3,11,1,21,12,0,3,0
Jack McInerney,MTL,F,30,25,2116,8,2,56,19,21,19,18,2,0
Mark Bloom,TOR,D,26,26,2290,0,1,9,3,21,27,3,2,0
Hernan Bernardello,MTL,M,10,10,844,0,0,7,2,20,8,0,3,0
Nathan Sturgis,CHV,M,22,13,1201,0,1,3,0,20,11,1,5,0
Wandrille Lefevre,MTL,D,15,13,1220,0,1,3,1,20,8,0,3,0
Akira Kaji,CHV,D,15,14,1270,0,1,0,0,20,6,0,1,0
Luis Silva,RSL,F,27,22,1523,11,4,39,17,20,18,4,2,0
Chris Klute,COL,D,25,24,2132,0,1,6,2,20,4,1,1,0
Marvell Wynne,COL,D,28,27,2404,0,1,3,0,20,9,0,2,1
Zach Loyd,DAL,D,29,28,2414,1,0,5,2,20,25,1,2,1
Chad Marshall,SEA,D,31,31,2790,1,3,14,4,20,36,1,1,0
Ben Zemanski,POR,M,13,7,734,0,0,10,2,19,5,1,2,0
Aaron Schoenfeld,CLB,F,15,7,748,3,1,24,11,19,15,9,1,0
Hendry Thomas,DAL,M,10,9,770,0,1,4,0,19,9,0,2,1
Chad Barrett,SEA,F,26,8,867,7,1,30,14,19,6,9,2,0
Leonardo,HOU,D,24,20,1837,1,0,8,1,19,7,0,1,0
Ethan Finlay,MIN,F,29,21,1898,11,7,50,22,19,36,12,2,0
Kelyn Rowe,NE,M,27,21,1960,5,5,59,15,19,40,3,3,0
Sean Franklin,VAN,D,29,28,2532,1,4,16,3,19,15,5,0,0
Pedro Morales,VAN,M,33,28,2554,10,12,105,39,19,29,2,4,0
