Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Landon Donovan,LA,M-F,31,30,19,5,11,8,0.63
Robbie Keane,LA,F,29,28,14,6,8,6,0.49
Thierry Henry,NY,F,30,30,14,4,11,3,0.48
Diego Valeri,POR,M,33,32,14,1,10,4,0.46
Obafemi Martins,SEA,F,31,29,13,4,7,6,0.45
Pedro Morales,VAN,M,33,28,12,4,8,4,0.42
Javier Morales,RSL,M,30,30,12,2,7,5,0.41
Cristian Maidana,PHI,M,26,23,11,2,8,3,0.52
Brad Davis,HOU,M,25,25,11,4,7,4,0.48
Marcelo Sarvas,LA,M,28,25,11,4,6,5,0.45
Mauro Rosales,CHV,M,32,26,11,3,5,6,0.42
Clint Dempsey,SEA,F,26,23,10,5,4,6,0.42
Fabian Espindola,DC,F,27,24,9,4,6,3,0.38
Lamar Neagle,SEA,M,32,27,9,0,5,4,0.36
Dillon Powers,ORL,M,30,27,9,1,5,4,0.35
Eric Alexander,HOU,M,34,30,9,2,7,2,0.31
Lloyd Sam,DC,M-F,32,32,9,3,5,4,0.29
Justin Mapp,MTL,M,23,20,8,0,4,4,0.42
Graham Zusi,SKC,D-M,25,24,8,2,4,4,0.33
Shea Salinas,SJ,M,31,30,8,2,5,3,0.29
Stefan Ishizaki,LA,M,30,22,7,3,5,2,0.33
Ethan Finlay,MIN,F,29,21,7,0,2,5,0.33
Luke Mulholland,RSL,M,31,24,7,2,5,2,0.32
Sébastien Le Toux,PHI,F,29,23,7,2,5,2,0.31
Gonzalo Pineda,SEA,M,28,24,7,4,3,4,0.28
Federico Higuain,CLB,M,29,28,7,2,4,3,0.25
Darlington Nagbe,ATL,M,32,30,7,2,4,3,0.23
Chris Rolfe,CHI,F,23,21,6,2,4,2,0.31
Joao Plata,RSL,F,26,24,6,2,4,2,0.27
Blas Pérez,DAL,F,29,24,6,1,2,4,0.26
Waylon Francis,SEA,D,24,24,6,1,3,3,0.26
Harry Shipp,SEA,M,33,26,6,1,4,2,0.23
Teal Bunbury,NE,F,31,28,6,1,3,3,0.22
Felipe,VAN,M,31,28,6,1,4,2,0.22
Benny Feilhaber,LAFC,M,31,30,6,1,3,3,0.21
Tony Tchani,CHI,M,33,33,6,2,2,4,0.18
Hector Jimenez,CLB,M,24,19,5,1,1,4,0.27
Michel Garbini Pereira,DAL,M-D,25,20,5,1,4,1,0.25
Brad Evans,SKC,D-M,26,22,5,1,1,4,0.24
Chris Tierney,NE,D-M,24,21,5,2,3,2,0.23
Marco Pappa,SEA,M,29,24,5,4,3,2,0.23
Gilberto,TOR,F,28,21,5,1,4,1,0.23
Kelyn Rowe,NE,M,27,21,5,2,4,1,0.23
Dominic Oduro,MTL,M,35,23,5,1,1,4,0.21
Dan Gargan,LA,D,29,27,5,1,0,5,0.19
Quincy Amarikwa,SJ,F,32,29,5,0,4,1,0.18
Nick DeLeon,DC,M,32,31,5,0,4,1,0.17
Diego Chara,POR,M,31,31,5,3,2,3,0.16
Lee Nguyen,NE,M,32,32,5,1,2,3,0.16
Giles Barnes,HOU,M,34,34,5,2,3,2,0.15
Jermaine Jones,NE,M,10,7,4,2,3,1,0.59
Kenny Cooper,SEA,F,22,12,4,1,1,3,0.36
Charlie Davies,NE,F,18,13,4,2,2,2,0.31
Fanendo Adi,POR,F,24,18,4,0,3,1,0.24
Mike Magee,CHI,M,17,17,4,1,2,2,0.24
Luis Silva,RSL,F,27,22,4,1,1,3,0.24
Andrés Escobar,DAL,F,23,18,4,1,3,1,0.23
Dillon Serna,COL,M,27,18,4,2,2,2,0.22
Justin Meram,ORL,M,32,19,4,2,2,2,0.21
Jair Benítez,DAL,D,26,19,4,0,3,1,0.21
Marco Di Vaio,MTL,F,26,17,4,1,3,1,0.21
Daigo Kobayashi,NE,M,34,23,4,2,2,2,0.19
Jonathan Osorio,TOR,M,27,24,4,2,2,2,0.18
Ricardo Clark,CLB,M,25,24,4,1,4,0,0.17
Sheanon Williams,PHI,D,24,23,4,3,2,2,0.17
Andrew Wenger,HOU,F,32,22,4,2,2,2,0.17
Diego Fagundez,NE,M,31,25,4,1,3,1,0.17
Luke Moore,CHV,F,33,24,4,0,1,3,0.17
Baggio Husidic,LA,M,34,26,4,0,3,1,0.16
Michael Bradley,TOR,M,25,25,4,1,2,2,0.16
DeAndre Yedlin,USA,D,25,25,4,1,2,2,0.16
Fabian Castillo,DAL,M-F,27,26,4,1,1,3,0.16
Chris Wondolowski,SJ,F,26,26,4,1,3,1,0.15
Wil Trapp,CLB,M,28,28,4,2,4,0,0.14
Sean Franklin,VAN,D,29,28,4,2,2,2,0.14
Juninho,LA,M,34,31,4,1,1,3,0.13
Perry Kitchen,LA,M,31,31,4,1,3,1,0.13
Kofi Sarkodie,HOU,D,32,32,4,2,3,1,0.13
Martin Rivero,CHV,M,7,6,3,0,0,3,0.47
Kevin Alston,NE,D,11,9,3,1,1,2,0.4
Ben Speas,CLB,M-F,13,8,3,0,2,1,0.38
Steve Zakuani,POR,M,17,9,3,0,2,1,0.37
Patrick Nyarko,CHI,F-M,17,9,3,0,0,3,0.32
Kosuke Kimura,NY,D,13,10,3,1,2,1,0.31
Mauro Diaz,DAL,M,17,9,3,1,1,2,0.29
Antonio Dovale,KC,M,19,14,3,0,2,1,0.26
Ambroise Oyongo,NY,D,13,11,3,0,1,2,0.26
Sal Zizzo,ATL,D,19,13,3,0,1,2,0.25
Calum Mallace,LAFC,M,23,12,3,0,1,2,0.24
Omar Cummings,HOU,F,26,14,3,1,3,0,0.21
Dilly Duka,CHI,M,20,15,3,0,3,0,0.2
Chris Korb,DC,D,19,15,3,2,3,0,0.2
Kevin Ellis,KC,D,20,16,3,2,2,1,0.18
Paulo Nagamura,KC,M,21,21,3,0,2,1,0.15
Tesho Akindele,DAL,F,26,18,3,2,2,1,0.15
Darren Mattocks,DC,F,30,20,3,1,2,1,0.15
Patrice Bernier,MTL,M,26,20,3,0,2,1,0.15
Erik Hurtado,VAN,F-M,30,19,3,1,2,1,0.15
Corey Ashe,HOU,M,21,20,3,0,2,1,0.14
Marc Burch,MIN,D,22,21,3,1,2,1,0.14
Roy Miller,POR,D,23,22,3,0,3,0,0.14
Eddie Johnson,DC,F,26,22,3,1,3,0,0.14
Nick Hagglund,TOR,D,25,23,3,0,1,2,0.13
Andres Romero,MTL,M,29,25,3,0,1,2,0.12
Steven Beitashour,LAFC,D,27,27,3,1,2,1,0.11
Vincent Nogueira,PHI,M,29,28,3,0,2,1,0.11
Kyle Beckerman,RSL,M,28,28,3,1,2,1,0.11
Chris Wingert,RSL,D,30,30,3,1,2,1,0.11
Dax McCarty,CHI,M,31,29,3,1,2,1,0.1
Justin Morrow,TOR,D,31,30,3,0,0,3,0.1
Ned Grabavoy,RSL,M,33,30,3,0,2,1,0.1
Chad Marshall,SEA,D,31,31,3,0,1,2,0.1
Jeff Larentowicz,ATL,M,33,33,3,1,2,1,0.09
Bobby Boswell,DC,D,34,34,3,1,2,1,0.09
Sebastian Velasquez,RSL,M,10,1,2,1,1,1,0.81
David Estrada,DC,M-F,10,3,2,0,1,1,0.59
Jonny Steele,NY,M,15,6,2,0,1,1,0.29
Daniel Lovitz,MTL,D,18,5,2,1,2,0,0.29
Grant Ward,CHI,M,23,12,2,1,1,1,0.17
Alvas Powell,POR,D,15,11,2,0,1,1,0.17
Greg Cochrane,CHI,D,12,12,2,0,1,1,0.17
Khari Stephenson,SJ,M,19,11,2,1,1,1,0.17
Taylor Kemp,DC,D,13,12,2,1,2,0,0.17
Yannick Djalo,SJ,M,18,13,2,0,2,0,0.16
Alvaro Saborio,RSL,F,16,13,2,1,0,2,0.16
Maximiliano Urruti,DAL,F,30,12,2,0,1,1,0.15
Kekuta Manneh,VAN,M-F,29,13,2,2,2,0,0.15
Jacob Peterson,KC,F,22,13,2,1,1,1,0.14
Danny Cruz,PHI,M-F,26,16,2,0,2,0,0.13
Robbie Rogers,LA,D,19,15,2,0,1,1,0.13
Luis Gil,RSL,M,26,16,2,1,1,1,0.13
Jack Jewsbury,POR,M,19,16,2,0,2,0,0.13
Conor Casey,PHI,F,25,18,2,1,2,0,0.13
Nigel Reo-Coker,CHV,M,21,17,2,0,1,1,0.12
Tim Cahill,NY,M,23,18,2,0,1,1,0.12
Jermain Defoe,TOR,F,19,17,2,0,0,2,0.12
Scott Caldwell,NE,M,26,14,2,1,0,2,0.12
Gaston Fernandez,POR,M,32,17,2,1,0,2,0.12
Jorge Villafaña,USA,D-M,19,17,2,2,1,1,0.11
Cordell Cato,SJ,F,27,16,2,0,1,1,0.11
Atiba Harris,SJ,D,24,19,2,0,1,1,0.11
Darrius Barnes,NE,D,22,16,2,2,1,1,0.11
Fabinho,PHI,D,19,19,2,0,2,0,0.11
Michael Harrington,POR,D,25,21,2,0,1,1,0.1
Omar Gonzalez,USA,D,22,22,2,0,0,2,0.09
Russell Teibert,VAN,M,29,22,2,0,0,2,0.09
Igor Juliao,KC,D,23,23,2,1,0,2,0.09
Leandro Barrera,CHV,M,32,24,2,0,1,1,0.09
Jack McInerney,MTL,F,30,25,2,0,1,1,0.09
Collen Warner,MIN,M,29,28,2,1,0,2,0.08
José Gonçalves,NE,D,27,27,2,1,2,0,0.08
Gyasi Zardes,CLB,F,32,26,2,0,2,0,0.08
Je-Vaughn Watson,DAL,D,31,29,2,0,2,0,0.07
A.J. DeLaGarza,HOU,D,29,28,2,0,2,0,0.07
Will Johnson,ORL,M,29,29,2,0,2,0,0.07
Bradley Wright-Phillips,RBNY,F,32,29,2,0,1,1,0.07
Seth Sinovic,SKC,D,31,31,2,1,0,2,0.07
Maurice Edu,PHI,M,31,31,2,0,0,2,0.06
Amobi Okugo,PHI,D-M,32,31,2,0,1,1,0.06
Osvaldo Alonso,SEA,M,33,33,2,1,1,1,0.06
Raymon Gaddis,PHI,D,34,34,2,0,1,1,0.06
Bradford Jamieson IV,LA,F,2,0,1,0,0,1,3.91
Samuel Inkoom,GHA,M,2,1,1,0,0,1,1.29
Adolfo Bautista,CHV,F,7,1,1,0,0,1,0.61
Kristopher Tyrpak,CHV,F,9,0,1,0,0,1,0.58
Mark Sherrod,HOU,F,9,3,1,1,1,0,0.4
Brian Brown,PHI,F,8,1,1,0,1,0,0.39
Rob Friend,LA,F,10,4,1,0,0,1,0.24
Matías Pérez García,SJ,F,6,4,1,0,0,1,0.23
Matt Dunn,CHV,M,7,4,1,0,1,0,0.22
Charles Eloundou,COL,F,11,4,1,0,0,1,0.22
