day,date,home_team,result,away_team
Saturday,March 19,Houston,0-1,PHI
Saturday,March 26,PHI,1-0,Vancouver
Saturday,April 2,LA Galaxy,1-0,PHI
Saturday,April 9,PHI,1-0,NY Red Bulls
Saturday,April 16,Seattle,1-1,PHI
Saturday,April 30,PHI,1-0,San Jose
Friday,May 6,Portland,1-0,PHI
Wednesday,May 11,PHI,1-1,LA Galaxy
Saturday,May 14,FC Dallas,2-0,PHI
Saturday,May 21,PHI,2-1,Chicago
Saturday,May 28,Toronto FC,2-6,PHI
Saturday,June 4,Colorado,1-1,PHI
Saturday,June 11,PHI,1-1,Real Salt Lake
Saturday,June 18,Vancouver,1-0,PHI
Wednesday,June 22,PHI,0-0,Sporting KC
Saturday,June 25,PHI,3-2,Chivas USA
Saturday,July 2,D.C. United,2-2,PHI
Saturday,July 9,San Jose,0-0,PHI
Sunday,July 17,New England,0-3,PHI
Friday,July 29,PHI,1-2,Colorado
Wednesday,August 3,Chicago,1-1,PHI
Saturday,August 6,PHI,1-1,Houston
Saturday,August 13,PHI,2-2,FC Dallas
Saturday,August 20,Columbus,2-1,PHI
Saturday,September 3,Real Salt Lake,2-1,PHI
Wednesday,September 7,PHI,4-4,New England
Saturday,September 10,PHI,0-0,Portland
Saturday,September 17,PHI,1-0,Columbus
Friday,September 23,Sporting KC,1-1,PHI
Thursday,September 29,PHI,3-2,D.C. United
Sunday,October 2,Chivas USA,1-1,PHI
Saturday,October 8,Seattle,0-2,PHI
Saturday,October 15,PHI,1-1,Toronto FC
Thursday,October 20,NY Red Bulls,1-0,PHI
