day,date,home_team,result,away_team
Saturday,March 19,HOU,0-1,Philadelphia
Friday,March 25,Seattle,1-1,HOU
Saturday,April 2,NY Red Bulls,1-1,HOU
Sunday,April 10,HOU,3-1,Vancouver
Sunday,April 17,HOU,1-0,New England
Saturday,April 23,Chicago,1-1,HOU
Friday,April 29,HOU,4-1,D.C. United
Wednesday,May 4,HOU,1-2,Colorado
Saturday,May 7,Toronto FC,2-1,HOU
Saturday,May 14,Real Salt Lake,0-0,HOU
Saturday,May 21,HOU,2-2,NY Red Bulls
Wednesday,May 25,LA Galaxy,1-0,HOU
Saturday,May 28,HOU,2-2,FC Dallas
Saturday,June 4,San Jose,2-0,HOU
Saturday,June 11,HOU,2-1,Chivas USA
Saturday,June 18,HOU,0-2,Columbus
Saturday,June 25,D.C. United,2-2,HOU
Sunday,July 3,Colorado,0-0,HOU
Saturday,July 9,HOU,2-0,Toronto FC
Saturday,July 16,HOU,1-1,Sporting KC
Saturday,July 23,Chivas USA,3-0,HOU
Saturday,July 30,Seattle,3-1,HOU
Saturday,August 6,Philadelphia,1-1,HOU
Sunday,August 14,HOU,2-1,Portland
Wednesday,August 17,New England,1-1,HOU
Saturday,August 20,HOU,3-2,Real Salt Lake
Saturday,August 27,Vancouver,1-0,HOU
Saturday,September 10,Sporting KC,3-0,HOU
Wednesday,September 14,Columbus,2-2,HOU
Saturday,September 17,HOU,2-1,San Jose
Saturday,September 24,FC Dallas,0-1,HOU
Saturday,October 1,HOU,1-1,Chicago
Friday,October 14,Portland,0-2,HOU
Sunday,October 23,HOU,3-1,LA Galaxy
