Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Steve Ralston,TB,M,32,32,18,3,9,9,0.56
Marco Etcheverry,DC,M,22,22,17,4,6,11,0.81
Mauricio Cienfuegos,LA,M,30,29,17,8,5,12,0.58
Carlos Valderrama,MIA,M,31,31,15,4,7,8,0.49
Jason Kreis,DAL,M,32,32,15,7,9,6,0.48
Henry Gutierrez,MIA,M,30,28,14,3,9,5,0.52
Eddie Lewis,SJ,M,29,29,14,5,10,4,0.49
Jaime Moreno,DC,F,25,25,13,5,9,4,0.55
Robert Warzycha,CLB,M,28,23,12,2,7,5,0.52
Ben Olsen,DC,M,28,26,11,2,6,5,0.43
Preki,KC,M,30,28,11,2,8,3,0.38
Roy Lassiter,DC,F,30,29,11,5,7,4,0.38
Roman Kosecki,CHI,F,25,23,10,4,8,2,0.49
Brian McBride,CLB,F,25,25,10,3,4,6,0.41
Ross Paule,COL,M,26,26,9,5,4,5,0.36
Mauricio Ramos,TB,M,30,28,9,2,5,4,0.36
Jeff Baicher,NE,M,30,30,9,2,4,5,0.34
Ronald Cerritos,SJ,F,31,30,9,3,5,4,0.3
John Harkes,NE,M,22,21,8,0,2,6,0.38
Wolde Harris,COL,F,29,24,8,3,5,3,0.34
Jerzy Podbrozny,CHI,F,29,28,8,3,3,5,0.31
Lubos Kubik,CHI,D,27,27,8,1,3,5,0.3
Peter Nowak,CHI,M,28,28,8,2,4,4,0.29
Cobi Jones,LA,M,28,28,8,2,4,4,0.29
Brian Maisonneuve,CLB,M,29,28,8,1,6,2,0.29
Joe-Max Moore,NE,F,29,29,8,0,4,4,0.28
Wade Barrett,SJ,D,31,31,8,1,7,1,0.26
Chad Deering,DAL,M,25,22,7,0,3,4,0.33
Roy Myers,LA,M-F,26,23,7,3,4,3,0.32
Mark Chung,MET,M,26,22,7,2,3,4,0.32
Ante Razov,CHI,F,30,24,7,3,2,5,0.3
Dominic Kinnear,TB,M,28,27,7,2,3,4,0.29
Welton,LA,F,29,27,7,1,4,3,0.27
Leonel Alvarez,DAL,M,29,28,7,3,4,3,0.26
Raul Diaz Arce,SJ,F,31,29,7,2,2,5,0.24
Greg Vanney,LA,D,31,31,7,3,6,1,0.23
Nelson Vargas,MIA,M,22,14,6,2,3,3,0.46
Anders Limpar,COL,M,18,16,6,2,4,2,0.4
A.J. Wood,DC,F,24,13,6,0,4,2,0.39
Petter Villegas,MET,M,30,10,6,1,4,2,0.38
Mark Santel,DAL,M,26,22,6,2,3,3,0.3
Clint Mathis,LA,M,27,20,6,2,2,4,0.29
Oscar Pareja,DAL,M,27,25,6,2,2,4,0.28
Richie Williams,DC,M,23,23,6,3,4,2,0.27
Jorge Dely Valdes,COL,F,32,27,6,1,3,3,0.22
Chris Henderson,KC,M,30,29,6,2,4,2,0.21
Manny Lagos,CHI,M,19,9,5,1,2,3,0.52
Paul Dougherty,CHI,F,19,11,5,2,4,1,0.42
Jeff Cunningham,CLB,F,28,15,5,2,5,0,0.29
Brian Johnson,KC,M,26,19,5,0,5,0,0.27
Simon Elliott,LA,M,23,18,5,1,1,4,0.27
Musa Shannon,TB,M-F,27,21,5,1,1,4,0.25
Chris Armas,CHI,M,22,22,5,2,3,2,0.23
Paul Bravo,COL,M,25,23,5,2,1,4,0.23
Geoff Aunger,DC,D,26,24,5,1,1,4,0.21
Diego Gutierrez,CHI,D,28,25,5,1,4,1,0.21
Chris Klein,KC,M,30,24,5,0,4,1,0.2
Diego Sonora,DC,M-D,27,27,5,0,2,3,0.2
Tyrone Marshall,MIA,D,28,25,5,2,3,2,0.2
Danny Pena,LA,D,27,27,5,1,2,3,0.2
Ted Chronopoulos,NE,D,31,31,5,0,2,3,0.17
Dante Washington,DAL,F,21,10,4,1,3,1,0.36
Brian West,CLB,M-F,22,13,4,0,4,0,0.34
Braeden Cloutier,SJ,M,26,18,4,2,3,1,0.23
Alex Bunbury,KC,F,19,17,4,1,3,1,0.23
Carey Talley,DC,D,29,16,4,0,2,2,0.22
Brian Kelly,MET,M,28,21,4,1,2,2,0.2
Brian Kamler,DC,M,28,23,4,1,3,1,0.17
John Doyle,SJ,D,27,25,4,1,2,2,0.17
Ivan McKinley,NE,D-M,29,29,4,3,3,1,0.15
Mike Burns,NE,M,28,28,4,2,2,2,0.14
Maurice Johnston,KC,M-F,29,29,4,0,2,2,0.14
Mike Lapper,CLB,D,31,30,4,1,2,2,0.13
Tab Ramos,MET,M,5,4,3,0,0,3,0.78
Maurizio Rocha,MIA,M,11,5,3,0,0,3,0.49
Scott Bower,SJ,M,17,6,3,1,1,2,0.42
Matt Kmosko,CLB,D,14,9,3,1,2,1,0.34
Miles Joseph,MET,M,20,13,3,1,2,1,0.23
Henry Zambrano,MET,F,14,14,3,0,2,1,0.23
Andy Williams,CLB,M,21,11,3,2,0,3,0.22
Johnny Torres,NE,F,27,10,3,1,2,1,0.22
Carlos Hermosillo,LA,F,16,16,3,3,1,2,0.21
Joe Franchino,LA,M,25,16,3,0,2,1,0.21
John Maessner,DC,M-D,24,21,3,1,2,1,0.17
Scott Vermillion,KC,D,24,22,3,2,2,1,0.17
Chris Brown,KC,M-F,28,19,3,1,0,3,0.16
Ezra Hendrickson,LA,D,26,19,3,0,2,1,0.16
Jason Farrell,CLB,F,28,20,3,0,2,1,0.16
Alejandro Sequeira,SJ,F,25,22,3,1,1,2,0.15
Ansil Elcock,CLB,D,28,20,3,0,1,2,0.14
Pablo Mastroeni,MIA,M,23,23,3,0,2,1,0.13
Ted Eck,DAL,M-F,31,25,3,3,3,0,0.12
Richard Mulrooney,SJ,M,32,25,3,0,2,1,0.12
Eduardo Hurtado,MET,F,28,26,3,1,2,1,0.11
Jorge Rodriguez,DAL,M-D,30,28,3,1,2,1,0.11
Mike Clark,CLB,D,30,30,3,1,2,1,0.11
Tim Sahaydak,MIA,D,9,4,2,0,1,1,0.65
Roberto Gaucho,MIA,F,5,4,2,0,1,1,0.61
Mickey Trotman,DAL,F,7,6,2,0,2,0,0.37
Sasa Curcic,MET,F,9,7,2,0,1,1,0.37
Brian Haynes,DAL,M,18,3,2,1,1,1,0.34
Paul Broome,DAL,M,13,5,2,1,2,0,0.29
Vitalis Takawira,KC,F,18,6,2,0,2,0,0.28
Antonio Otero,DC,M,12,8,2,1,1,1,0.25
John Jairo Trellez,DAL,F,17,9,2,1,1,1,0.23
Jim Rooney,MET,M,13,9,2,1,1,1,0.21
Kevin Anderson,COL,M-D,17,11,2,2,0,2,0.2
Nansha Kalonji,MET,D,19,9,2,0,1,1,0.19
Kris Kelderman,NE,M,18,11,2,0,0,2,0.18
Jason Moore,DC,M,16,12,2,1,0,2,0.18
Sergi Daniv,DAL,M,13,12,2,0,1,1,0.18
Ritchie Kotschau,CHI,D,15,11,2,0,1,1,0.17
Dario Brose,SJ,M,27,12,2,1,1,1,0.14
Jair,NE,M,21,17,2,0,2,0,0.14
Jason Bent,COL,M,18,16,2,2,1,1,0.12
Josh Wolff,CHI,F,28,17,2,1,1,1,0.1
Diego Serna,MIA,F,21,20,2,0,1,1,0.1
Joey DiGiamarino,COL,M,26,21,2,1,0,2,0.09
Mike Sorber,MET,M,24,24,2,0,1,1,0.09
Giovanni Savarese,NE,F,27,25,2,0,0,2,0.09
C.J. Brown,CHI,D,26,26,2,0,0,2,0.08
Stern John,CLB,F,28,26,2,2,2,0,0.08
Jesse Marsch,CHI,M,29,27,2,2,1,1,0.08
Matt McKeon,COL,D,28,27,2,1,1,1,0.07
Marcelo Balboa,COL,D,27,27,2,1,2,0,0.07
Mauricio Wright,SJ,D,27,27,2,0,1,1,0.07
Jeff Agoos,DC,D,30,29,2,0,0,2,0.07
Ramiro Corrales,MET,M,31,31,2,0,1,1,0.07
Brandon Pollard,DAL,D,31,31,2,1,2,0,0.06
Peter Vermes,COL,D,32,32,2,1,1,1,0.06
Cesar Alvarado,TB,M,1,0,1,0,1,0,22.5
Harut Karapetyan,TB,F,2,0,1,0,0,1,2.81
Adam Frye,SJ,D,3,0,1,1,1,0,0.77
Marvin Quijano,LA,F,7,1,1,0,1,0,0.54
Clint Peay,DC,D,5,2,1,1,0,1,0.37
Rob Smith,CLB,M,8,3,1,0,1,0,0.27
Chris Albright,DC,D,8,4,1,0,0,1,0.26
Andrew Lewis,CHI,M,9,3,1,0,1,0,0.25
Paul Keegan,NE,F,10,4,1,0,1,0,0.25
Eric Quill,TB,F,15,3,1,0,1,0,0.21
Marquis White,COL,F,22,2,1,0,1,0,0.2
Guillermo Jara,COL,M,12,4,1,0,1,0,0.2
Frank Klopas,CHI,F,13,7,1,0,1,0,0.19
Eric Wynalda,MIA,F,6,6,1,0,1,0,0.18
Bobby Rhine,DAL,M,16,4,1,0,1,0,0.18
Jamar Beasley,NE,M,18,3,1,1,1,0,0.18
Chris Houser,TB,D,9,5,1,0,0,1,0.17
John DeBrito,CLB,D,8,8,1,1,1,0,0.14
Jefferson Gottardi,TB,F,11,11,1,0,1,0,0.12
Billy Thompson,CLB,M,16,9,1,0,0,1,0.11
Zak Ibsen,LA,M,23,9,1,0,0,1,0.11
Jeff Bilyk,MIA,M,11,10,1,0,0,1,0.1
Ariel Graziani,DAL,F,11,11,1,0,1,0,0.1
Brandon Prideaux,KC,D,15,8,1,0,0,1,0.1
Temoc Suarez,DAL,M,17,11,1,1,1,0,0.1
Jake Dancy,KC,M,14,10,1,0,0,1,0.09
Steve Trittschuh,COL,D,12,10,1,0,1,0,0.09
Joey Martinez,SJ,D,15,13,1,0,0,1,0.09
Carlos Parra,MIA,M,21,11,1,0,1,0,0.08
Jimmy Conrad,SJ,D,17,12,1,0,0,1,0.08
Lawrence Lozzano,LA,M,19,13,1,0,1,0,0.08
Jorge Salcedo,LA,M,19,12,1,0,0,1,0.08
Mohammad Khakpour,MET,D,14,14,1,1,0,1,0.07
Tim Martin,COL,D,19,15,1,0,0,1,0.07
Tom Soehn,CHI,D,23,14,1,0,1,0,0.07
Carlos Llamosa,DC,D,17,17,1,0,1,0,0.06
Edwin Gorter,MIA,M,21,18,1,0,1,0,0.06
Thomas Dooley,CLB,D,25,19,1,0,0,1,0.05
Steve Jolley,LA,D,25,21,1,0,0,1,0.05
Mike Petke,MET,D,25,23,1,0,1,0,0.04
Robin Fraser,LA,D,24,23,1,1,1,0,0.04
Sam George,CHI,M,27,26,1,0,0,1,0.04
Uche Okafor,KC,D,26,26,1,0,1,0,0.04
Paul Caligiuri,LA,D,27,27,1,0,0,1,0.04
Mario Gori,MIA,D,29,27,1,0,1,0,0.04
Todd Yeagley,CLB,M,29,27,1,1,0,1,0.04
Brian Dunseth,NE,D,29,25,1,1,0,1,0.04
Jay Heaps,MIA,D,29,28,1,0,0,1,0.04
Richard Farrer,DAL,D,30,29,1,0,0,1,0.03
Chad McCarty,TB,D,30,30,1,0,0,1,0.03
Alexi Lalas,KC,D,30,30,1,0,1,0,0.03
David Vaudreuil,COL,D,31,31,1,1,1,0,0.03
Tomasz Wygonik,MIA,M,0,0,0,0,0,0,0.0
Jesse Van Saun,CHI,F,0,0,0,0,0,0,0.0
Jose Vasquez,LA,D,0,0,0,0,0,0,0.0
Maxi Viera,SJ,M,0,0,0,0,0,0,0.0
Andrew Parrish,DAL,D,0,0,0,0,0,0,0.0
Scott Pearson,DC,F,0,0,0,0,0,0,0.0
John Rusek,MET,M-D,0,0,0,0,0,0,0.0
Jaime Estupinan,LA,M,0,0,0,0,0,0,0.0
Anthony Farras,SJ,F,0,0,0,0,0,0,0.0
Ray Goodlett,DC,D,0,0,0,0,0,0,0.0
Michael Green,KC,D,0,0,0,0,0,0,0.0
Gabe Jones,DAL,F,0,0,0,0,0,0,0.0
John Kerr,NE,F,0,0,0,0,0,0,0.0
Andreas Maier,MIA,M,0,0,0,0,0,0,0.0
Jim Manganello,MET,M,0,0,0,0,0,0,0.0
Evan Whitfield,CHI,D,0,0,0,0,0,0,0.0
Mark Baena,SJ,F,0,0,0,0,0,0,0.0
Gabe Eastman,LA,D,1,0,0,0,0,0,0.0
Fernando Fernandes,MET,M,1,0,0,0,0,0,0.0
Curt Onalfo,DC,D,1,0,0,0,0,0,0.0
Jose Botello,LA,F,1,0,0,0,0,0,0.0
Esmundo Rodriguez,SJ,M,1,0,0,0,0,0,0.0
Carlos Rocha,NE,F,1,0,0,0,0,0,0.0
David Hayes,DC,F,5,0,0,0,0,0,0.0
Eric Kvello,MET,M,2,1,0,0,0,0,0.0
Dan Stebbins,CHI,F,1,0,0,0,0,0,0.0
Rob Johnson,MET,F,1,0,0,0,0,0,0.0
Lazo Alavanja,DAL,M,1,0,0,0,0,0,0.0
Manny Motajo,NE,D,2,1,0,0,0,0,0.0
Mike Slivinski,DC,M,4,0,0,0,0,0,0.0
Leighton O'Brien,SJ,M,4,0,0,0,0,0,0.0
Brian Bates,DC,M,1,0,0,0,0,0,0.0
Chaka Daley,NE,D,2,0,0,0,0,0,0.0
John Wolyniec,MET,F,4,0,0,0,0,0,0.0
Carlos Farias,SJ,M,2,1,0,0,0,0,0.0
Caleb Porter,SJ,M,4,1,0,0,0,0,0.0
Tim Weaver,SJ,D,1,1,0,0,0,0,0.0
Jeff Zaun,CHI,D,1,1,0,0,0,0,0.0
Ubusuku Abukusumo,CLB,D,3,1,0,0,0,0,0.0
Imad Baba,NE,M,2,2,0,0,0,0,0.0
Alen Kozic,MIA,M,4,1,0,0,0,0,0.0
Alan Prampin,TB,F,4,1,0,0,0,0,0.0
Scott Uderitz,KC,D,2,2,0,0,0,0,0.0
Paul Wright,KC,F,6,1,0,0,0,0,0.0
Judah Cooks,DC,M,6,1,0,0,0,0,0.0
Jason Boyce,MIA,F,4,1,0,0,0,0,0.0
Tony Soto,KC,D,4,3,0,0,0,0,0.0
Seth George,LA,F,9,1,0,0,0,0,0.0
Kirk Wilson,DAL,M,5,2,0,0,0,0,0.0
Matt Chulis,CLB,D,4,3,0,0,0,0,0.0
Pete Marino,TB,F,15,0,0,0,0,0,0.0
Dema Kovalenko,CHI,M,11,1,0,0,0,0,0.0
Nino Da Silva,KC,F,8,3,0,0,0,0,0.0
Francisco Gomez,KC,M,7,4,0,0,0,0,0.0
Refik Sabanadzovic,KC,M,6,6,0,0,0,0,0.0
John Ball,CHI,M,9,4,0,0,0,0,0.0
Tony Kuhn,MIA,F,16,4,0,0,0,0,0.0
Saul Martinez,MIA,F,15,4,0,0,0,0,0.0
Darren Sawatzky,COL,F,14,5,0,0,0,0,0.0
Jan Eriksson,TB,D,6,6,0,0,0,0,0.0
Wade Webber,MIA,D,7,5,0,0,0,0,0.0
Paulo Dos Santos,NE,M,16,4,0,0,0,0,0.0
Joseph Addo,TB,D,8,8,0,0,0,0,0.0
Ryan Tinsley,CHI,D,13,7,0,0,0,0,0.0
Kevin Knight,MET,D,11,8,0,0,0,0,0.0
Chris Martinez,COL,D,16,8,0,0,0,0,0.0
Tahj Jakins,COL,D,19,9,0,0,0,0,0.0
Richard Goulooze,NE,D,11,9,0,0,0,0,0.0
Daniel Hernandez,LA,M,14,9,0,0,0,0,0.0
Mauricio Solis,SJ,M,12,12,0,0,0,0,0.0
Mike Duhaney,MET,D,19,13,0,0,0,0,0.0
R.T. Moore,TB,D,17,12,0,0,0,0,0.0
Vicente Figueroa,KC,D,22,14,0,0,0,0,0.0
Jeremy Aldrich,MIA,D,18,14,0,0,0,0,0.0
Arley Palacios,MET,D,17,16,0,0,0,0,0.0
Eric Dade,DAL,D,24,19,0,0,0,0,0.0
Eddie Pope,DC,D,19,18,0,0,0,0,0.0
Josh Keller,CHI,M,21,19,0,0,0,0,0.0
Sean Bowers,KC,D,25,20,0,0,0,0,0.0
Jamie Clark,SJ,D,26,22,0,0,0,0,0.0
Dan Calichman,NE,D,25,25,0,0,0,0,0.0
Mark Semioli,MET,D,24,24,0,0,0,0,0.0
Francis Okaroh,CHI,D,26,26,0,0,0,0,0.0
Leo Cullen,MIA,M,30,30,0,0,0,0,0.0
Billy Walsh,MET,M,30,30,0,0,0,0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan
