Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Jason Kreis,DAL,M,32,32,2815,18,15,114,57,1/2,15.8,50.0
Stern John,CLB,F,28,26,2293,18,2,104,45,0/1,17.3,43.3
Preki,KC,M,30,28,2572,7,11,97,31,1/2,7.2,32.0
Mauricio Ramos,TB,M,30,28,2254,3,9,96,30,0/0,3.1,31.3
Ante Razov,CHI,F,30,24,2068,14,7,90,49,2/2,15.6,54.4
Raul Diaz Arce,SJ,F,31,29,2586,13,7,90,40,2/2,14.4,44.4
Roy Lassiter,DC,F,30,29,2626,18,11,85,47,1/2,21.2,55.3
Joe-Max Moore,NE,F,29,29,2610,15,8,83,47,1/1,18.1,56.6
Brian McBride,CLB,F,25,25,2209,5,10,79,31,0/0,6.3,39.2
Eduardo Hurtado,MET,F,28,26,2377,7,3,79,30,1/2,8.9,38.0
Ronald Cerritos,SJ,F,31,30,2721,15,9,75,45,1/1,20.0,60.0
Jaime Moreno,DC,F,25,25,2114,10,13,70,34,2/2,14.3,48.6
Jorge Dely Valdes,COL,F,32,27,2415,10,6,70,28,0/0,14.3,40.0
Musa Shannon,TB,M-F,27,21,1829,12,5,69,33,0/0,17.4,47.8
Wolde Harris,COL,F,29,24,2096,8,8,68,36,3/5,11.8,52.9
Clint Mathis,LA,M,27,20,1890,7,6,63,19,0/0,11.1,30.2
Diego Serna,MIA,F,21,20,1862,10,2,62,26,0/0,16.1,41.9
Cobi Jones,LA,M,28,28,2488,8,8,62,32,0/1,12.9,51.6
Jeff Cunningham,CLB,F,28,15,1556,12,5,60,32,1/1,20.0,53.3
Jerzy Podbrozny,CHI,F,29,28,2357,4,8,60,23,0/0,6.7,38.3
Mark Chung,MET,M,26,22,1995,3,7,56,22,1/1,5.4,39.3
Josh Wolff,CHI,F,28,17,1775,10,2,55,34,0/0,18.2,61.8
Eddie Lewis,SJ,M,29,29,2546,4,14,55,25,0/0,7.3,45.5
Henry Gutierrez,MIA,M,30,28,2415,6,14,53,26,2/2,11.3,49.1
Roman Kosecki,CHI,F,25,23,1825,3,10,52,22,0/0,5.8,42.3
Brian Kelly,MET,M,28,21,1843,2,4,52,18,0/0,3.8,34.6
Jeff Baicher,NE,M,30,30,2397,4,9,49,26,0/0,8.2,53.1
Giovanni Savarese,NE,F,27,25,2062,10,2,48,30,0/0,20.8,62.5
Robert Warzycha,CLB,M,28,23,2077,3,12,48,16,0/0,6.3,33.3
Welton,LA,F,29,27,2374,8,7,47,28,0/0,17.0,59.6
Chris Henderson,KC,M,30,29,2625,3,6,47,22,0/0,6.4,46.8
A.J. Wood,DC,F,24,13,1385,8,6,44,17,0/0,18.2,38.6
Maurice Johnston,KC,M-F,29,29,2537,3,4,44,18,0/0,6.8,40.9
Alejandro Sequeira,SJ,F,25,22,1789,5,3,43,20,0/0,11.6,46.5
Ben Olsen,DC,M,28,26,2292,5,11,43,26,0/0,11.6,60.5
Petter Villegas,MET,M,30,10,1409,3,6,42,9,0/0,7.1,21.4
Edwin Gorter,MIA,M,21,18,1607,4,1,42,15,0/0,9.5,35.7
Lubos Kubik,CHI,D,27,27,2387,5,8,42,12,1/3,11.9,28.6
Ivan McKinley,NE,D-M,29,29,2430,4,4,42,18,0/0,9.5,42.9
Mauricio Cienfuegos,LA,M,30,29,2621,3,17,42,17,0/2,7.1,40.5
Alex Bunbury,KC,F,19,17,1579,4,4,41,19,0/0,9.8,46.3
Steve Ralston,TB,M,32,32,2872,5,18,41,17,0/0,12.2,41.5
Chris Brown,KC,M-F,28,19,1679,4,3,40,19,0/0,10.0,47.5
Paul Bravo,COL,M,25,23,1966,7,5,40,21,0/0,17.5,52.5
Chad Deering,DAL,M,25,22,1936,4,7,39,22,0/0,10.3,56.4
Chris Klein,KC,M,30,24,2198,6,5,39,16,0/0,15.4,41.0
Tyrone Marshall,MIA,D,28,25,2223,4,5,39,17,0/0,10.3,43.6
Carlos Hermosillo,LA,F,16,16,1280,8,3,38,24,0/0,21.1,63.2
Dario Brose,SJ,M,27,12,1288,4,2,38,13,0/0,10.5,34.2
Marco Etcheverry,DC,M,22,22,1890,4,17,37,18,0/0,10.8,48.6
