day,date,home_team,result,away_team
Sunday,March 28,NY Red Bulls,1-0,CLB
Saturday,April 3,Tampa Bay Mutiny,2-3,CLB
Thursday,April 8,LA Galaxy,1-2,CLB
Saturday,April 17,New England,0-1,CLB
Saturday,April 24,FC Dallas,2-0,CLB
Wednesday,April 28,Sporting KC,0-1,CLB
Sunday,May 9,San Jose,1-2,CLB
Saturday,May 15,CLB,2-0,New England
Saturday,May 22,CLB,0-1,Tampa Bay Mutiny
Saturday,May 29,CLB,2-1,LA Galaxy
Saturday,June 5,D.C. United,1-0,CLB
Sunday,June 13,CLB,1-2,D.C. United
Wednesday,June 16,CLB,2-1,New England
Saturday,June 26,CLB,2-1,NY Red Bulls
Wednesday,June 30,CLB,4-3,San Jose
Sunday,July 4,Colorado,0-3,CLB
Wednesday,July 7,CLB,1-2,D.C. United
Saturday,July 10,Fusion,2-0,CLB
Saturday,July 24,CLB,4-1,FC Dallas
Sunday,August 1,CLB,4-0,Fusion
Sunday,August 8,CLB,2-1,Sporting KC
Saturday,August 14,D.C. United,2-1,CLB
Wednesday,August 18,NY Red Bulls,2-4,CLB
Sunday,August 22,CLB,1-2,Tampa Bay Mutiny
Friday,August 27,Tampa Bay Mutiny,2-1,CLB
Saturday,September 4,CLB,2-1,Colorado
Sunday,September 12,CLB,1-2,NY Red Bulls
Saturday,September 18,New England,0-1,CLB
Thursday,September 23,Chicago,1-2,CLB
Sunday,September 26,CLB,2-1,Fusion
Sunday,October 3,Fusion,4-1,CLB
Sunday,October 10,CLB,2-3,Chicago
