Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Matt McKeon,COL,D,28,27,2415,0,2,29,10,80,31,0,9,0
Geoff Aunger,DC,D,26,24,2132,3,5,23,8,75,18,0,7,1
Ben Olsen,DC,M,28,26,2292,5,11,43,26,65,59,9,3,0
Wade Barrett,SJ,D,31,31,2790,1,8,20,6,63,32,1,5,0
Richie Williams,DC,M,23,23,1996,2,6,12,6,56,22,0,4,1
Jeff Baicher,NE,M,30,30,2397,4,9,49,26,56,66,8,9,0
Jaime Moreno,DC,F,25,25,2114,10,13,70,34,55,74,12,5,0
Danny Pena,LA,D,27,27,2276,2,5,34,10,55,35,0,10,0
Jay Heaps,MIA,D,29,28,2511,3,1,34,18,54,34,2,7,1
Wolde Harris,COL,F,29,24,2096,8,8,68,36,53,31,24,1,0
Mike Clark,CLB,D,30,30,2558,0,3,6,3,53,24,2,3,0
Diego Serna,MIA,F,21,20,1862,10,2,62,26,52,65,23,6,0
Mauricio Wright,SJ,D,27,27,2430,3,2,16,9,51,45,2,8,0
Roy Myers,LA,M-F,26,23,1970,4,7,28,17,50,55,9,6,0
Peter Nowak,CHI,M,28,28,2480,6,8,35,15,50,61,5,4,0
Maurice Johnston,KC,M-F,29,29,2537,3,4,44,18,49,36,9,8,0
Joe-Max Moore,NE,F,29,29,2610,15,8,83,47,49,66,23,1,0
Jason Kreis,DAL,M,32,32,2815,18,15,114,57,49,58,29,5,0
John Doyle,SJ,D,27,25,2150,1,4,14,8,47,26,2,1,1
Diego Gutierrez,CHI,D,28,25,2164,3,5,26,9,47,42,5,5,0
Arley Palacios,MET,D,17,16,1370,1,0,13,3,46,13,0,4,1
C.J. Brown,CHI,D,26,26,2238,0,2,6,2,45,23,0,3,0
Leonel Alvarez,DAL,M,29,28,2452,0,7,19,7,45,35,1,4,1
Braeden Cloutier,SJ,M,26,18,1576,1,4,20,6,44,12,0,6,1
Roman Kosecki,CHI,F,25,23,1825,3,10,52,22,44,66,20,5,0
Dan Calichman,NE,D,25,25,2009,0,0,2,2,44,40,0,3,0
Stern John,CLB,F,28,26,2293,18,2,104,45,44,54,37,0,0
Welton,LA,F,29,27,2374,8,7,47,28,44,41,31,3,0
Raul Diaz Arce,SJ,F,31,29,2586,13,7,90,40,43,34,37,4,0
Musa Shannon,TB,M-F,27,21,1829,12,5,69,33,42,41,22,3,0
Todd Yeagley,CLB,M,29,27,2356,1,1,3,2,42,31,2,2,0
Eduardo Hurtado,MET,F,28,26,2377,7,3,79,30,42,41,23,3,0
Mike Lapper,CLB,D,31,30,2700,1,4,14,6,42,34,1,6,0
Brian Johnson,KC,M,26,19,1674,0,5,20,2,41,17,1,1,0
Ansil Elcock,CLB,D,28,20,1908,3,3,16,9,41,32,4,5,0
Tyrone Marshall,MIA,D,28,25,2223,4,5,39,17,41,33,14,3,0
Francis Okaroh,CHI,D,26,26,2269,0,0,3,0,41,20,0,6,0
Ivan McKinley,NE,D-M,29,29,2430,4,4,42,18,41,15,5,8,1
Carey Talley,DC,D,29,16,1603,4,4,22,5,40,19,0,6,1
Chris Armas,CHI,M,22,22,1935,1,5,20,7,40,35,0,4,0
Brian Maisonneuve,CLB,M,29,28,2495,2,8,28,15,40,43,4,2,0
Chris Henderson,KC,M,30,29,2625,3,6,47,22,40,35,18,4,0
Alexi Lalas,KC,D,30,30,2700,4,1,31,16,40,42,9,8,0
Brandon Pollard,DAL,D,31,31,2790,0,2,5,0,40,34,1,5,0
Chad Deering,DAL,M,25,22,1936,4,7,39,22,39,24,0,2,0
Paul Caligiuri,LA,D,27,27,2275,1,1,14,2,39,34,0,5,1
