Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Kevin Hartman,LA,GK,32,32,2870,150,118,29,0.91,3/4,20,12,0,11,62.5,78.7
Mark Dougherty,CLB,GK,31,31,2745,152,106,35,1.13,4/4,18,12,0,6,58.1,69.7
Zach Thornton,CHI,GK,30,30,2633,137,99,32,1.07,2/3,17,12,0,7,56.7,72.3
Matt Jordan,DAL,GK,29,29,2584,172,133,31,1.07,0/2,17,11,0,11,58.6,77.3
Scott Garlick,TB,GK,28,28,2471,193,152,36,1.29,1/3,14,13,0,5,50.0,78.8
Tom Presthus,DC,GK,26,26,2227,129,88,34,1.31,0/1,17,8,0,3,65.4,68.2
Walter Zenga,NE,GK,25,25,2125,140,87,45,1.8,1/2,5,13,0,2,20.0,62.1
Mike Ammann,MET,GK,24,24,2138,155,91,51,2.13,2/2,6,18,0,2,25.0,58.7
Joe Cannon,SJ,GK,24,24,2160,131,96,32,1.33,2/6,14,10,0,4,58.3,73.3
Ian Feuer,COL,GK,19,19,1696,99,70,23,1.21,2/2,10,9,0,8,52.6,70.7
Jeff Causey,NE,GK,16,7,755,49,32,8,1.14,0/0,7,7,0,1,43.8,65.3
Garth Lagerwey,MIA,GK,16,14,1306,107,77,27,1.93,0/0,7,7,0,3,43.8,72.0
Chris Snitko,KC,GK,16,15,1395,95,66,26,1.73,1/1,4,10,0,2,25.0,69.5
Jeff Cassar,MIA,GK,15,15,1304,83,45,25,1.67,2/3,5,10,0,3,33.3,54.2
Marcus Hahnemann,COL,GK,13,13,1170,85,68,14,1.08,0/1,10,3,0,4,76.9,80.0
Mark Simpson,DC,GK,9,6,653,48,37,9,1.5,1/1,6,1,0,1,66.7,77.1
Tim Howard,COL,GK,9,8,742,55,37,13,1.63,0/0,1,7,0,0,11.1,67.3
Tony Meola,KC,GK,9,9,765,48,36,10,1.11,0/0,1,8,0,3,11.1,75.0
David Winner,KC,GK,8,7,631,42,27,13,1.86,1/3,3,5,0,0,37.5,64.3
David Kramer,SJ,GK,8,8,720,55,35,17,2.13,1/1,5,3,0,0,62.5,63.6
Mark Dodd,DAL,GK,6,3,296,23,18,4,1.33,0/0,2,2,0,1,33.3,78.3
Andy Kirk,TB,GK,6,4,409,32,18,14,3.5,1/1,0,5,0,0,0.0,56.3
Greg Sutton,CHI,GK,3,2,247,19,14,4,2.0,0/0,1,2,0,0,33.3,73.7
Dusty Hudock,MIA,GK,3,3,270,19,12,7,2.33,0/0,1,2,0,0,33.3,63.2
Matt Napoleon,CLB,GK,2,1,135,9,5,4,4.0,0/0,1,1,0,0,50.0,55.6
