Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Matt Jordan,DAL,GK,29,29,2584,31,1.07,0/2,17,11,0,11,58.6
Kevin Hartman,LA,GK,32,32,2870,29,0.91,3/4,20,12,0,11,62.5
Ian Feuer,COL,GK,19,19,1696,23,1.21,2/2,10,9,0,8,52.6
Zach Thornton,CHI,GK,30,30,2633,32,1.07,2/3,17,12,0,7,56.7
Mark Dougherty,CLB,GK,31,31,2745,35,1.13,4/4,18,12,0,6,58.1
Scott Garlick,TB,GK,28,28,2471,36,1.29,1/3,14,13,0,5,50.0
Marcus Hahnemann,COL,GK,13,13,1170,14,1.08,0/1,10,3,0,4,76.9
Joe Cannon,SJ,GK,24,24,2160,32,1.33,2/6,14,10,0,4,58.3
Tony Meola,KC,GK,9,9,765,10,1.11,0/0,1,8,0,3,11.1
Jeff Cassar,MIA,GK,15,15,1304,25,1.67,2/3,5,10,0,3,33.3
Garth Lagerwey,MIA,GK,16,14,1306,27,1.93,0/0,7,7,0,3,43.8
Tom Presthus,DC,GK,26,26,2227,34,1.31,0/1,17,8,0,3,65.4
Chris Snitko,KC,GK,16,15,1395,26,1.73,1/1,4,10,0,2,25.0
Mike Ammann,MET,GK,24,24,2138,51,2.13,2/2,6,18,0,2,25.0
Walter Zenga,NE,GK,25,25,2125,45,1.8,1/2,5,13,0,2,20.0
Mark Dodd,DAL,GK,6,3,296,4,1.33,0/0,2,2,0,1,33.3
Mark Simpson,DC,GK,9,6,653,9,1.5,1/1,6,1,0,1,66.7
Jeff Causey,NE,GK,16,7,755,8,1.14,0/0,7,7,0,1,43.8
Randy Dedini,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kevin East,MET,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kori Hunter,MET,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kurt Kelley,MET,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Anthony Latronica,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Mike Littman,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Bill May,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Steve McAnulty,MET,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Mike McGinty,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Johnny Morton,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
David Allred,TB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Bill Andracki,MET,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jon Busch,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Juergen Sommer,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
J.J. Wozniak,SJ,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Miguel Pineda,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Matt Nyman,TB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Scott Vallow,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jim Welch,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Russell Payne,COL,GK,1,0,14,2,2.0,1/1,0,0,0,0,0.0
Matt Reis,LA,GK,1,0,10,0,0.0,0/0,0,0,0,0,0.0
Cesar Delgado,KC,GK,1,1,90,4,4.0,0/0,0,1,0,0,0.0
Matt Napoleon,CLB,GK,2,1,135,4,4.0,0/0,1,1,0,0,50.0
Dusty Hudock,MIA,GK,3,3,270,7,2.33,0/0,1,2,0,0,33.3
Greg Sutton,CHI,GK,3,2,247,4,2.0,0/0,1,2,0,0,33.3
Andy Kirk,TB,GK,6,4,409,14,3.5,1/1,0,5,0,0,0.0
David Kramer,SJ,GK,8,8,720,17,2.13,1/1,5,3,0,0,62.5
David Winner,KC,GK,8,7,631,13,1.86,1/3,3,5,0,0,37.5
Tim Howard,COL,GK,9,8,742,13,1.63,0/0,1,7,0,0,11.1
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
