day,date,home_team,result,away_team
Saturday,March 20,LA Galaxy,2-1,COL
Saturday,March 27,San Jose,3-2,COL
Saturday,April 10,COL,4-1,Fusion
Saturday,April 17,COL,2-1,Sporting KC
Saturday,May 1,New England,1-2,COL
Saturday,May 8,FC Dallas,1-2,COL
Sunday,May 16,Chicago,0-1,COL
Saturday,May 22,COL,2-0,NY Red Bulls
Thursday,May 27,COL,4-2,San Jose
Thursday,June 3,San Jose,4-3,COL
Saturday,June 12,NY Red Bulls,0-1,COL
Saturday,June 19,COL,2-1,FC Dallas
Saturday,June 26,COL,2-0,Chicago
Sunday,July 4,COL,0-3,Columbus
Wednesday,July 7,Sporting KC,1-2,COL
Saturday,July 10,D.C. United,1-2,COL
Sunday,July 25,COL,2-3,Tampa Bay Mutiny
Wednesday,July 28,COL,1-0,LA Galaxy
Saturday,July 31,FC Dallas,0-2,COL
Friday,August 6,COL,1-0,New England
Sunday,August 8,Chicago,5-0,COL
Friday,August 13,Tampa Bay Mutiny,0-1,COL
Wednesday,August 18,COL,0-3,FC Dallas
Saturday,August 28,COL,0-1,D.C. United
Saturday,September 4,Columbus,2-1,COL
Friday,September 10,COL,1-0,Sporting KC
Saturday,September 18,COL,1-0,LA Galaxy
Saturday,September 25,Sporting KC,0-1,COL
Wednesday,September 29,LA Galaxy,4-0,COL
Friday,October 1,COL,1-0,San Jose
Wednesday,October 6,COL,0-1,Chicago
Saturday,October 9,Fusion,2-0,COL
