Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Scott Garlick,TB,GK,28,28,2471,193,152,36,1.29,1/3,78.8
Matt Jordan,DAL,GK,29,29,2584,172,133,31,1.07,0/2,77.3
Kevin Hartman,LA,GK,32,32,2870,150,118,29,0.91,3/4,78.7
Mark Dougherty,CLB,GK,31,31,2745,152,106,35,1.13,4/4,69.7
Zach Thornton,CHI,GK,30,30,2633,137,99,32,1.07,2/3,72.3
Joe Cannon,SJ,GK,24,24,2160,131,96,32,1.33,2/6,73.3
Mike Ammann,MET,GK,24,24,2138,155,91,51,2.13,2/2,58.7
Tom Presthus,DC,GK,26,26,2227,129,88,34,1.31,0/1,68.2
Walter Zenga,NE,GK,25,25,2125,140,87,45,1.8,1/2,62.1
Garth Lagerwey,MIA,GK,16,14,1306,107,77,27,1.93,0/0,72.0
Ian Feuer,COL,GK,19,19,1696,99,70,23,1.21,2/2,70.7
Marcus Hahnemann,COL,GK,13,13,1170,85,68,14,1.08,0/1,80.0
Chris Snitko,KC,GK,16,15,1395,95,66,26,1.73,1/1,69.5
Jeff Cassar,MIA,GK,15,15,1304,83,45,25,1.67,2/3,54.2
Mark Simpson,DC,GK,9,6,653,48,37,9,1.5,1/1,77.1
Tim Howard,COL,GK,9,8,742,55,37,13,1.63,0/0,67.3
Tony Meola,KC,GK,9,9,765,48,36,10,1.11,0/0,75.0
David Kramer,SJ,GK,8,8,720,55,35,17,2.13,1/1,63.6
Jeff Causey,NE,GK,16,7,755,49,32,8,1.14,0/0,65.3
David Winner,KC,GK,8,7,631,42,27,13,1.86,1/3,64.3
Mark Dodd,DAL,GK,6,3,296,23,18,4,1.33,0/0,78.3
Andy Kirk,TB,GK,6,4,409,32,18,14,3.5,1/1,56.3
Greg Sutton,CHI,GK,3,2,247,19,14,4,2.0,0/0,73.7
Dusty Hudock,MIA,GK,3,3,270,19,12,7,2.33,0/0,63.2
Matt Napoleon,CLB,GK,2,1,135,9,5,4,4.0,0/0,55.6
Cesar Delgado,KC,GK,1.0,1.0,90.0,8.0,4.0,4.0,4.0,0/0,50.0
Matt Reis,LA,GK,1.0,0.0,10.0,1.0,1.0,0.0,0.0,0/0,100.0
David Allred,TB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Bill Andracki,MET,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Juergen Sommer,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Jon Busch,CHI,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Randy Dedini,COL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Kori Hunter,MET,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Kurt Kelley,MET,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Kevin East,MET,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Matt Nyman,TB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Anthony Latronica,NE,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Mike Littman,LA,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Bill May,LA,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Steve McAnulty,MET,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Mike McGinty,CHI,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Johnny Morton,COL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
J.J. Wozniak,SJ,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Miguel Pineda,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Scott Vallow,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Jim Welch,LA,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Russell Payne,COL,GK,1.0,0.0,14.0,2.0,0.0,2.0,2.0,1/1,0.0
David Winner,nan,GK,nan,nan,nan,nan,nan,nan,nan,/,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
