Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
E0,18/08/01,Charlton,Everton,1,2,A,0,0,D,20451,N. S. Barry,8,12,4,9,0,0,4,4,15,17,2,1,0,3,0,0,0,30,,,,2,2.9,3,1.83,3.2,3.75,,,,2,3.25,3.25,2,3.2,3.2
E0,18/08/01,Derby,Blackburn,2,1,H,1,0,H,28236,P. A. Durkin,7,14,3,4,0,0,4,10,14,15,3,1,1,0,0,0,10,0,,,,2.3,2.9,2.5,2.25,3.2,2.75,,,,2.25,3.25,2.75,2.25,3.2,2.75
E0,18/08/01,Leeds,Southampton,2,0,H,0,0,D,39715,C. R. Wilkes ,16,11,6,6,1,0,10,3,16,24,3,2,1,2,0,1,10,45,,,,1.4,3.6,5.5,1.44,3.6,6.5,,,,1.4,4,6.5,1.36,3.75,8
E0,18/08/01,Leicester,Bolton,0,5,A,0,4,A,19987,R. Styles,6,18,1,8,0,0,3,5,21,17,4,0,4,3,0,0,40,30,,,,1.85,3,3.3,1.73,3.4,4,,,,1.83,3.4,3.6,1.72,3.4,4
E0,18/08/01,Liverpool,West Ham,2,1,H,1,1,D,43935,J. T. Winter,9,3,6,3,1,0,5,3,13,12,0,6,1,5,0,0,10,50,,,,1.4,3.6,5.5,1.4,3.75,7,,,,1.36,4.33,6.5,1.36,3.75,8
E0,18/08/01,Middlesbrough,Arsenal,0,4,A,0,1,A,31557,G. P. Barber,6,14,2,9,0,0,2,6,13,19,4,0,2,3,1,1,45,55,,,,2.9,2.9,2.1,3,3.2,2.1,,,,3,3.25,2.1,3.2,3.2,2
E0,18/08/01,Sunderland,Ipswich,1,0,H,1,0,H,47370,G. Poll,12,10,6,4,0,0,1,1,22,20,5,5,0,1,0,0,0,10,,,,1.85,3,3.3,2,3.2,3.2,,,,1.91,3.4,3.4,1.83,3.3,3.6
E0,18/08/01,Tottenham,Aston Villa,0,0,D,0,0,D,36059,D. J. Gallagher,8,11,2,2,1,1,6,5,12,17,1,3,3,2,0,0,30,20,,,,2.1,2.9,2.9,2,3.2,3.2,,,,2,3.25,3.25,1.9,3.25,3.4
E0,19/08/01,Chelsea,Newcastle,1,1,D,1,0,H,40124,A. P. D'Urso ,13,9,8,3,0,0,12,7,19,20,2,3,3,4,0,0,30,40,,,,1.6,3.3,4,1.5,3.25,6.5,,,,1.57,3.6,5,1.57,3.25,5.5
E0,19/08/01,Man United,Fulham,3,2,H,1,1,D,67534,P. Jones ,12,8,6,5,1,0,6,4,17,19,10,3,0,1,0,0,0,10,,,,1.4,3.6,5.5,1.28,4.5,8,,,,1.29,4.5,8.5,1.28,4.33,8.5
E0,20/08/01,Everton,Tottenham,1,1,D,0,1,A,29503,D. R. Elleray ,18,7,11,2,1,0,8,0,15,12,3,1,3,2,0,2,30,70,,,,2.2,2.9,2.7,2.2,3.25,2.75,,,,2.2,3.25,2.8,2.25,3.2,2.75
E0,21/08/01,Arsenal,Leeds,1,2,A,1,1,D,38062,J. T. Winter ,14,5,5,2,0,0,10,2,28,29,2,2,4,5,0,2,40,100,,,,1.8,3,3.5,1.8,3.2,4,,,,1.83,3.4,3.6,1.72,3.25,4.2
E0,21/08/01,Bolton,Middlesbrough,1,0,H,1,0,H,20747,S. W. Dunn ,13,11,3,4,0,0,5,2,19,16,4,6,1,1,0,0,10,10,,,,2.2,3,2.6,2.2,3.25,2.75,,,,2.1,3.25,3,2.2,3.25,2.75
E0,21/08/01,Ipswich,Derby,3,1,H,1,0,H,21197,E. K. Wolstenholme ,30,2,18,2,0,0,19,2,21,14,2,5,0,3,0,1,0,55,,,,1.65,3.2,3.9,1.67,3.25,4.5,,,,1.67,3.4,4.5,1.66,3.3,4.5
E0,22/08/01,Blackburn,Man United,2,2,D,0,1,A,29836,A. G. Wiley ,12,18,5,7,2,2,3,8,18,16,4,7,2,1,1,0,45,10,,,,4.2,3.2,1.6,4.5,3.5,1.61,,,,4.5,3.4,1.67,4.5,3.3,1.66
E0,22/08/01,Fulham,Sunderland,2,0,H,0,0,D,20197,B. Knight ,13,8,5,3,0,0,8,9,18,20,3,4,0,2,0,0,0,20,,,,2,2.9,3,2.37,3.2,2.6,,,,2.1,3.25,3,1.9,3.2,3.5
E0,25/08/01,Arsenal,Leicester,4,0,H,2,0,H,37909,A. P. D'Urso ,20,2,11,0,0,0,9,0,14,20,3,1,1,4,1,1,35,65,,,,1.25,4.3,8,1.25,4.5,10,,,,1.25,5,8.5,1.22,5,9.5
E0,25/08/01,Blackburn,Tottenham,2,1,H,1,0,H,24922,S. G. Bennett,12,12,7,5,1,0,3,6,14,11,4,6,1,1,0,0,10,10,,,,2.1,2.9,2.9,2.25,3.2,2.75,,,,2.25,3.25,2.75,2.3,3.1,2.75
E0,25/08/01,Everton,Middlesbrough,2,0,H,1,0,H,32829,U. D. Rennie,7,5,5,1,0,0,3,6,25,23,4,3,2,1,0,0,20,10,,,,2,2.9,3,2.1,3.2,3,,,,1.91,3.25,3.5,2,3.1,3.3
E0,25/08/01,Fulham,Derby,0,0,D,0,0,D,,M. L Dean,10,9,1,2,0,0,11,3,12,14,0,2,2,3,0,0,20,30,,,,1.55,3.3,4.5,1.5,3.4,6,,,,1.62,3.6,4.5,1.5,3.4,6
E0,25/08/01,Ipswich,Charlton,0,1,A,0,0,D,22804,S. W. Dunn ,17,13,11,6,0,0,6,1,22,20,0,7,2,6,0,0,20,60,,,,1.7,3.1,3.8,1.61,3.25,5,,,,1.73,3.25,4.33,1.61,3.3,5
E0,25/08/01,Southampton,Chelsea,0,2,A,0,1,A,31107,D. R. Elleray ,8,7,2,2,0,0,6,2,13,18,6,5,0,1,0,0,0,10,,,,2.9,2.9,2.1,2.75,3.2,2.25,,,,2.88,3.4,2.1,3,3.2,2.1
E0,25/08/01,West Ham,Leeds,0,0,D,0,0,D,24517,P. A. Durkin ,11,10,3,4,0,0,5,8,19,14,3,4,3,2,0,0,30,20,,,,2.9,2.9,2.1,3.2,3.2,2,,,,3.25,3.25,2,3.1,3.3,2
E0,26/08/01,Aston Villa,Man United,1,1,D,1,0,H,42632,G. P. Barber ,11,13,4,7,0,0,5,5,9,12,4,4,0,2,0,0,0,20,,,,3.5,3,1.8,4,3.2,1.8,,,,3.75,3.4,1.8,4.2,3.25,1.72
E0,26/08/01,Newcastle,Sunderland,1,1,D,1,1,D,52021,M. A. Riley ,16,6,6,3,0,0,10,4,19,18,2,2,2,2,0,0,20,20,,,,2,2.9,3,2.2,3.2,2.8,,,,2.2,3.25,2.8,2.2,3.1,2.87
E0,27/08/01,Bolton,Liverpool,2,1,H,1,0,H,27205,G. Poll ,11,18,4,7,0,0,4,6,13,11,3,4,2,2,0,0,20,20,,,,3.5,3,1.8,4.33,3.4,1.67,,,,5,3.5,1.57,5.5,3.3,1.57
