Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
SC0,03/08/02,Celtic,Dunfermline,2,1,H,1,0,H,H Dallas,19,4,8,2,7,14,13,2,1,2,0,0,1.143,6,13,1.17,5.6,12,1.15,5.5,11,1.143,5.5,15,1.17,6,11,1.167,6,13,1.12,6.5,12,1.75,1.85
SC0,03/08/02,Dundee,Hearts,1,1,D,0,1,A,D McDonald,16,11,5,4,15,16,9,6,0,2,0,0,2.375,3.2,2.625,2.37,3.2,2.62,2.3,2.9,2.5,2.25,3.4,2.625,2.25,3.25,2.75,2.3,3.25,2.75,2.25,3.2,2.75,1.95,1.65
SC0,03/08/02,Hibernian,Aberdeen,1,2,A,1,0,H,K Toner,12,8,4,2,17,11,7,3,3,0,0,0,2.375,3.2,2.625,2.37,3.2,2.62,2.2,3,2.6,2.4,3.25,2.5,2.25,3.25,2.75,2.375,3.2,2.7,2.25,3.2,2.75,1.95,1.65
SC0,03/08/02,Kilmarnock,Rangers,1,1,D,0,1,A,K Clark,6,16,4,9,17,15,2,10,1,0,0,0,7.5,3.75,1.4,6.4,3.7,1.45,5.5,3.6,1.4,6.5,4,1.4,6.5,3.75,1.44,7,3.75,1.444,7,3.75,1.4,1.6,2
SC0,03/08/02,Livingston,Motherwell,3,2,H,2,0,H,J Rowbotham,10,7,5,5,8,16,3,4,3,4,0,0,1.571,3.6,5,1.6,3.6,4.75,1.6,3.2,4.2,1.571,3.5,5,1.57,3.5,5,1.667,3.3,5,1.5,3.4,6,1.75,1.85
SC0,03/08/02,Partick,Dundee United,0,0,D,0,0,D,J Underhill,9,9,2,3,11,18,6,2,1,2,0,0,2.25,3.25,2.75,2.37,3.2,2.62,2.2,2.9,2.7,2.5,3.25,2.4,2.38,3.2,2.63,2.3,3.25,2.75,2.2,3.25,2.75,1.75,1.85
SC0,10/08/02,Aberdeen,Celtic,0,4,A,0,2,A,S Dougal,5,14,2,8,13,14,6,10,0,0,0,0,6.5,3.75,1.444,6.23,3.8,1.46,5,3.7,1.5,6,3.75,1.444,7,3.6,1.44,6.5,3.6,1.5,6.5,3.6,1.44,1.6,1.94
SC0,10/08/02,Dundee United,Kilmarnock,1,2,A,0,0,D,D McDonald,18,12,8,7,14,12,7,11,0,3,0,0,2.2,3.25,2.8,2.3,3.25,2.72,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.25,2.8,2.25,3.2,2.75,1.75,1.85
SC0,10/08/02,Dunfermline,Livingston,2,1,H,1,0,H,W Young,18,11,10,5,11,16,5,4,0,0,0,0,2.6,3.2,2.4,2.6,3.25,2.38,2.5,3,2.5,2.5,3.25,2.4,2.63,3.2,2.38,2.7,3.1,2.4,2.75,3.1,2.3,1.75,1.85
SC0,10/08/02,Motherwell,Partick,1,1,D,0,0,D,C Thomson,4,11,3,4,27,14,5,3,3,1,0,0,2.2,3.25,2.8,2.25,3.3,2.8,2.1,3,3.1,2.1,3.2,3,2.1,3.25,3,2.2,3.2,3,2.2,3.2,2.8,1.7,1.9
SC0,10/08/02,Rangers,Dundee,3,0,H,1,0,H,A Freeland,19,6,14,1,15,10,9,2,2,3,0,0,1.222,5,10,1.22,5.25,11,1.2,5,10,1.2,5,11,1.2,5.5,10,1.222,5,11,1.2,5,11,1.8,1.8
SC0,11/08/02,Hearts,Hibernian,5,1,H,2,0,H,M McCurry,18,9,14,4,16,14,6,4,1,0,0,0,2.2,3.2,2.875,2.18,3.25,3.15,2.2,3,2.9,2.1,3.2,3,2.1,3.25,3,2.2,3.2,3,2.2,3,3,2.03,1.6
SC0,17/08/02,Celtic,Dundee United,5,0,H,3,0,H,K Clark,15,6,11,3,17,9,12,1,1,1,0,0,1.143,6.5,12,1.12,6.5,15,1.15,6,12,1.143,5.5,15,1.13,6,17,1.143,6,15,1.12,6,15,1.95,1.65
SC0,17/08/02,Dunfermline,Dundee,4,2,H,1,1,D,I Brines,14,7,7,4,10,11,3,6,1,4,0,1,2,3.25,3.25,2.05,3.15,3.3,2,3.1,3.2,1.909,3.4,3.25,2,3.25,3.25,2.1,3.2,3.2,2.1,3.2,3,1.7,1.9
SC0,17/08/02,Kilmarnock,Motherwell,0,3,A,0,0,D,A Freeland,9,12,6,9,14,17,4,4,5,4,2,0,1.615,3.4,5,1.7,3.35,4.5,1.8,3.2,3.7,1.667,3.4,4.333,1.57,3.4,5.5,1.667,3.3,5,1.61,3.3,5,1.65,1.95
SC0,17/08/02,Partick,Livingston,2,2,D,1,1,D,D Somers,10,13,3,8,15,18,2,5,2,1,0,0,2.5,3.2,2.5,2.6,3.16,2.45,2.4,3.1,2.4,2.75,3.25,2.2,2.63,3.2,2.38,2.625,3.25,2.4,2.62,3.25,2.3,1.8,1.8
SC0,18/08/02,Aberdeen,Hearts,1,1,D,0,0,D,G Mitchell,7,3,4,3,12,18,5,3,1,2,0,0,2.1,3.25,3,2.14,3.15,3.3,1.9,3.1,3.5,1.909,3.25,3.4,2,3.25,3.25,2.1,3.2,3.2,2.1,3.2,3,1.6,1.95
SC0,18/08/02,Hibernian,Rangers,2,4,A,1,2,A,H Dallas,5,10,3,5,24,9,4,6,4,2,1,0,7.5,4,1.364,8,3.95,1.36,4.8,3.8,1.5,7,4.333,1.333,8.5,3.5,1.4,8,3.75,1.4,8,3.75,1.36,1.5,2.15
SC0,24/08/02,Dundee,Hibernian,2,1,H,0,1,A,W Young,11,11,5,4,9,23,6,4,1,4,0,0,1.833,3.25,3.75,1.97,3.2,3.5,2.1,3,3.1,1.8,3.5,3.5,2.25,3.25,2.75,1.95,3.25,3.5,2,3.2,3.2,1.75,1.85
SC0,24/08/02,Hearts,Dunfermline,2,0,H,0,0,D,K Toner,10,6,10,6,16,11,8,6,1,3,0,0,1.727,3.25,4.333,1.69,3.4,4.65,1.8,3.1,3.8,1.727,3.4,4,1.73,3.25,4.33,1.75,3.3,4.333,1.72,3.2,4.33,1.7,1.9
SC0,24/08/02,Partick,Celtic,0,1,A,0,0,D,M McCurry,4,12,0,5,16,13,3,4,0,0,0,0,9,5,1.25,10,4.5,1.27,8,4.2,1.3,11,5,1.2,10,5.5,1.2,10,5.5,1.222,10,4.5,1.25,1.5,2.25
SC0,25/08/02,Dundee United,Motherwell,1,1,D,0,1,A,I Fyfe,10,9,7,3,18,25,2,4,0,2,0,0,2.1,3.25,3,2.15,3.3,3.21,2.1,3,3.1,1.909,3.4,3.25,1.91,3.25,3.5,2.1,3.25,3.1,2.2,3.2,2.8,1.8,1.8
SC0,25/08/02,Livingston,Kilmarnock,0,1,A,0,1,A,S Dougal,9,11,4,5,16,17,7,4,2,2,0,0,1.833,3.25,3.75,1.82,3.3,4,1.9,3.1,3.5,1.8,3.25,3.75,1.73,3.25,4.33,1.8,3.3,4,1.8,3.3,3.75,1.7,1.9
SC0,25/08/02,Rangers,Aberdeen,2,0,H,1,0,H,J Underhill,20,3,9,1,10,18,9,0,2,2,0,1,1.222,5,10,1.21,5.5,10,1.2,5,10,1.25,5,8,1.2,5.5,10,1.222,5.5,10,1.22,5,9.5,1.45,2.35
SC0,31/08/02,Dundee United,Dundee,0,0,D,0,0,D,J Underhill,10,10,5,7,17,12,6,3,2,2,1,0,2.375,3,2.75,2.3,3.15,2.92,2.3,3,2.7,2.25,3.2,2.75,2.38,3.2,2.63,2.375,3.1,2.75,2.3,3.25,2.62,1.8,1.8
