Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Matt McKeon,KC,D,31,30,2737,4,1,15,7,75,28,2,8,0
Cle Kooiman,TB,D,27,27,2296,1,2,10,5,68,19,0,6,2
Alberto Naveda,NE,F,29,28,2394,7,6,69,38,66,75,6,1,0
Alexi Lalas,NE,D,30,29,2607,2,3,24,10,60,33,9,8,0
Daniel Peinado,DAL,M,25,22,1870,2,4,13,9,57,46,0,4,1
Chris Armas,LA,M,28,28,2307,3,5,21,9,57,36,3,3,1
Richie Williams,DC,M,30,29,2606,2,9,22,8,56,39,3,3,0
Ted Eck,DAL,M-F,30,22,1839,1,4,27,11,53,32,4,1,1
Giovanni Savarese,MET,F,29,23,2069,14,4,49,27,53,53,29,4,0
Maurice Johnston,KC,M-F,29,29,2564,6,9,56,33,52,31,14,9,1
Brian Maisonneuve,CLB,M,32,30,2734,3,9,52,23,52,50,14,2,0
Matt Kmosko,COL,D,31,31,2760,0,3,5,3,52,29,1,6,1
John Doyle,SJ,D,27,27,2376,2,1,21,12,51,25,1,8,0
Ted Chronopoulos,NE,D,30,30,2624,2,1,30,13,50,42,6,6,2
Steve Trittschuh,COL,D,29,29,2566,5,1,25,12,48,29,1,7,1
Roy Wegerle,COL,F,31,23,1931,5,4,35,20,47,21,55,3,0
Vitalis Takawira,KC,F,28,23,2153,8,7,48,28,47,52,43,4,0
Chris Henderson,COL,M,30,29,2508,7,13,62,23,47,54,35,2,0
Jason Kreis,DAL,M,32,21,2200,8,6,61,28,44,44,4,3,0
Michael Emenalo,SJ,D,27,26,2283,1,2,10,4,43,25,2,8,0
Mark Semioli,LA,D,29,28,2381,2,1,12,4,43,39,3,7,0
Ryan Tinsley,KC,D,31,29,2588,1,4,5,3,43,52,4,4,1
Wolde Harris,COL,F,27,15,1484,5,5,41,19,42,29,5,3,0
Tony Sanneh,DC,D,29,28,2274,5,11,39,19,42,41,10,6,0
Martin Vasquez,TB,M,28,28,2475,4,3,43,19,41,46,2,7,1
Dan Calichman,LA,D,32,32,2848,0,0,8,2,41,41,0,7,0
Mike Burns,NE,M,32,32,2880,0,2,36,18,41,20,0,5,0
Sean Henderson,COL,M,25,19,1650,3,0,20,12,40,24,1,5,0
Uche Okafor,KC,D,27,27,2386,0,3,6,2,40,15,1,4,0
Leonardo Squadrone,NE,D,23,23,1881,0,0,5,1,39,9,2,3,0
Dominic Kinnear,SJ,M,28,24,1939,2,4,17,6,39,39,1,1,0
Lawrence Lozzano,SJ,M,29,23,2096,10,10,65,36,39,58,40,2,0
Ansil Elcock,CLB,D,26,21,1858,1,0,10,2,38,31,2,3,1
Brian Bliss,CLB,D,28,24,2047,1,2,13,1,38,27,3,2,0
Alejandro Farias,NE,M,25,24,2070,1,3,11,5,38,36,1,2,1
Mark Santel,DAL,M,31,26,2470,2,6,12,5,38,12,5,4,0
Francis Okaroh,NE,D,29,29,2528,0,0,1,1,38,35,0,2,0
Sean Bowers,KC,D,26,24,2017,3,0,15,8,37,16,1,0,0
Jeff Baicher,SJ,M,32,20,2031,10,2,74,36,37,54,19,4,0
Peter Vermes,COL,D,26,25,2206,6,4,29,12,37,42,1,1,0
Eddie Lewis,SJ,M,29,26,2233,2,14,35,21,37,41,17,0,1
Greg Vanney,LA,D,28,27,2318,1,3,28,8,37,25,6,6,0
Eduardo Hurtado,LA,F,22,21,1772,8,3,69,33,36,31,33,3,0
Antony De Avila,MET,F,23,21,1916,9,9,66,35,36,29,28,6,0
Rhett Harty,MET,D,26,26,2279,0,1,10,6,36,13,0,4,0
Robert Warzycha,CLB,M,31,31,2722,3,11,92,29,36,71,14,3,0
Ben Iroha,DC,M,21,18,1391,4,5,17,6,34,14,1,3,1
Frankie Hejduk,TB,D,23,22,1942,1,6,20,10,34,43,11,9,2
Danny Pena,LA,D,27,26,2230,2,2,31,12,34,27,2,7,0
Imad Baba,NE,M,29,28,2391,7,5,50,25,34,49,6,1,0
Mike Clark,CLB,D,31,28,2484,1,2,7,4,34,27,3,4,0
Evans Wise,NE,M,22,8,979,3,0,20,9,33,33,6,3,0
Martin Machon,LA,M,30,27,2437,4,6,51,27,33,28,2,3,0
Mike Lapper,CLB,D,20,20,1785,1,2,12,4,32,26,0,2,0
Frank Klopas,KC,F,27,24,1967,5,7,46,26,32,38,20,3,0
Jeff Agoos,DC,D,29,27,2412,1,3,14,9,32,36,1,1,0
Eric Dade,DAL,D,15,14,1306,0,0,4,2,31,8,0,1,0
Adrian Paz,COL,M,25,24,2055,4,11,42,17,31,49,30,4,0
Pete Marino,CLB,F,28,7,1229,8,4,38,24,30,30,30,2,0
Jaime Moreno,DC,F,20,20,1725,16,8,66,46,30,40,19,2,0
Giuseppe Galderisi,NE,F,23,22,1726,5,8,49,21,30,70,27,8,0
Miles Joseph,MET,M,29,15,1745,2,10,29,15,29,29,9,0,0
Mike Sorber,MET,M,22,22,1889,4,0,21,7,29,28,2,1,0
Tom Soehn,DAL,D,25,21,1948,0,2,7,4,29,18,0,3,0
Dante Washington,DAL,F,30,25,2162,12,6,69,38,29,56,23,6,0
Paul Bravo,COL,M,30,27,2445,8,6,63,28,29,31,9,1,0
Welton,LA,F,29,12,1321,11,3,44,18,28,39,18,2,0
Sergio Miguez,CLB,D,17,16,1361,0,2,1,0,28,17,0,1,0
Adam Frye,TB,D,18,17,1437,0,2,6,1,28,24,2,4,0
Istvan Urbanyi,SJ,M,23,19,1555,1,3,22,9,28,25,0,3,1
Troy Dayak,SJ,D,21,21,1817,3,2,18,9,28,15,2,3,0
Carlos Llamosa,DC,D,25,20,1817,0,0,1,0,28,23,0,4,0
Wade Webber,DAL,D,18,18,1588,2,1,7,3,27,13,1,1,0
Cobi Jones,LA,M,26,25,2228,7,9,53,35,27,74,16,1,0
Preki,KC,M,27,27,2330,12,17,84,44,27,32,8,4,0
Paul Keegan,NE,F,16,5,652,1,1,12,5,26,26,9,2,0
Joao Batista,TB,M,17,12,1051,1,1,6,3,26,21,2,4,0
Gilmar,TB,M-F,16,16,1213,8,6,39,18,26,41,16,4,0
Brandon Pollard,DAL,D,21,16,1526,0,1,0,0,26,25,0,1,0
Steve Pittman,KC,D,26,23,2068,0,0,13,3,26,11,1,5,0
Chiquinho Conde,NE,F,25,25,2149,6,6,43,21,26,43,31,4,0
Roberto Donadoni,MET,M,32,31,2699,3,9,50,15,26,94,2,1,0
Mark Chung,KC,M,32,32,2871,10,8,62,32,26,69,8,0,0
Steve Jolley,LA,D,12,10,882,0,1,7,4,25,17,1,0,0
Tahj Jakins,COL,D,19,12,1132,0,1,5,2,25,12,1,2,0
Ivan McKinley,NE,D-M,26,21,1981,5,4,38,18,25,20,5,6,0
Tim Martin,SJ,D,28,28,2422,0,3,7,2,25,20,2,2,0
John Kerr,NE,F,19,14,1136,2,4,19,15,24,11,13,1,0
Richard Gough,KC,D,17,17,1457,0,1,7,5,24,8,0,4,0
Joey Martinez,DAL,D,19,19,1503,0,0,2,2,24,5,0,4,0
Paul Wright,KC,F,30,18,1646,5,3,31,22,24,32,14,1,0
A.J. Wood,CLB,F,29,21,1835,5,3,52,19,24,35,11,2,0
Jorge Salcedo,CLB,M,28,26,2240,1,5,21,4,24,33,0,3,0
Frank Yallop,TB,D,27,27,2430,0,0,6,1,24,10,0,2,0
Steve Rammel,COL,F,21,11,1132,1,1,20,13,23,20,21,1,0
Doctor Khumalo,CLB,M,18,18,1323,2,4,23,13,23,21,4,2,0
Shaun Bartlett,COL,F,23,15,1451,3,2,35,18,23,15,4,1,0
Harut Karapetyan,LA,F,30,23,1770,8,3,75,35,23,26,19,1,0
Jorge Rodriguez,DAL,M-D,24,21,1874,4,1,38,21,23,26,4,3,0
Marcelo Balboa,COL,D,28,28,2520,2,3,44,13,23,26,2,2,0
Todd Yeagley,CLB,M,27,22,1997,2,1,10,5,22,35,3,2,1
Robin Fraser,LA,D,24,24,2021,0,0,3,0,22,14,0,5,0
Ramiro Corrales,SJ,M,14,11,1033,0,0,10,4,21,13,0,2,0
Raul Diaz Arce,DC,F,22,20,1790,15,6,68,45,21,19,32,0,0
David Vaudreuil,DC,D,25,19,1790,0,2,4,2,21,18,2,0,0
Mike Duhaney,TB,D,27,25,2205,0,0,8,3,21,14,1,3,0
Steve Ralston,TB,M,29,29,2493,5,11,42,19,21,40,6,0,0
Marcelo Carrera,CLB,F,20,14,1224,3,2,26,11,20,25,7,0,0
Sam George,NE,M,23,14,1327,4,0,18,10,20,12,2,2,0
Marco Etcheverry,DC,M,20,19,1695,3,11,45,19,20,54,11,4,1
Damian,DAL,F,19,19,1479,11,7,68,34,19,61,42,7,2
Alain Sutter,DAL,M,21,21,1801,2,8,46,24,19,37,4,3,0
John Harkes,DC,M,25,23,2066,5,9,43,18,19,26,17,3,0
Oscar Draguicevich,SJ,D,13,10,890,0,1,6,0,18,12,0,3,0
Branco,MET,D,11,11,922,1,2,8,6,18,13,0,3,3
Shawn Medved,SJ,M,31,15,1591,4,4,30,15,18,25,3,0,1
Guido,MET,M,9,9,792,0,1,7,1,17,10,2,2,0
Brian Kelly,MET,M,21,14,1354,1,4,23,9,17,26,9,0,0
Paul Caligiuri,LA,D,16,16,1406,1,2,9,7,17,7,3,4,1
Eddie Pope,DC,D,29,29,2513,3,2,12,4,17,24,1,0,0
Nelson Vargas,TB,M,21,9,967,3,2,21,6,16,33,1,0,0
Christopher Sullivan,SJ,M,24,8,1017,2,6,17,8,16,19,1,0,0
Roy Lassiter,TB,F,24,23,1885,10,2,48,30,16,31,32,2,0
Arnold Cruz,DC,D,25,23,2058,0,3,17,6,16,28,0,3,1
John DeBrito,KC,D,10,8,621,0,0,5,3,15,3,1,0,0
Ross Paule,COL,M,19,7,858,2,3,7,4,15,9,3,1,0
Thomas Dooley,CLB,D,15,15,1310,4,1,26,15,15,17,0,0,0
Diego Sonora,DAL,M-D,16,16,1421,1,2,9,4,15,25,7,2,0
Ronald Cerritos,SJ,F,22,22,1847,12,10,40,21,15,28,34,0,0
Joao Luiz,MET,D,7,7,585,0,0,1,1,14,8,0,0,0
Manny Lagos,MET,M,15,15,1216,0,2,11,6,14,31,2,1,0
Mauricio Cienfuegos,LA,M,22,22,1980,6,12,41,22,14,32,8,0,0
Brian Taylor,LA,M,11,5,413,1,0,9,4,13,14,5,1,1
Cristian da Silva,MET,D,14,6,592,0,1,7,1,13,8,0,1,0
Joe-Max Moore,NE,F,13,12,987,4,2,28,15,13,15,5,2,0
