Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Robert Warzycha,CLB,M,31,31,2722,3,11,92,29,0/0,3.3,31.5
Preki,KC,M,27,27,2330,12,17,84,44,3/5,14.3,52.4
Harut Karapetyan,LA,F,30,23,1770,8,3,75,35,0/0,10.7,46.7
Jeff Baicher,SJ,M,32,20,2031,10,2,74,36,0/1,13.5,48.6
Eduardo Hurtado,LA,F,22,21,1772,8,3,69,33,0/0,11.6,47.8
Dante Washington,DAL,F,30,25,2162,12,6,69,38,0/1,17.4,55.1
Alberto Naveda,NE,F,29,28,2394,7,6,69,38,1/2,10.1,55.1
Damian,DAL,F,19,19,1479,11,7,68,34,4/4,16.2,50.0
Raul Diaz Arce,DC,F,22,20,1790,15,6,68,45,2/3,22.1,66.2
Jaime Moreno,DC,F,20,20,1725,16,8,66,46,5/5,24.2,69.7
Antony De Avila,MET,F,23,21,1916,9,9,66,35,0/1,13.6,53.0
Lawrence Lozzano,SJ,M,29,23,2096,10,10,65,36,0/0,15.4,55.4
Paul Bravo,COL,M,30,27,2445,8,6,63,28,0/1,12.7,44.4
Chris Henderson,COL,M,30,29,2508,7,13,62,23,2/2,11.3,37.1
Mark Chung,KC,M,32,32,2871,10,8,62,32,0/0,16.1,51.6
Jason Kreis,DAL,M,32,21,2200,8,6,61,28,4/4,13.1,45.9
Maurice Johnston,KC,M-F,29,29,2564,6,9,56,33,0/1,10.7,58.9
Cobi Jones,LA,M,26,25,2228,7,9,53,35,0/0,13.2,66.0
A.J. Wood,CLB,F,29,21,1835,5,3,52,19,0/0,9.6,36.5
Brian Maisonneuve,CLB,M,32,30,2734,3,9,52,23,1/1,5.8,44.2
Martin Machon,LA,M,30,27,2437,4,6,51,27,0/0,7.8,52.9
Imad Baba,NE,M,29,28,2391,7,5,50,25,0/0,14.0,50.0
Roberto Donadoni,MET,M,32,31,2699,3,9,50,15,1/2,6.0,30.0
Giuseppe Galderisi,NE,F,23,22,1726,5,8,49,21,0/0,10.2,42.9
Giovanni Savarese,MET,F,29,23,2069,14,4,49,27,0/0,28.6,55.1
Roy Lassiter,TB,F,24,23,1885,10,2,48,30,0/0,20.8,62.5
Vitalis Takawira,KC,F,28,23,2153,8,7,48,28,0/0,16.7,58.3
Alain Sutter,DAL,M,21,21,1801,2,8,46,24,0/0,4.3,52.2
Frank Klopas,KC,F,27,24,1967,5,7,46,26,0/0,10.9,56.5
Gerell Elliott,DAL,F,28,15,1500,7,5,45,34,0/0,15.6,75.6
Marco Etcheverry,DC,M,20,19,1695,3,11,45,19,0/0,6.7,42.2
Welton,LA,F,29,12,1321,11,3,44,18,0/0,25.0,40.9
Marcelo Balboa,COL,D,28,28,2520,2,3,44,13,0/0,4.5,29.5
John Harkes,DC,M,25,23,2066,5,9,43,18,1/1,11.6,41.9
Chiquinho Conde,NE,F,25,25,2149,6,6,43,21,0/0,14.0,48.8
Martin Vasquez,TB,M,28,28,2475,4,3,43,19,0/1,9.3,44.2
David Patino,COL,M-F,23,22,1741,5,6,42,20,0/0,11.9,47.6
Adrian Paz,COL,M,25,24,2055,4,11,42,17,0/0,9.5,40.5
Steve Ralston,TB,M,29,29,2493,5,11,42,19,0/0,11.9,45.2
Wolde Harris,COL,F,27,15,1484,5,5,41,19,1/1,12.2,46.3
Mauricio Cienfuegos,LA,M,22,22,1980,6,12,41,22,4/4,14.6,53.7
Brian McBride,CLB,F,13,13,1069,6,6,40,18,2/2,15.0,45.0
Ronald Cerritos,SJ,F,22,22,1847,12,10,40,21,0/0,30.0,52.5
Gilmar,TB,M-F,16,16,1213,8,6,39,18,0/0,20.5,46.2
Tony Sanneh,DC,D,29,28,2274,5,11,39,19,0/0,12.8,48.7
Pete Marino,CLB,F,28,7,1229,8,4,38,24,0/2,21.1,63.2
Jorge Rodriguez,DAL,M-D,24,21,1874,4,1,38,21,0/0,10.5,55.3
Ivan McKinley,NE,D-M,26,21,1981,5,4,38,18,0/0,13.2,47.4
Mike Burns,NE,M,32,32,2880,0,2,36,18,0/0,0.0,50.0
Shaun Bartlett,COL,F,23,15,1451,3,2,35,18,0/0,8.6,51.4
Roy Wegerle,COL,F,31,23,1931,5,4,35,20,1/1,14.3,57.1
