Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Carlos Valderrama,TB,M,20,20,19,6,13,6,0.98
Preki,KC,M,27,27,17,4,15,2,0.66
Eddie Lewis,SJ,M,29,26,14,3,9,5,0.56
Chris Henderson,COL,M,30,29,13,2,8,5,0.47
Mauricio Cienfuegos,LA,M,22,22,12,7,9,3,0.55
Eric Wynalda,SJ,F,14,9,11,2,7,4,1.07
Marco Etcheverry,DC,M,20,19,11,2,7,4,0.58
Adrian Paz,COL,M,25,24,11,1,4,7,0.48
Tony Sanneh,DC,D,29,28,11,3,4,7,0.44
Steve Ralston,TB,M,29,29,11,5,9,2,0.4
Robert Warzycha,CLB,M,31,31,11,3,6,5,0.36
Miles Joseph,MET,M,29,15,10,2,6,4,0.52
Ronald Cerritos,SJ,F,22,22,10,2,3,7,0.49
Lawrence Lozzano,SJ,M,29,23,10,3,4,6,0.43
Antony De Avila,MET,F,23,21,9,2,8,1,0.42
John Maessner,DC,M-D,32,20,9,1,5,4,0.4
John Harkes,DC,M,25,23,9,3,5,4,0.39
Cobi Jones,LA,M,26,25,9,2,6,3,0.36
Maurice Johnston,KC,M-F,29,29,9,3,6,3,0.32
Richie Williams,DC,M,30,29,9,0,3,6,0.31
Roberto Donadoni,MET,M,32,31,9,3,7,2,0.3
Brian Maisonneuve,CLB,M,32,30,9,2,6,3,0.3
Jaime Moreno,DC,F,20,20,8,0,6,2,0.42
Giuseppe Galderisi,NE,F,23,22,8,4,7,1,0.42
Alain Sutter,DAL,M,21,21,8,1,5,3,0.4
Mark Chung,KC,M,32,32,8,3,4,4,0.25
Damian,DAL,F,19,19,7,2,5,2,0.43
Frank Klopas,KC,F,27,24,7,0,6,1,0.32
Vitalis Takawira,KC,F,28,23,7,1,3,4,0.29
Christopher Sullivan,SJ,M,24,8,6,0,4,2,0.53
Brian McBride,CLB,F,13,13,6,2,2,4,0.51
Gilmar,TB,M-F,16,16,6,0,3,3,0.45
David Patino,COL,M-F,23,22,6,3,5,1,0.31
Raul Diaz Arce,DC,F,22,20,6,2,4,2,0.3
Frankie Hejduk,TB,D,23,22,6,1,3,3,0.28
Chiquinho Conde,NE,F,25,25,6,1,6,0,0.25
Dante Washington,DAL,F,30,25,6,2,2,4,0.25
Jason Kreis,DAL,M,32,21,6,2,1,5,0.25
Alberto Naveda,NE,F,29,28,6,0,4,2,0.23
Martin Machon,LA,M,30,27,6,2,2,4,0.22
Paul Bravo,COL,M,30,27,6,2,2,4,0.22
Mark Santel,DAL,M,31,26,6,3,3,3,0.22
Ben Iroha,DC,M,21,18,5,1,3,2,0.32
Wolde Harris,COL,F,27,15,5,0,4,1,0.3
Gerell Elliott,DAL,F,28,15,5,0,3,2,0.3
Jorge Salcedo,CLB,M,28,26,5,2,3,2,0.2
Chris Armas,LA,M,28,28,5,4,3,2,0.2
Imad Baba,NE,M,29,28,5,1,3,2,0.19
Kris Kelderman,DC,M,24,9,4,0,2,2,0.4
Tab Ramos,MET,M,13,13,4,1,4,0,0.36
John Kerr,NE,F,19,14,4,0,2,2,0.32
Pete Marino,CLB,F,28,7,4,1,2,2,0.29
Doctor Khumalo,CLB,M,18,18,4,1,2,2,0.27
Brian Kelly,MET,M,21,14,4,2,1,3,0.27
Shawn Medved,SJ,M,31,15,4,1,2,2,0.23
Ted Eck,DAL,M-F,30,22,4,1,0,4,0.2
Daniel Peinado,DAL,M,25,22,4,2,3,1,0.19
