day,date,home_team,result,away_team
Saturday,March 29,SKC,3-2,San Jose
Saturday,April 5,SKC,3-2,LA Galaxy
Saturday,April 12,Tampa Bay Mutiny,2-1,SKC
Friday,April 18,SKC,2-1,FC Dallas
Sunday,April 27,SKC,2-3,Tampa Bay Mutiny
Saturday,May 3,New England,2-1,SKC
Saturday,May 10,SKC,1-0,LA Galaxy
Sunday,May 18,NY Red Bulls,1-0,SKC
Thursday,May 22,SKC,3-1,Columbus
Friday,May 30,LA Galaxy,1-3,SKC
Friday,June 6,FC Dallas,1-2,SKC
Sunday,June 8,San Jose,2-3,SKC
Sunday,June 15,SKC,1-3,San Jose
Saturday,June 21,SKC,6-1,D.C. United
Wednesday,June 25,SKC,3-2,Tampa Bay Mutiny
Saturday,June 28,Colorado,3-4,SKC
Friday,July 4,Columbus,1-2,SKC
Sunday,July 6,SKC,1-3,FC Dallas
Saturday,July 12,New England,2-0,SKC
Saturday,July 19,SKC,3-2,D.C. United
Saturday,July 26,SKC,1-0,New England
Saturday,August 2,FC Dallas,1-2,SKC
Saturday,August 9,Tampa Bay Mutiny,0-2,SKC
Sunday,August 17,SKC,4-3,NY Red Bulls
Sunday,August 24,San Jose,2-3,SKC
Thursday,August 28,SKC,1-0,Colorado
Sunday,August 31,D.C. United,2-0,SKC
Saturday,September 6,Colorado,1-2,SKC
Friday,September 12,SKC,0-1,NY Red Bulls
Sunday,September 14,Columbus,4-0,SKC
Friday,September 26,SKC,5-2,Colorado
Sunday,September 28,LA Galaxy,2-0,SKC
