Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Brad Friedel,CLB,GK,29,29,2609,35,1.21,4/5,14,15,0,7,48.3
Walter Zenga,NE,GK,22,22,1980,28,1.27,1/1,15,7,0,6,68.2
Marcus Hahnemann,COL,GK,25,24,2157,37,1.54,4/5,13,10,0,5,52.0
Mike Ammann,KC,GK,29,29,2597,45,1.55,3/4,21,8,0,5,72.4
Tony Meola,MET,GK,30,30,2700,48,1.6,4/6,12,18,0,5,40.0
Jorge Campos,LA,GK,19,19,1687,23,1.21,2/2,12,5,0,4,63.2
Mark Simpson,DC,GK,7,7,629,7,1.0,3/3,4,2,0,3,57.1
Kevin Hartman,LA,GK,8,4,483,8,2.0,1/2,2,4,0,3,25.0
David Kramer,LA,GK,21,21,1831,33,1.57,3/4,7,14,0,3,33.3
Mark Dougherty,TB,GK,26,24,2157,45,1.88,1/4,15,9,0,3,57.7
Mark Dodd,DAL,GK,30,30,2700,48,1.6,6/9,14,16,0,3,46.7
Scott Garlick,DC,GK,14,13,1171,22,1.69,0/0,9,5,0,2,64.3
Dave Salzwedel,SJ,GK,20,18,1679,35,1.94,1/3,7,11,0,2,35.0
Garth Lagerwey,DAL,GK,2,2,180,1,0.5,0/0,2,0,0,1,100.0
Scott Coufal,NE,GK,4,4,360,9,2.25,0/0,0,4,0,1,0.0
Scott Budnick,TB,GK,9,8,737,15,1.88,0/0,2,6,0,1,22.2
Paul Grafer,COL,GK,9,8,723,22,2.75,1/1,1,8,0,1,11.1
Jeff Causey,DC,GK,12,11,991,27,2.45,0/1,4,8,0,1,33.3
Aidan Heaney,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jeff Cassar,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Marcus Roy,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Tom Liner,SJ,GK,2,2,180,4,2.0,1/1,0,2,0,0,0.0
Zach Thornton,MET,GK,3,2,197,5,2.5,2/2,1,1,0,0,33.3
David Winner,CLB,GK,4,3,271,6,2.0,0/0,1,2,0,0,25.0
Chris Snitko,KC,GK,5,3,282,6,2.0,0/0,0,3,0,0,0.0
Tom Presthus,DC,GK,7,7,629,13,1.86,0/1,4,2,0,0,57.1
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
