day,date,home_team,result,away_team
Saturday,April 7,RSL,2-2,FC Dallas
Saturday,April 14,RSL,0-0,Columbus
Saturday,April 21,Chivas USA,4-0,RSL
Monday,April 30,RSL,0-2,Colorado
Saturday,May 5,RSL,3-3,NY Red Bulls
Thursday,May 10,Colorado,1-1,RSL
Sunday,May 20,FC Dallas,2-1,RSL
Sunday,May 27,Chicago,0-0,RSL
Saturday,June 2,New England,0-0,RSL
Thursday,June 14,RSL,0-1,FC Dallas
Sunday,June 17,LA Galaxy,3-2,RSL
Saturday,June 23,RSL,2-1,D.C. United
Wednesday,July 4,RSL,1-2,Toronto FC
Saturday,July 7,Columbus,2-0,RSL
Saturday,July 14,Sporting KC,1-0,RSL
Saturday,July 28,RSL,1-2,New England
Saturday,August 4,RSL,1-0,Houston
Saturday,August 18,RSL,0-2,Chicago
Sunday,August 26,Chivas USA,1-0,RSL
Wednesday,August 29,RSL,3-1,Sporting KC
Saturday,September 1,LA Galaxy,1-2,RSL
Saturday,September 8,Houston,4-3,RSL
Wednesday,September 12,D.C. United,2-1,RSL
Saturday,September 15,Toronto FC,0-0,RSL
Wednesday,September 19,RSL,2-2,LA Galaxy
Saturday,September 22,RSL,1-0,Colorado
Saturday,September 29,NY Red Bulls,2-2,RSL
Saturday,October 6,RSL,2-3,Chivas USA
Monday,October 15,RSL,0-1,Houston
Saturday,October 20,Colorado,0-1,RSL
