day,date,home_team,result,away_team
Saturday,March 21,SJ,0-1,New England
Saturday,March 28,SJ,3-2,Houston
Sunday,April 5,Sporting KC,2-0,SJ
Saturday,April 11,SJ,3-3,Chicago
Saturday,April 18,SJ,1-1,LA Galaxy
Saturday,April 25,Seattle,2-0,SJ
Saturday,May 2,SJ,0-1,Chivas USA
Friday,May 8,NY Red Bulls,4-1,SJ
Saturday,May 23,Houston,3-1,SJ
Wednesday,May 27,Columbus,2-1,SJ
Saturday,May 30,SJ,2-1,Real Salt Lake
Sunday,June 7,FC Dallas,2-2,SJ
Saturday,June 13,Seattle,2-1,SJ
Saturday,June 20,SJ,2-1,LA Galaxy
Friday,July 3,Real Salt Lake,1-1,SJ
Saturday,July 11,SJ,1-3,Toronto FC
Saturday,July 18,Chicago,2-0,SJ
Saturday,July 25,SJ,2-2,D.C. United
Sunday,August 2,Seattle,4-0,SJ
Saturday,August 8,SJ,0-3,Columbus
Saturday,August 22,SJ,1-0,Sporting KC
Saturday,August 29,New England,2-1,SJ
Friday,September 18,SJ,1-1,Colorado
Wednesday,September 23,Colorado,1-1,SJ
Sunday,September 27,D.C. United,1-2,SJ
Saturday,October 3,SJ,1-0,NY Red Bulls
Wednesday,October 7,SJ,1-2,FC Dallas
Saturday,October 10,Toronto FC,1-1,SJ
Saturday,October 17,Chivas USA,2-2,SJ
Saturday,October 24,LA Galaxy,2-0,SJ
