day,date,home_team,result,away_team
Sunday,March 22,LA Galaxy,2-2,DC
Saturday,March 28,DC,1-1,Chicago
Saturday,April 4,DC,1-0,Houston
Saturday,April 11,Real Salt Lake,2-1,DC
Friday,April 17,DC,1-1,New England
Sunday,April 26,NY Red Bulls,2-3,DC
Saturday,May 2,DC,2-1,FC Dallas
Wednesday,May 6,Sporting KC,1-1,DC
Saturday,May 9,DC,3-3,Toronto FC
Saturday,May 16,Chivas USA,2-2,DC
Saturday,May 23,DC,0-0,Real Salt Lake
Saturday,May 30,New England,2-1,DC
Thursday,June 4,DC,2-0,NY Red Bulls
Saturday,June 13,DC,2-1,Chicago
Wednesday,June 17,Seattle,3-3,DC
Saturday,June 20,Colorado,3-0,DC
Saturday,July 4,Columbus,1-1,DC
Saturday,July 18,DC,3-1,Colorado
Saturday,July 25,San Jose,2-2,DC
Saturday,August 1,Houston,4-3,DC
Saturday,August 15,Toronto FC,2-0,DC
Saturday,August 22,DC,0-0,LA Galaxy
Saturday,August 29,Chicago,0-1,DC
Saturday,September 5,FC Dallas,2-2,DC
Wednesday,September 9,DC,1-0,Sporting KC
Saturday,September 12,Seattle,1-2,DC
Sunday,September 27,DC,1-2,San Jose
Saturday,October 3,DC,0-2,Chivas USA
Saturday,October 17,DC,1-0,Columbus
Saturday,October 24,Sporting KC,2-2,DC
