day,date,home_team,result,away_team
Thursday,March 19,Seattle,3-0,RBNY
Saturday,March 28,RBNY,1-1,New England
Sunday,April 5,Chicago,1-0,RBNY
Saturday,April 11,Houston,0-0,RBNY
Saturday,April 18,RBNY,2-0,Real Salt Lake
Thursday,April 23,Sporting KC,1-0,RBNY
Sunday,April 26,RBNY,2-3,D.C. United
Saturday,May 2,LA Galaxy,1-0,RBNY
Friday,May 8,RBNY,4-1,San Jose
Saturday,May 16,RBNY,1-1,Houston
Sunday,May 24,RBNY,0-1,Chicago
Saturday,May 30,RBNY,2-3,Colorado
Thursday,June 4,D.C. United,2-0,RBNY
Sunday,June 7,New England,4-0,RBNY
Saturday,June 13,Toronto FC,2-1,RBNY
Saturday,June 20,Seattle,1-1,RBNY
Wednesday,June 24,Toronto FC,2-0,RBNY
Saturday,June 27,Columbus,1-0,RBNY
Saturday,July 4,FC Dallas,2-1,RBNY
Thursday,July 16,RBNY,1-3,LA Galaxy
Saturday,July 25,Colorado,4-0,RBNY
Saturday,August 15,RBNY,0-2,Chivas USA
Sunday,August 23,RBNY,3-2,FC Dallas
Sunday,August 30,RBNY,1-0,Columbus
Saturday,September 12,RBNY,0-1,Sporting KC
Friday,September 18,RBNY,1-1,New England
Saturday,September 26,Chivas USA,1-1,RBNY
Saturday,October 3,San Jose,1-0,RBNY
Wednesday,October 14,Real Salt Lake,2-0,RBNY
Saturday,October 24,RBNY,5-0,Toronto FC
