day,date,home_team,result,away_team
Saturday,March 21,SKC,2-3,Toronto FC
Saturday,March 28,Colorado,2-1,SKC
Sunday,April 5,SKC,2-0,San Jose
Saturday,April 11,Seattle,0-1,SKC
Saturday,April 18,Chicago,2-2,SKC
Thursday,April 23,SKC,1-0,NY Red Bulls
Sunday,April 26,Toronto FC,1-0,SKC
Wednesday,May 6,SKC,1-1,D.C. United
Saturday,May 9,Columbus,3-2,SKC
Saturday,May 16,Real Salt Lake,0-2,SKC
Saturday,May 23,SKC,1-1,Chivas USA
Saturday,May 30,LA Galaxy,1-1,SKC
Saturday,June 6,SKC,0-2,Columbus
Saturday,June 13,SKC,3-1,New England
Saturday,July 4,SKC,0-1,Houston
Saturday,July 11,New England,0-0,SKC
Saturday,July 25,SKC,1-1,LA Galaxy
Saturday,August 1,FC Dallas,6-0,SKC
Sunday,August 16,SKC,0-2,Chicago
Saturday,August 22,San Jose,1-0,SKC
Saturday,August 29,SKC,0-1,Real Salt Lake
Saturday,September 5,New England,2-4,SKC
Wednesday,September 9,D.C. United,1-0,SKC
Saturday,September 12,NY Red Bulls,0-1,SKC
Saturday,September 19,SKC,3-2,FC Dallas
Saturday,September 26,SKC,0-0,Colorado
Sunday,October 4,Houston,1-1,SKC
Saturday,October 10,Chivas USA,2-0,SKC
Saturday,October 17,Seattle,2-3,SKC
Saturday,October 24,SKC,2-2,D.C. United
