Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
N1,19/08/97,Ajax,Vitesse,5,0,H,2,0,H,,,,,,,,,,,
N1,19/08/97,Twente,For Sittard,4,1,H,1,0,H,,,,,,,,,,,
N1,20/08/97,Groningen,Volendam,3,0,H,1,0,H,,,,,,,,,,,
N1,20/08/97,Heerenveen,NAC Breda,3,1,H,0,1,A,,,,,,,,,,,
N1,20/08/97,PSV Eindhoven,Waalwijk,5,1,H,1,0,H,,,,,,,,,,,
N1,20/08/97,Roda JC,Utrecht,1,0,H,0,0,D,,,,,,,,,,,
N1,20/08/97,Sparta,Graafschap,1,1,D,0,0,D,,,,,,,,,,,
N1,20/08/97,Willem II,Nijmegen,1,2,A,0,0,D,,,,,,,,,,,
N1,21/08/97,MVV Maastricht,Feyenoord,0,3,A,0,1,A,,,,,,,,,,,
N1,22/08/97,For Sittard,Ajax,0,5,A,0,2,A,,,,,,,,,,,
N1,23/08/97,Graafschap,Willem II,3,1,H,1,0,H,,,,,,,,,,,
N1,23/08/97,Nijmegen,Heerenveen,0,1,A,0,0,D,,,,,,,,,,,
N1,24/08/97,Feyenoord,Sparta,3,1,H,2,0,H,,,,,,,,,,,
N1,24/08/97,NAC Breda,PSV Eindhoven,3,3,D,3,1,H,,,,,,,,,,,
N1,24/08/97,Utrecht,MVV Maastricht,6,1,H,3,0,H,,,,,,,,,,,
N1,24/08/97,Vitesse,Roda JC,3,1,H,1,0,H
N1,24/08/97,Volendam,Twente,0,0,D,0,0,D
N1,24/08/97,Waalwijk,Groningen,1,1,D,0,0,D
N1,30/08/97,For Sittard,Waalwijk,0,3,A,0,2,A
N1,30/08/97,Heerenveen,MVV Maastricht,3,1,H,1,1,D
N1,30/08/97,NAC Breda,Nijmegen,0,1,A,0,1,A
N1,30/08/97,PSV Eindhoven,Willem II,3,0,H,2,0,H
N1,30/08/97,Roda JC,Groningen,4,1,H,2,0,H
N1,31/08/97,Feyenoord,Graafschap,2,0,H,0,0,D
N1,31/08/97,Twente,Sparta,2,1,H,1,0,H
N1,31/08/97,Utrecht,Ajax,1,7,A,1,2,A
N1,02/09/97,Volendam,Vitesse,1,1,D,0,1,A
N1,08/09/97,MVV Maastricht,NAC Breda,0,1,A,0,0,D
N1,09/09/97,Ajax,Waalwijk,3,0,H,1,0,H
N1,09/09/97,Groningen,Nijmegen,4,0,H,0,0,D
N1,09/09/97,Roda JC,Volendam,0,2,A,0,2,A
N1,10/09/97,PSV Eindhoven,Graafschap,0,0,D,0,0,D
N1,10/09/97,Sparta,For Sittard,1,1,D,1,0,H
N1,10/09/97,Utrecht,Twente,1,1,D,1,1,D
N1,10/09/97,Vitesse,Willem II,3,1,H,2,0,H
N1,11/09/97,Heerenveen,Feyenoord,0,0,D,0,0,D
N1,12/09/97,Ajax,Groningen,4,1,H,2,1,H
