"RUS","Russia"
"MEX","Mexico"
"URU","Uruguay"
"FRA","France"
"ARG","Argentina"
"NGA","Nigeria"
"KOR","Korea Republic"
"GRE","Greece"
"ENG","England"
"USA","USA"
"ALG","Algeria"
"SVN","Slovenia"
"GER","Germany"
"AUS","Australia"
"SRB","Serbia"
"GHA","Ghana"
"NED","Netherlands"
"DEN","Denmark"
"JPN","Japan"
"CMR","Cameroon"
"ITA","Italy"
"PAR","Paraguay"
"NZL","New Zealand"
"SVK","Slovakia"
"BRA","Brazil"
"PRK","Korea DPR"
"CIV","Cote d'Ivoire"
"POR","Portugal"
"ESP","Spain"
"SUI","Switzerland"
"HON","Honduras"
"CHN","China PR"
"UKR","Ukraine"
"SWE","Sweden"
"SUI","Switzerland"
"ECU","Ecuador"
"ANG","Angola"
"CZE","Czech Republic"
"CRO","Croatia"
"TUN","Tunisia"
"CRC","Costa Rica"
"TRI","Trinidad and Tobago"
"SRB and MNE","Serbia and Montenegro"
"IRN","Iran"
"TOG","Togo"
"KSA","Saudi Arabia"
"TUR","Turkey"
"SEN","Senegal"
"IRL","Republic of Ireland"
"RSA","South Africa"
"CHI","Chile"
"YUG","Yugoslavia"
"ROU","Uruguay (pre-2002)"
"MAR","Morocco"
"AUT","Austria"
"JAM","Jamaica"
"SCO","Scotland"
"BUL","Bulgaria"
"BEL","Belgium"
"COL","Colombia"
"NOR","Norway"
"BOL","Bolivia"
"POL","Poland"
