Id,name,key,place_id,code,alt_names,country_id,region_id,city_id,pop,popm,area,m,c,d,created_at,updated_at
1,Bujumbura,bujumbura,12,,,1,,,,,,False,False,False,2014-10-17T00:53:49.9717290-04:00,2014-10-17T00:53:49.9717290-04:00
2,Moroni,moroni,14,,,2,,,,,,False,False,False,2014-10-17T00:53:50.0120380-04:00,2014-10-17T00:53:50.0120380-04:00
3,Djibouti,djibouti,16,,,3,,,,,,False,False,False,2014-10-17T00:53:50.0280940-04:00,2014-10-17T00:53:50.0280940-04:00
4,Asmara,asmara,18,,,4,,,,,,False,False,False,2014-10-17T00:53:50.0440620-04:00,2014-10-17T00:53:50.0440620-04:00
5,Nairobi,nairobi,21,,,6,,,,4,,False,False,False,2014-10-17T00:53:50.0728500-04:00,2014-10-17T00:53:54.5406830-04:00
6,Antananarivo [Tananarive],antananarivo,23,,,7,,,,2,,False,False,False,2014-10-17T00:53:50.1065920-04:00,2014-10-17T00:53:54.5794850-04:00
7,Lilongwe,lilongwe,25,,,8,,,,,,False,False,False,2014-10-17T00:53:50.1263610-04:00,2014-10-17T00:53:50.1263610-04:00
8,Maputo,maputo,28,,,10,,,,2,,False,False,False,2014-10-17T00:53:50.1583070-04:00,2014-10-17T00:53:54.5885000-04:00
9,Kigali,kigali,30,,,11,,,,1,,False,False,False,2014-10-17T00:53:50.1752660-04:00,2014-10-17T00:53:54.6308850-04:00
10,Victoria,victoria,32,,,169,259,,304000,,,False,False,False,2014-10-17T00:53:50.1921180-04:00,2014-10-17T00:53:59.9218800-04:00
11,Mogadishu,mogadishu,34,,,13,,,,,,False,False,False,2014-10-17T00:53:50.2126690-04:00,2014-10-17T00:53:50.2126690-04:00
12,Dodoma,dodoma,36,,,14,,,,,,False,False,False,2014-10-17T00:53:50.2278550-04:00,2014-10-17T00:53:50.2278550-04:00
13,Kampala,kampala,38,,,15,,,,2,,False,False,False,2014-10-17T00:53:50.2489570-04:00,2014-10-17T00:53:54.6722690-04:00
14,Lusaka,lusaka,40,,,16,,,,2,,False,False,False,2014-10-17T00:53:50.2663230-04:00,2014-10-17T00:53:54.7042380-04:00
15,Harare,harare,42,,,17,,,,2,,False,False,False,2014-10-17T00:53:50.2837650-04:00,2014-10-17T00:53:54.7096260-04:00
16,Luanda,luanda,44,,,18,,,,6,,False,False,False,2014-10-17T00:53:50.2991820-04:00,2014-10-17T00:53:54.4591470-04:00
17,Bangui,bangui,47,,,20,,,,1,,False,False,False,2014-10-17T00:53:50.3298850-04:00,2014-10-17T00:53:54.4838990-04:00
18,Ndjamena,ndjamena,49,,,21,,,,1,,False,False,False,2014-10-17T00:53:50.3452940-04:00,2014-10-17T00:53:54.6537570-04:00
