Id,tag_id,taggable_id,taggable_type,created_at,updated_at
1,1,1,WorldDb::Model::Country,2014-10-17T00:53:49.9970400-04:00,2014-10-17T00:53:49.9970400-04:00
2,30,1,WorldDb::Model::Country,2014-10-17T00:53:49.9994510-04:00,2014-10-17T00:53:49.9994510-04:00
3,38,1,WorldDb::Model::Country,2014-10-17T00:53:50.0022020-04:00,2014-10-17T00:53:50.0022020-04:00
4,42,1,WorldDb::Model::Country,2014-10-17T00:53:50.0048930-04:00,2014-10-17T00:53:50.0048930-04:00
5,9,1,WorldDb::Model::Country,2014-10-17T00:53:50.0066800-04:00,2014-10-17T00:53:50.0066800-04:00
6,1,2,WorldDb::Model::Country,2014-10-17T00:53:50.0149560-04:00,2014-10-17T00:53:50.0149560-04:00
7,30,2,WorldDb::Model::Country,2014-10-17T00:53:50.0169210-04:00,2014-10-17T00:53:50.0169210-04:00
8,38,2,WorldDb::Model::Country,2014-10-17T00:53:50.0189130-04:00,2014-10-17T00:53:50.0189130-04:00
9,42,2,WorldDb::Model::Country,2014-10-17T00:53:50.0208480-04:00,2014-10-17T00:53:50.0208480-04:00
10,9,2,WorldDb::Model::Country,2014-10-17T00:53:50.0228310-04:00,2014-10-17T00:53:50.0228310-04:00
11,1,3,WorldDb::Model::Country,2014-10-17T00:53:50.0311910-04:00,2014-10-17T00:53:50.0311910-04:00
12,30,3,WorldDb::Model::Country,2014-10-17T00:53:50.0333430-04:00,2014-10-17T00:53:50.0333430-04:00
13,38,3,WorldDb::Model::Country,2014-10-17T00:53:50.0353470-04:00,2014-10-17T00:53:50.0353470-04:00
14,42,3,WorldDb::Model::Country,2014-10-17T00:53:50.0372210-04:00,2014-10-17T00:53:50.0372210-04:00
15,9,3,WorldDb::Model::Country,2014-10-17T00:53:50.0391590-04:00,2014-10-17T00:53:50.0391590-04:00
16,1,4,WorldDb::Model::Country,2014-10-17T00:53:50.0473310-04:00,2014-10-17T00:53:50.0473310-04:00
17,30,4,WorldDb::Model::Country,2014-10-17T00:53:50.0493580-04:00,2014-10-17T00:53:50.0493580-04:00
18,38,4,WorldDb::Model::Country,2014-10-17T00:53:50.0514460-04:00,2014-10-17T00:53:50.0514460-04:00
19,42,4,WorldDb::Model::Country,2014-10-17T00:53:50.0535160-04:00,2014-10-17T00:53:50.0535160-04:00
20,9,4,WorldDb::Model::Country,2014-10-17T00:53:50.0552700-04:00,2014-10-17T00:53:50.0552700-04:00
21,1,5,WorldDb::Model::Country,2014-10-17T00:53:50.0604400-04:00,2014-10-17T00:53:50.0604400-04:00
22,30,5,WorldDb::Model::Country,2014-10-17T00:53:50.0625430-04:00,2014-10-17T00:53:50.0625430-04:00
23,38,5,WorldDb::Model::Country,2014-10-17T00:53:50.0644310-04:00,2014-10-17T00:53:50.0644310-04:00
24,42,5,WorldDb::Model::Country,2014-10-17T00:53:50.0661980-04:00,2014-10-17T00:53:50.0661980-04:00
25,9,5,WorldDb::Model::Country,2014-10-17T00:53:50.0682330-04:00,2014-10-17T00:53:50.0682330-04:00
26,1,6,WorldDb::Model::Country,2014-10-17T00:53:50.0760250-04:00,2014-10-17T00:53:50.0760250-04:00
27,30,6,WorldDb::Model::Country,2014-10-17T00:53:50.0890850-04:00,2014-10-17T00:53:50.0890850-04:00
28,38,6,WorldDb::Model::Country,2014-10-17T00:53:50.0948670-04:00,2014-10-17T00:53:50.0948670-04:00
29,42,6,WorldDb::Model::Country,2014-10-17T00:53:50.0974090-04:00,2014-10-17T00:53:50.0974090-04:00
30,9,6,WorldDb::Model::Country,2014-10-17T00:53:50.0996570-04:00,2014-10-17T00:53:50.0996570-04:00
31,35,6,WorldDb::Model::Country,2014-10-17T00:53:50.1017900-04:00,2014-10-17T00:53:50.1017900-04:00
32,1,7,WorldDb::Model::Country,2014-10-17T00:53:50.1095140-04:00,2014-10-17T00:53:50.1095140-04:00
33,30,7,WorldDb::Model::Country,2014-10-17T00:53:50.1115000-04:00,2014-10-17T00:53:50.1115000-04:00
34,38,7,WorldDb::Model::Country,2014-10-17T00:53:50.1176650-04:00,2014-10-17T00:53:50.1176650-04:00
35,42,7,WorldDb::Model::Country,2014-10-17T00:53:50.1199340-04:00,2014-10-17T00:53:50.1199340-04:00
36,9,7,WorldDb::Model::Country,2014-10-17T00:53:50.1216160-04:00,2014-10-17T00:53:50.1216160-04:00
37,1,8,WorldDb::Model::Country,2014-10-17T00:53:50.1293050-04:00,2014-10-17T00:53:50.1293050-04:00
38,30,8,WorldDb::Model::Country,2014-10-17T00:53:50.1312360-04:00,2014-10-17T00:53:50.1312360-04:00
39,38,8,WorldDb::Model::Country,2014-10-17T00:53:50.1330650-04:00,2014-10-17T00:53:50.1330650-04:00
40,42,8,WorldDb::Model::Country,2014-10-17T00:53:50.1350270-04:00,2014-10-17T00:53:50.1350270-04:00
41,9,8,WorldDb::Model::Country,2014-10-17T00:53:50.1369680-04:00,2014-10-17T00:53:50.1369680-04:00
42,35,8,WorldDb::Model::Country,2014-10-17T00:53:50.1389480-04:00,2014-10-17T00:53:50.1389480-04:00
43,1,9,WorldDb::Model::Country,2014-10-17T00:53:50.1439300-04:00,2014-10-17T00:53:50.1439300-04:00
44,30,9,WorldDb::Model::Country,2014-10-17T00:53:50.1458640-04:00,2014-10-17T00:53:50.1458640-04:00
45,38,9,WorldDb::Model::Country,2014-10-17T00:53:50.1478020-04:00,2014-10-17T00:53:50.1478020-04:00
46,42,9,WorldDb::Model::Country,2014-10-17T00:53:50.1498390-04:00,2014-10-17T00:53:50.1498390-04:00
47,9,9,WorldDb::Model::Country,2014-10-17T00:53:50.1518730-04:00,2014-10-17T00:53:50.1518730-04:00
48,35,9,WorldDb::Model::Country,2014-10-17T00:53:50.1538000-04:00,2014-10-17T00:53:50.1538000-04:00
49,1,10,WorldDb::Model::Country,2014-10-17T00:53:50.1611440-04:00,2014-10-17T00:53:50.1611440-04:00
50,30,10,WorldDb::Model::Country,2014-10-17T00:53:50.1631050-04:00,2014-10-17T00:53:50.1631050-04:00
51,38,10,WorldDb::Model::Country,2014-10-17T00:53:50.1648680-04:00,2014-10-17T00:53:50.1648680-04:00
52,42,10,WorldDb::Model::Country,2014-10-17T00:53:50.1667180-04:00,2014-10-17T00:53:50.1667180-04:00
53,9,10,WorldDb::Model::Country,2014-10-17T00:53:50.1686220-04:00,2014-10-17T00:53:50.1686220-04:00
54,35,10,WorldDb::Model::Country,2014-10-17T00:53:50.1705790-04:00,2014-10-17T00:53:50.1705790-04:00
