Id,name,slug,key,place_id,alt_names,created_at,updated_at
1,Europe,europe,eu,1,,2014-10-17T00:53:49.9266840-04:00,2014-10-17T00:53:49.9266840-04:00
2,South America,south-america,sa,2,,2014-10-17T00:53:49.9317960-04:00,2014-10-17T00:53:49.9317960-04:00
3,North America,north-america,na,3,,2014-10-17T00:53:49.9339860-04:00,2014-10-17T00:53:49.9339860-04:00
4,Central America,central-america,ca,4,,2014-10-17T00:53:49.9362110-04:00,2014-10-17T00:53:49.9362110-04:00
5,Caribbean,caribbean,ci,5,,2014-10-17T00:53:49.9387780-04:00,2014-10-17T00:53:49.9387780-04:00
6,Africa,africa,af,6,,2014-10-17T00:53:49.9410920-04:00,2014-10-17T00:53:49.9410920-04:00
7,Middle East,middle-east,me,7,,2014-10-17T00:53:49.9433090-04:00,2014-10-17T00:53:49.9433090-04:00
8,Asia,asia,as,8,,2014-10-17T00:53:49.9453570-04:00,2014-10-17T00:53:49.9453570-04:00
9,Pacific,pacific,pa,9,,2014-10-17T00:53:49.9480570-04:00,2014-10-17T00:53:49.9480570-04:00
10,Others,others,others,10,,2014-10-17T00:53:49.9504180-04:00,2014-10-17T00:53:49.9504180-04:00
