Id,key,title,country_id,club,created_at,updated_at
1,world,World Cup,,False,2014-10-17T00:54:09.5261060-04:00,2014-10-17T00:54:09.5261060-04:00
2,world.quali.europe,World Cup Quali Europe,,False,2014-10-17T00:54:09.5303580-04:00,2014-10-17T00:54:09.5303580-04:00
3,world.quali.northamerica,World Cup Quali North/Central America and Caribbean,,False,2014-10-17T00:54:09.5319340-04:00,2014-10-17T00:54:09.5319340-04:00
4,world.quali.southamerica,World Cup Quali South America,,False,2014-10-17T00:54:09.5336190-04:00,2014-10-17T00:54:09.5336190-04:00
5,world.quali.africa,World Cup Quali Africa,,False,2014-10-17T00:54:09.5357600-04:00,2014-10-17T00:54:09.5357600-04:00
6,world.quali.asia,World Cup Quali Asia (w/ Australia),,False,2014-10-17T00:54:09.5374420-04:00,2014-10-17T00:54:09.5374420-04:00
7,world.quali.pacific,World Cup Quali South Pacific,,False,2014-10-17T00:54:09.5391730-04:00,2014-10-17T00:54:09.5391730-04:00
8,world.quali.playoffs,World Cup Quali Intercontinental Playoffs,,False,2014-10-17T00:54:09.5410800-04:00,2014-10-17T00:54:09.5410800-04:00
9,world.confed,Confederations Cup,,False,2014-10-17T00:54:09.5426670-04:00,2014-10-17T00:54:09.5426670-04:00
10,euro,Euro / European Championship,,False,2014-10-17T00:54:09.5443080-04:00,2014-10-17T00:54:09.5443080-04:00
11,euro.quali,Euro Quali,,False,2014-10-17T00:54:09.5458690-04:00,2014-10-17T00:54:09.5458690-04:00
12,southamerica,Copa AmÃ©rica,,False,2014-10-17T00:54:09.5478630-04:00,2014-10-17T00:54:09.5478630-04:00
13,northamerica,Gold Cup / Copa de Oro,,False,2014-10-17T00:54:09.5497750-04:00,2014-10-17T00:54:09.5497750-04:00
14,asia,Asian Cup,,False,2014-10-17T00:54:09.5513350-04:00,2014-10-17T00:54:09.5513350-04:00
15,africa,Africa Cup of Nations / Coupe d'Afrique des Nations,,False,2014-10-17T00:54:09.5528560-04:00,2014-10-17T00:54:09.5528560-04:00
16,paficic,South Pacific Nations Cup,,False,2014-10-17T00:54:09.5545250-04:00,2014-10-17T00:54:09.5545250-04:00
17,at,Ã–sterr. Bundesliga,106,False,2014-10-17T00:54:28.1155430-04:00,2014-10-17T00:54:28.1155430-04:00
18,at.2,Ã–sterr. Erste Liga,106,False,2014-10-17T00:54:28.1197680-04:00,2014-10-17T00:54:28.1197680-04:00
19,at.cup,Ã–FB Cup,106,False,2014-10-17T00:54:28.1214590-04:00,2014-10-17T00:54:28.1214590-04:00
20,at.3.ost,Ã–sterr. Regionalliga Ost,106,False,2014-10-17T00:54:28.1230890-04:00,2014-10-17T00:54:28.1230890-04:00
21,at.3.mitte,Ã–sterr. Regionalliga Mitte,106,False,2014-10-17T00:54:28.1246640-04:00,2014-10-17T00:54:28.1246640-04:00
22,at.3.west,Ã–sterr. Regionalliga West,106,False,2014-10-17T00:54:28.1263000-04:00,2014-10-17T00:54:28.1263000-04:00
23,at.4.ost.w,Wiener Stadtliga,106,False,2014-10-17T00:54:28.1282200-04:00,2014-10-17T00:54:28.1282200-04:00
24,at.5.n.ost,2. Landesliga Ost (NÃ–),106,False,2014-10-17T00:54:28.1345190-04:00,2014-10-17T00:54:28.1345190-04:00
25,at.5.n.west,2. Landesliga West (NÃ–),106,False,2014-10-17T00:54:28.1361690-04:00,2014-10-17T00:54:28.1361690-04:00
26,at.6.n.ost.sso,Gebietsliga SÃ¼d/SÃ¼dost (NÃ–),106,False,2014-10-17T00:54:28.1380990-04:00,2014-10-17T00:54:28.1380990-04:00
27,at.6.n.ost.nnw,Gebietsliga Nord/Nordwest (NÃ–),106,False,2014-10-17T00:54:28.1407890-04:00,2014-10-17T00:54:28.1407890-04:00
28,at.6.n.west.w,Gebietsliga West (NÃ–),106,False,2014-10-17T00:54:28.1431040-04:00,2014-10-17T00:54:28.1431040-04:00
29,at.6.n.west.nww,Gebietsliga Nordwest/Waldviertel (NÃ–),106,False,2014-10-17T00:54:28.1447220-04:00,2014-10-17T00:54:28.1447220-04:00
30,at.7.n.ost.sso.s,1. Klasse SÃ¼d (NÃ–),106,False,2014-10-17T00:54:28.1462050-04:00,2014-10-17T00:54:28.1462050-04:00
