Id,key,league_id,season_id,start_at,end_at,team3,sources,config,created_at,updated_at
1,world.quali.africa.2014,5,30,2011-11-11,,False,"africa_i,africa_ii,africa_playoffs",africa,2014-10-17T00:54:11.4275550-04:00,2014-10-17T00:54:11.4275550-04:00
2,world.quali.asia.2014,6,30,2011-06-29,,False,"asia_i,asia_ii,asia_iii,asia_iv",asia,2014-10-17T00:54:12.7355890-04:00,2014-10-17T00:54:12.7355890-04:00
3,world.quali.europe.2014,2,30,2012-09-07,,False,"europe,europe_a,europe_b,europe_c,europe_d,europe_e,europe_f,europe_g,europe_h,europe_i,europe_playoffs",europe,2014-10-17T00:54:13.8805400-04:00,2014-10-17T00:54:13.8805400-04:00
4,world.quali.northamerica.2014,3,30,2011-06-15,,False,"north_america_i,north_america_ii,north_america_iii,north_america_hex",north_america,2014-10-17T00:54:15.9761780-04:00,2014-10-17T00:54:15.9761780-04:00
5,world.quali.pacific.2014,7,30,2011-11-22,,False,"pacific_i,pacific_ii,pacific_iii",pacific,2014-10-17T00:54:17.1032540-04:00,2014-10-17T00:54:17.1032540-04:00
6,world.quali.playoffs.2014,8,30,2013-11-13,,False,playoffs,playoffs,2014-10-17T00:54:17.3988560-04:00,2014-10-17T00:54:17.3988560-04:00
7,world.quali.southamerica.2014,4,30,2011-10-07,,False,south_america,south_america,2014-10-17T00:54:17.4554950-04:00,2014-10-17T00:54:17.4554950-04:00
8,world.2014,1,30,2014-06-12,,False,"cup,cup_finals",cup,2014-10-17T00:54:17.9599460-04:00,2014-10-17T00:54:17.9599460-04:00
9,euro.2008,10,36,2008-06-07,,False,euro,euro,2014-10-17T00:54:20.6880210-04:00,2014-10-17T00:54:20.6880210-04:00
10,euro.2012,10,32,2012-06-07,,False,euro,euro,2014-10-17T00:54:21.0353030-04:00,2014-10-17T00:54:21.0353030-04:00
11,africa.2013,15,31,2013-01-19,,False,cup,cup,2014-10-17T00:54:22.5907870-04:00,2014-10-17T00:54:22.5907870-04:00
12,southamerica.2011,12,33,2011-07-01,,False,copa,copa,2014-10-17T00:54:25.3387480-04:00,2014-10-17T00:54:25.3387480-04:00
13,southamerica.2015,12,29,2015-07-01,,False,copa,copa,2014-10-17T00:54:25.6384840-04:00,2014-10-17T00:54:25.6384840-04:00
14,at.2011/12,17,10,2011-07-16,,False,"1-bundesliga-i,1-bundesliga-ii",1-bundesliga,2014-10-17T00:54:28.6148110-04:00,2014-10-17T00:54:28.6148110-04:00
15,at.cup.2011/12,19,10,2011-07-15,,False,cup,cup,2014-10-17T00:54:28.9263810-04:00,2014-10-17T00:54:28.9263810-04:00
16,at.2012/13,17,9,2012-07-21,,False,"1-bundesliga-i,1-bundesliga-ii",1-bundesliga,2014-10-17T00:54:29.0306770-04:00,2014-10-17T00:54:29.0306770-04:00
17,at.2.2012/13,18,9,2012-07-20,,False,2-liga1,2-liga1,2014-10-17T00:54:30.0945850-04:00,2014-10-17T00:54:30.0945850-04:00
18,at.cup.2012/13,19,9,2012-07-13,,False,cup,cup,2014-10-17T00:54:30.1621550-04:00,2014-10-17T00:54:30.1621550-04:00
19,at.2013/14,17,8,2013-07-20,,False,"1-bundesliga-i,1-bundesliga-ii",1-bundesliga,2014-10-17T00:54:30.6991860-04:00,2014-10-17T00:54:30.6991860-04:00
20,at.2.2013/14,18,8,2013-07-19,,False,2-liga1,2-liga1,2014-10-17T00:54:31.7731450-04:00,2014-10-17T00:54:31.7731450-04:00
21,at.cup.2013/14,19,8,2013-07-12,,False,cup,cup,2014-10-17T00:54:31.8463610-04:00,2014-10-17T00:54:31.8463610-04:00
22,at.2014/15,17,7,2014-07-19,,False,"1-bundesliga-i,1-bundesliga-ii",1-bundesliga,2014-10-17T00:54:32.3885880-04:00,2014-10-17T00:54:32.3885880-04:00
23,at.2.2014/15,18,7,2014-07-18,,False,2-liga1,2-liga1,2014-10-17T00:54:33.4341780-04:00,2014-10-17T00:54:33.4341780-04:00
24,at.cup.2014/15,19,7,2014-07-11,,False,cup,cup,2014-10-17T00:54:34.0344000-04:00,2014-10-17T00:54:34.0344000-04:00
25,de.2012/13,58,9,2012-07-21,,False,"1-bundesliga-i,1-bundesliga-ii",1-bundesliga,2014-10-17T00:54:35.8656920-04:00,2014-10-17T00:54:35.8656920-04:00
