Id,person_id,game_id,team_id,minute,offset,score1,score2,penalty,owngoal,created_at,updated_at
1,869,803,154,11,0,0,1,False,False,2014-10-17T00:54:18.1748470-04:00,2014-10-17T00:54:18.1748470-04:00
2,904,803,211,29,0,1,1,False,False,2014-10-17T00:54:18.1782200-04:00,2014-10-17T00:54:18.1782200-04:00
3,904,803,211,71,0,2,1,False,False,2014-10-17T00:54:18.1812060-04:00,2014-10-17T00:54:18.1812060-04:00
4,900,803,211,90,1,3,1,False,False,2014-10-17T00:54:18.1833820-04:00,2014-10-17T00:54:18.1833820-04:00
5,759,804,190,61,0,1,0,False,False,2014-10-17T00:54:18.1935170-04:00,2014-10-17T00:54:18.1935170-04:00
6,565,806,154,11,0,0,1,False,False,2014-10-17T00:54:18.2176050-04:00,2014-10-17T00:54:18.2176050-04:00
7,558,806,154,48,0,0,2,False,False,2014-10-17T00:54:18.2196020-04:00,2014-10-17T00:54:18.2196020-04:00
8,567,806,154,61,0,0,3,False,False,2014-10-17T00:54:18.2215960-04:00,2014-10-17T00:54:18.2215960-04:00
9,567,806,154,73,0,0,4,False,False,2014-10-17T00:54:18.2235890-04:00,2014-10-17T00:54:18.2235890-04:00
10,904,807,211,17,0,0,1,False,False,2014-10-17T00:54:18.2414170-04:00,2014-10-17T00:54:18.2414170-04:00
11,1034,807,22,26,0,1,1,False,False,2014-10-17T00:54:18.2467380-04:00,2014-10-17T00:54:18.2467380-04:00
12,904,807,211,35,0,1,2,False,False,2014-10-17T00:54:18.2495180-04:00,2014-10-17T00:54:18.2495180-04:00
13,894,807,211,49,0,1,3,False,False,2014-10-17T00:54:18.2514920-04:00,2014-10-17T00:54:18.2514920-04:00
14,887,807,211,84,0,1,4,False,False,2014-10-17T00:54:18.2560710-04:00,2014-10-17T00:54:18.2560710-04:00
15,738,808,190,72,0,0,1,False,False,2014-10-17T00:54:18.2707210-04:00,2014-10-17T00:54:18.2707210-04:00
16,1035,808,190,75,0,0,2,False,False,2014-10-17T00:54:18.2758560-04:00,2014-10-17T00:54:18.2758560-04:00
17,757,808,190,82,0,0,3,False,False,2014-10-17T00:54:18.2795870-04:00,2014-10-17T00:54:18.2795870-04:00
18,558,808,154,87,0,1,3,False,False,2014-10-17T00:54:18.2815180-04:00,2014-10-17T00:54:18.2815180-04:00
19,455,809,129,27,0,1,0,False,False,2014-10-17T00:54:18.2989490-04:00,2014-10-17T00:54:18.2989490-04:00
20,644,809,137,44,0,1,1,False,False,2014-10-17T00:54:18.3018300-04:00,2014-10-17T00:54:18.3018300-04:00
21,631,809,137,53,0,1,2,False,False,2014-10-17T00:54:18.3037510-04:00,2014-10-17T00:54:18.3037510-04:00
22,622,809,137,65,0,1,3,False,False,2014-10-17T00:54:18.3063770-04:00,2014-10-17T00:54:18.3063770-04:00
23,644,809,137,72,0,1,4,False,False,2014-10-17T00:54:18.3091810-04:00,2014-10-17T00:54:18.3091810-04:00
24,631,809,137,80,0,1,5,False,False,2014-10-17T00:54:18.3112600-04:00,2014-10-17T00:54:18.3112600-04:00
25,1036,810,212,12,0,1,0,False,False,2014-10-17T00:54:18.3284220-04:00,2014-10-17T00:54:18.3284220-04:00
26,1037,810,212,14,0,2,0,False,False,2014-10-17T00:54:18.3334990-04:00,2014-10-17T00:54:18.3334990-04:00
27,386,810,193,35,0,2,1,False,False,2014-10-17T00:54:18.3360300-04:00,2014-10-17T00:54:18.3360300-04:00
28,924,810,212,90,2,3,1,False,False,2014-10-17T00:54:18.3381750-04:00,2014-10-17T00:54:18.3381750-04:00
29,933,811,212,20,0,0,1,False,False,2014-10-17T00:54:18.3515260-04:00,2014-10-17T00:54:18.3515260-04:00
30,928,811,212,43,0,0,2,False,False,2014-10-17T00:54:18.3538310-04:00,2014-10-17T00:54:18.3538310-04:00
31,631,812,137,20,0,0,1,False,False,2014-10-17T00:54:18.3663970-04:00,2014-10-17T00:54:18.3663970-04:00
32,819,812,193,21,0,1,1,False,False,2014-10-17T00:54:18.3689520-04:00,2014-10-17T00:54:18.3689520-04:00
33,807,812,193,54,0,2,1,False,False,2014-10-17T00:54:18.3749220-04:00,2014-10-17T00:54:18.3749220-04:00
34,644,812,137,58,0,2,2,False,False,2014-10-17T00:54:18.3790770-04:00,2014-10-17T00:54:18.3790770-04:00
35,636,812,137,68,0,2,3,False,False,2014-10-17T00:54:18.3810450-04:00,2014-10-17T00:54:18.3810450-04:00
36,470,813,129,36,0,0,1,False,False,2014-10-17T00:54:18.3950870-04:00,2014-10-17T00:54:18.3950870-04:00
37,471,813,129,69,0,0,2,False,False,2014-10-17T00:54:18.3986860-04:00,2014-10-17T00:54:18.3986860-04:00
38,450,813,129,82,0,0,3,False,False,2014-10-17T00:54:18.4022080-04:00,2014-10-17T00:54:18.4022080-04:00
39,637,814,137,77,0,1,0,False,False,2014-10-17T00:54:18.4169710-04:00,2014-10-17T00:54:18.4169710-04:00
40,636,814,137,90,2,2,0,False,False,2014-10-17T00:54:18.4188430-04:00,2014-10-17T00:54:18.4188430-04:00
41,948,815,215,5,0,1,0,False,False,2014-10-17T00:54:18.4327500-04:00,2014-10-17T00:54:18.4327500-04:00
42,1038,815,215,58,0,2,0,False,False,2014-10-17T00:54:18.4391270-04:00,2014-10-17T00:54:18.4391270-04:00
43,1039,815,215,90,3,3,0,False,False,2014-10-17T00:54:18.4451160-04:00,2014-10-17T00:54:18.4451160-04:00
44,166,816,72,16,0,0,1,False,False,2014-10-17T00:54:18.4585770-04:00,2014-10-17T00:54:18.4585770-04:00
45,19,816,17,64,0,1,1,False,False,2014-10-17T00:54:18.4606640-04:00,2014-10-17T00:54:18.4606640-04:00
46,18,816,17,66,0,2,1,False,False,2014-10-17T00:54:18.4626120-04:00,2014-10-17T00:54:18.4626120-04:00
47,1039,817,215,64,0,1,0,False,False,2014-10-17T00:54:18.4749110-04:00,2014-10-17T00:54:18.4749110-04:00
48,1040,817,215,70,0,2,0,False,False,2014-10-17T00:54:18.4798870-04:00,2014-10-17T00:54:18.4798870-04:00
49,18,817,17,73,0,2,1,False,False,2014-10-17T00:54:18.4816080-04:00,2014-10-17T00:54:18.4816080-04:00
50,1041,819,215,17,0,0,1,False,False,2014-10-17T00:54:18.5180760-04:00,2014-10-17T00:54:18.5180760-04:00
51,175,819,72,45,1,1,1,False,False,2014-10-17T00:54:18.5253940-04:00,2014-10-17T00:54:18.5253940-04:00
52,971,819,215,55,0,1,2,False,False,2014-10-17T00:54:18.5320820-04:00,2014-10-17T00:54:18.5320820-04:00
53,971,819,215,82,0,1,3,False,False,2014-10-17T00:54:18.5361260-04:00,2014-10-17T00:54:18.5361260-04:00
54,1039,819,215,90,0,1,4,False,False,2014-10-17T00:54:18.5413730-04:00,2014-10-17T00:54:18.5413730-04:00
55,535,820,132,42,0,1,0,False,False,2014-10-17T00:54:18.5540890-04:00,2014-10-17T00:54:18.5540890-04:00
56,19,820,17,74,0,1,1,False,False,2014-10-17T00:54:18.5584140-04:00,2014-10-17T00:54:18.5584140-04:00
57,1042,820,132,90,3,2,1,False,False,2014-10-17T00:54:18.5641440-04:00,2014-10-17T00:54:18.5641440-04:00
58,1032,821,214,24,0,1,0,False,False,2014-10-17T00:54:18.5781580-04:00,2014-10-17T00:54:18.5781580-04:00
59,234,821,118,54,0,1,1,False,False,2014-10-17T00:54:18.5802140-04:00,2014-10-17T00:54:18.5802140-04:00
60,1043,821,118,57,0,1,2,False,False,2014-10-17T00:54:18.5856530-04:00,2014-10-17T00:54:18.5856530-04:00
61,1044,821,118,84,0,1,3,False,False,2014-10-17T00:54:18.5909240-04:00,2014-10-17T00:54:18.5909240-04:00
62,601,822,134,35,0,0,1,False,False,2014-10-17T00:54:18.6016400-04:00,2014-10-17T00:54:18.6016400-04:00
63,418,822,170,37,0,1,1,False,False,2014-10-17T00:54:18.6034220-04:00,2014-10-17T00:54:18.6034220-04:00
64,604,822,134,50,0,1,2,False,False,2014-10-17T00:54:18.6075690-04:00,2014-10-17T00:54:18.6075690-04:00
65,1028,823,214,39,0,1,0,False,False,2014-10-17T00:54:18.6204210-04:00,2014-10-17T00:54:18.6204210-04:00
66,416,823,170,75,0,1,1,False,False,2014-10-17T00:54:18.6223790-04:00,2014-10-17T00:54:18.6223790-04:00
67,1028,823,214,85,0,2,1,False,False,2014-10-17T00:54:18.6263540-04:00,2014-10-17T00:54:18.6263540-04:00
68,232,824,118,44,0,0,1,False,False,2014-10-17T00:54:18.6368130-04:00,2014-10-17T00:54:18.6368130-04:00
69,1010,825,214,81,0,0,1,False,False,2014-10-17T00:54:18.6483230-04:00,2014-10-17T00:54:18.6483230-04:00
70,1004,827,216,22,0,0,1,False,False,2014-10-17T00:54:18.6680360-04:00,2014-10-17T00:54:18.6680360-04:00
71,342,827,153,48,0,1,1,False,False,2014-10-17T00:54:18.6700840-04:00,2014-10-17T00:54:18.6700840-04:00
72,344,827,153,90,3,2,1,False,False,2014-10-17T00:54:18.6720730-04:00,2014-10-17T00:54:18.6720730-04:00
73,509,828,131,45,0,1,0,False,False,2014-10-17T00:54:18.6842060-04:00,2014-10-17T00:54:18.6842060-04:00
74,237,828,131,48,0,2,0,False,False,2014-10-17T00:54:18.6861160-04:00,2014-10-17T00:54:18.6861160-04:00
75,509,828,131,72,0,3,0,False,False,2014-10-17T00:54:18.6881530-04:00,2014-10-17T00:54:18.6881530-04:00
76,510,829,131,17,0,0,1,False,False,2014-10-17T00:54:18.7020140-04:00,2014-10-17T00:54:18.7020140-04:00
77,498,829,131,18,0,0,2,False,False,2014-10-17T00:54:18.7039810-04:00,2014-10-17T00:54:18.7039810-04:00
78,496,829,131,40,0,0,3,False,False,2014-10-17T00:54:18.7059880-04:00,2014-10-17T00:54:18.7059880-04:00
79,509,829,131,67,0,0,4,False,False,2014-10-17T00:54:18.7079440-04:00,2014-10-17T00:54:18.7079440-04:00
80,499,829,131,73,0,0,5,False,False,2014-10-17T00:54:18.7098140-04:00,2014-10-17T00:54:18.7098140-04:00
81,334,829,153,81,0,1,5,False,False,2014-10-17T00:54:18.7115780-04:00,2014-10-17T00:54:18.7115780-04:00
82,336,829,153,87,0,2,5,False,False,2014-10-17T00:54:18.7133950-04:00,2014-10-17T00:54:18.7133950-04:00
83,256,830,117,31,0,1,0,False,False,2014-10-17T00:54:18.7266930-04:00,2014-10-17T00:54:18.7266930-04:00
84,1004,830,216,34,0,1,1,False,False,2014-10-17T00:54:18.7303130-04:00,2014-10-17T00:54:18.7303130-04:00
85,1004,830,216,65,0,1,2,False,False,2014-10-17T00:54:18.7338960-04:00,2014-10-17T00:54:18.7338960-04:00
86,335,831,153,6,0,0,1,False,False,2014-10-17T00:54:18.7462160-04:00,2014-10-17T00:54:18.7462160-04:00
87,335,831,153,31,0,0,2,False,False,2014-10-17T00:54:18.7485330-04:00,2014-10-17T00:54:18.7485330-04:00
88,335,831,153,71,0,0,3,False,False,2014-10-17T00:54:18.7509910-04:00,2014-10-17T00:54:18.7509910-04:00
89,271,833,210,3,0,1,0,False,False,2014-10-17T00:54:18.7706410-04:00,2014-10-17T00:54:18.7706410-04:00
90,854,833,210,65,0,2,0,False,False,2014-10-17T00:54:18.7744340-04:00,2014-10-17T00:54:18.7744340-04:00
91,287,833,162,85,0,2,1,False,False,2014-10-17T00:54:18.7765530-04:00,2014-10-17T00:54:18.7765530-04:00
92,854,835,210,90,0,1,0,False,False,2014-10-17T00:54:18.7957260-04:00,2014-10-17T00:54:18.7957260-04:00
93,147,836,20,29,0,1,0,False,False,2014-10-17T00:54:18.8058970-04:00,2014-10-17T00:54:18.8058970-04:00
94,854,837,210,3,0,0,1,False,False,2014-10-17T00:54:18.8284770-04:00,2014-10-17T00:54:18.8284770-04:00
95,141,837,20,4,0,1,1,False,False,2014-10-17T00:54:18.8318320-04:00,2014-10-17T00:54:18.8318320-04:00
96,854,837,210,45,1,1,2,False,False,2014-10-17T00:54:18.8355810-04:00,2014-10-17T00:54:18.8355810-04:00
97,141,837,20,47,0,2,2,False,False,2014-10-17T00:54:18.8438810-04:00,2014-10-17T00:54:18.8438810-04:00
98,831,837,210,50,0,2,3,False,False,2014-10-17T00:54:18.8479860-04:00,2014-10-17T00:54:18.8479860-04:00
99,286,838,162,23,0,1,0,False,False,2014-10-17T00:54:18.8621760-04:00,2014-10-17T00:54:18.8621760-04:00
100,273,838,162,59,0,2,0,False,False,2014-10-17T00:54:18.8641980-04:00,2014-10-17T00:54:18.8641980-04:00
101,722,838,178,82,0,2,1,False,False,2014-10-17T00:54:18.8662980-04:00,2014-10-17T00:54:18.8662980-04:00
102,266,838,162,83,0,3,1,False,False,2014-10-17T00:54:18.8682790-04:00,2014-10-17T00:54:18.8682790-04:00
103,364,839,127,12,0,1,0,False,False,2014-10-17T00:54:18.8855380-04:00,2014-10-17T00:54:18.8855380-04:00
104,354,839,127,32,0,2,0,False,False,2014-10-17T00:54:18.8875030-04:00,2014-10-17T00:54:18.8875030-04:00
105,364,839,127,45,1,3,0,False,False,2014-10-17T00:54:18.8894590-04:00,2014-10-17T00:54:18.8894590-04:00
106,364,839,127,78,0,4,0,False,False,2014-10-17T00:54:18.8912660-04:00,2014-10-17T00:54:18.8912660-04:00
