Id,event_id,title,pos,created_at,updated_at
1,1,Group A,1,2014-10-17T00:54:11.7003820-04:00,2014-10-17T00:54:11.7003820-04:00
2,1,Group B,2,2014-10-17T00:54:11.7151680-04:00,2014-10-17T00:54:11.7151680-04:00
3,1,Group C,3,2014-10-17T00:54:11.7277380-04:00,2014-10-17T00:54:11.7277380-04:00
4,1,Group D,4,2014-10-17T00:54:11.7440170-04:00,2014-10-17T00:54:11.7440170-04:00
5,1,Group E,5,2014-10-17T00:54:11.7554530-04:00,2014-10-17T00:54:11.7554530-04:00
6,1,Group F,6,2014-10-17T00:54:11.7673600-04:00,2014-10-17T00:54:11.7673600-04:00
7,1,Group G,7,2014-10-17T00:54:11.7833940-04:00,2014-10-17T00:54:11.7833940-04:00
8,1,Group H,8,2014-10-17T00:54:11.7957690-04:00,2014-10-17T00:54:11.7957690-04:00
9,1,Group I,9,2014-10-17T00:54:11.8073070-04:00,2014-10-17T00:54:11.8073070-04:00
10,1,Group J,10,2014-10-17T00:54:11.8193400-04:00,2014-10-17T00:54:11.8193400-04:00
11,2,Group A,1,2014-10-17T00:54:13.0622800-04:00,2014-10-17T00:54:13.0622800-04:00
12,2,Group B,2,2014-10-17T00:54:13.0751340-04:00,2014-10-17T00:54:13.0751340-04:00
13,2,Group C,3,2014-10-17T00:54:13.0877840-04:00,2014-10-17T00:54:13.0877840-04:00
14,2,Group D,4,2014-10-17T00:54:13.0988330-04:00,2014-10-17T00:54:13.0988330-04:00
15,2,Group E,5,2014-10-17T00:54:13.1108480-04:00,2014-10-17T00:54:13.1108480-04:00
16,2,Group I,9,2014-10-17T00:54:13.5228960-04:00,2014-10-17T00:54:13.5228960-04:00
17,2,Group J,10,2014-10-17T00:54:13.5390860-04:00,2014-10-17T00:54:13.5390860-04:00
18,3,Group A,1,2014-10-17T00:54:13.9435760-04:00,2014-10-17T00:54:13.9435760-04:00
19,3,Group B,2,2014-10-17T00:54:13.9636720-04:00,2014-10-17T00:54:13.9636720-04:00
20,3,Group C,3,2014-10-17T00:54:13.9837060-04:00,2014-10-17T00:54:13.9837060-04:00
21,3,Group D,4,2014-10-17T00:54:13.9984550-04:00,2014-10-17T00:54:13.9984550-04:00
22,3,Group E,5,2014-10-17T00:54:14.0152710-04:00,2014-10-17T00:54:14.0152710-04:00
23,3,Group F,6,2014-10-17T00:54:14.0304510-04:00,2014-10-17T00:54:14.0304510-04:00
24,3,Group G,7,2014-10-17T00:54:14.0456520-04:00,2014-10-17T00:54:14.0456520-04:00
25,3,Group H,8,2014-10-17T00:54:14.0604390-04:00,2014-10-17T00:54:14.0604390-04:00
26,3,Group I,9,2014-10-17T00:54:14.0776600-04:00,2014-10-17T00:54:14.0776600-04:00
27,4,Group A,1,2014-10-17T00:54:16.1031320-04:00,2014-10-17T00:54:16.1031320-04:00
28,4,Group B,2,2014-10-17T00:54:16.1140410-04:00,2014-10-17T00:54:16.1140410-04:00
29,4,Group C,3,2014-10-17T00:54:16.1260520-04:00,2014-10-17T00:54:16.1260520-04:00
30,4,Group D,4,2014-10-17T00:54:16.1370760-04:00,2014-10-17T00:54:16.1370760-04:00
31,4,Group E,5,2014-10-17T00:54:16.1493480-04:00,2014-10-17T00:54:16.1493480-04:00
32,4,Group F,6,2014-10-17T00:54:16.1606920-04:00,2014-10-17T00:54:16.1606920-04:00
33,4,Group I,9,2014-10-17T00:54:16.5766980-04:00,2014-10-17T00:54:16.5766980-04:00
34,4,Group J,10,2014-10-17T00:54:16.5882750-04:00,2014-10-17T00:54:16.5882750-04:00
35,4,Group K,11,2014-10-17T00:54:16.6000270-04:00,2014-10-17T00:54:16.6000270-04:00
36,4,Group HEX,666,2014-10-17T00:54:16.8582130-04:00,2014-10-17T00:54:16.8582130-04:00
37,5,Group I,9,2014-10-17T00:54:17.1296770-04:00,2014-10-17T00:54:17.1296770-04:00
38,5,Group A,1,2014-10-17T00:54:17.1886110-04:00,2014-10-17T00:54:17.1886110-04:00
39,5,Group B,2,2014-10-17T00:54:17.2042100-04:00,2014-10-17T00:54:17.2042100-04:00
40,5,Group J,10,2014-10-17T00:54:17.3000100-04:00,2014-10-17T00:54:17.3000100-04:00
41,8,Group A,1,2014-10-17T00:54:18.0222040-04:00,2014-10-17T00:54:18.0222040-04:00
42,8,Group B,2,2014-10-17T00:54:18.0345970-04:00,2014-10-17T00:54:18.0345970-04:00
43,8,Group C,3,2014-10-17T00:54:18.0484110-04:00,2014-10-17T00:54:18.0484110-04:00
44,8,Group D,4,2014-10-17T00:54:18.0592180-04:00,2014-10-17T00:54:18.0592180-04:00
45,8,Group E,5,2014-10-17T00:54:18.0711430-04:00,2014-10-17T00:54:18.0711430-04:00
46,8,Group F,6,2014-10-17T00:54:18.0830830-04:00,2014-10-17T00:54:18.0830830-04:00
47,8,Group G,7,2014-10-17T00:54:18.0943220-04:00,2014-10-17T00:54:18.0943220-04:00
48,8,Group H,8,2014-10-17T00:54:18.1053980-04:00,2014-10-17T00:54:18.1053980-04:00
49,9,Group A,1,2014-10-17T00:54:20.7372640-04:00,2014-10-17T00:54:20.7372640-04:00
50,9,Group B,2,2014-10-17T00:54:20.7527320-04:00,2014-10-17T00:54:20.7527320-04:00
51,9,Group C,3,2014-10-17T00:54:20.7651120-04:00,2014-10-17T00:54:20.7651120-04:00
52,9,Group D,4,2014-10-17T00:54:20.7752660-04:00,2014-10-17T00:54:20.7752660-04:00
53,10,Group A,1,2014-10-17T00:54:21.0729160-04:00,2014-10-17T00:54:21.0729160-04:00
54,10,Group B,2,2014-10-17T00:54:21.0858100-04:00,2014-10-17T00:54:21.0858100-04:00
55,10,Group C,3,2014-10-17T00:54:21.0969750-04:00,2014-10-17T00:54:21.0969750-04:00
56,10,Group D,4,2014-10-17T00:54:21.1130610-04:00,2014-10-17T00:54:21.1130610-04:00
57,11,Group A,1,2014-10-17T00:54:22.6290800-04:00,2014-10-17T00:54:22.6290800-04:00
58,11,Group B,2,2014-10-17T00:54:22.6437900-04:00,2014-10-17T00:54:22.6437900-04:00
59,11,Group C,3,2014-10-17T00:54:22.6653380-04:00,2014-10-17T00:54:22.6653380-04:00
60,11,Group D,4,2014-10-17T00:54:22.6756160-04:00,2014-10-17T00:54:22.6756160-04:00
61,12,Group A,1,2014-10-17T00:54:25.3717600-04:00,2014-10-17T00:54:25.3717600-04:00
62,12,Group B,2,2014-10-17T00:54:25.3863150-04:00,2014-10-17T00:54:25.3863150-04:00
63,12,Group C,3,2014-10-17T00:54:25.3967240-04:00,2014-10-17T00:54:25.3967240-04:00
