Id,key,title,created_at,updated_at
1,2020/21,2020/21,2014-10-17T00:53:49.6935420-04:00,2014-10-17T00:53:49.6935420-04:00
2,2019/20,2019/20,2014-10-17T00:53:49.6953810-04:00,2014-10-17T00:53:49.6953810-04:00
3,2018/19,2018/19,2014-10-17T00:53:49.6969160-04:00,2014-10-17T00:53:49.6969160-04:00
4,2017/18,2017/18,2014-10-17T00:53:49.6987040-04:00,2014-10-17T00:53:49.6987040-04:00
5,2016/17,2016/17,2014-10-17T00:53:49.7044010-04:00,2014-10-17T00:53:49.7044010-04:00
6,2015/16,2015/16,2014-10-17T00:53:49.7066550-04:00,2014-10-17T00:53:49.7066550-04:00
7,2014/15,2014/15,2014-10-17T00:53:49.7080900-04:00,2014-10-17T00:53:49.7080900-04:00
8,2013/14,2013/14,2014-10-17T00:53:49.7131800-04:00,2014-10-17T00:53:49.7131800-04:00
9,2012/13,2012/13,2014-10-17T00:53:49.7151780-04:00,2014-10-17T00:53:49.7151780-04:00
10,2011/12,2011/12,2014-10-17T00:53:49.7174240-04:00,2014-10-17T00:53:49.7174240-04:00
11,2010/11,2010/11,2014-10-17T00:53:49.7194310-04:00,2014-10-17T00:53:49.7194310-04:00
12,2009/10,2009/10,2014-10-17T00:53:49.7211110-04:00,2014-10-17T00:53:49.7211110-04:00
13,2008/09,2008/09,2014-10-17T00:53:49.7229360-04:00,2014-10-17T00:53:49.7229360-04:00
14,2007/08,2007/08,2014-10-17T00:53:49.7247130-04:00,2014-10-17T00:53:49.7247130-04:00
15,2006/07,2006/07,2014-10-17T00:53:49.7263930-04:00,2014-10-17T00:53:49.7263930-04:00
16,2005/06,2005/06,2014-10-17T00:53:49.7278040-04:00,2014-10-17T00:53:49.7278040-04:00
17,2004/05,2004/05,2014-10-17T00:53:49.7292670-04:00,2014-10-17T00:53:49.7292670-04:00
18,2003/04,2003/04,2014-10-17T00:53:49.7307720-04:00,2014-10-17T00:53:49.7307720-04:00
19,2002/03,2002/03,2014-10-17T00:53:49.7324460-04:00,2014-10-17T00:53:49.7324460-04:00
20,2001/02,2001/02,2014-10-17T00:53:49.7369130-04:00,2014-10-17T00:53:49.7369130-04:00
21,2000/01,2000/01,2014-10-17T00:53:49.7395610-04:00,2014-10-17T00:53:49.7395610-04:00
22,2022,2022,2014-10-17T00:53:49.7411720-04:00,2014-10-17T00:53:49.7411720-04:00
23,2021,2021,2014-10-17T00:53:49.7425520-04:00,2014-10-17T00:53:49.7425520-04:00
24,2020,2020,2014-10-17T00:53:49.7439290-04:00,2014-10-17T00:53:49.7439290-04:00
25,2019,2019,2014-10-17T00:53:49.7452670-04:00,2014-10-17T00:53:49.7452670-04:00
26,2018,2018,2014-10-17T00:53:49.7466460-04:00,2014-10-17T00:53:49.7466460-04:00
27,2017,2017,2014-10-17T00:53:49.7479910-04:00,2014-10-17T00:53:49.7479910-04:00
28,2016,2016,2014-10-17T00:53:49.7492930-04:00,2014-10-17T00:53:49.7492930-04:00
29,2015,2015,2014-10-17T00:53:49.7507000-04:00,2014-10-17T00:53:49.7507000-04:00
30,2014,2014,2014-10-17T00:53:49.7521310-04:00,2014-10-17T00:53:49.7521310-04:00
31,2013,2013,2014-10-17T00:53:49.7535070-04:00,2014-10-17T00:53:49.7535070-04:00
32,2012,2012,2014-10-17T00:53:49.7549470-04:00,2014-10-17T00:53:49.7549470-04:00
33,2011,2011,2014-10-17T00:53:49.7564380-04:00,2014-10-17T00:53:49.7564380-04:00
34,2010,2010,2014-10-17T00:53:49.7578730-04:00,2014-10-17T00:53:49.7578730-04:00
35,2009,2009,2014-10-17T00:53:49.7593010-04:00,2014-10-17T00:53:49.7593010-04:00
36,2008,2008,2014-10-17T00:53:49.7606950-04:00,2014-10-17T00:53:49.7606950-04:00
37,2007,2007,2014-10-17T00:53:49.7621570-04:00,2014-10-17T00:53:49.7621570-04:00
38,2006,2006,2014-10-17T00:53:49.7635610-04:00,2014-10-17T00:53:49.7635610-04:00
39,2005,2005,2014-10-17T00:53:49.7651300-04:00,2014-10-17T00:53:49.7651300-04:00
40,2004,2004,2014-10-17T00:53:49.7667410-04:00,2014-10-17T00:53:49.7667410-04:00
41,2003,2003,2014-10-17T00:53:49.7684050-04:00,2014-10-17T00:53:49.7684050-04:00
42,2002,2002,2014-10-17T00:53:49.7698590-04:00,2014-10-17T00:53:49.7698590-04:00
43,2001,2001,2014-10-17T00:53:49.7712990-04:00,2014-10-17T00:53:49.7712990-04:00
44,2000,2000,2014-10-17T00:53:49.7727320-04:00,2014-10-17T00:53:49.7727320-04:00
45,2015.1,2015.1,2014-10-17T00:53:49.7741800-04:00,2014-10-17T00:53:49.7741800-04:00
46,2015.2,2015.2,2014-10-17T00:53:49.7757120-04:00,2014-10-17T00:53:49.7757120-04:00
47,2014.1,2014.1,2014-10-17T00:53:49.7773090-04:00,2014-10-17T00:53:49.7773090-04:00
48,2014.2,2014.2,2014-10-17T00:53:49.7788420-04:00,2014-10-17T00:53:49.7788420-04:00
49,2013.1,2013.1,2014-10-17T00:53:49.7805000-04:00,2014-10-17T00:53:49.7805000-04:00
50,2013.2,2013.2,2014-10-17T00:53:49.7819070-04:00,2014-10-17T00:53:49.7819070-04:00
51,2012.1,2012.1,2014-10-17T00:53:49.7833790-04:00,2014-10-17T00:53:49.7833790-04:00
52,2012.2,2012.2,2014-10-17T00:53:49.7849390-04:00,2014-10-17T00:53:49.7849390-04:00
53,2011.1,2011.1,2014-10-17T00:53:49.7864700-04:00,2014-10-17T00:53:49.7864700-04:00
54,2011.2,2011.2,2014-10-17T00:53:49.7880000-04:00,2014-10-17T00:53:49.7880000-04:00
55,2010.1,2010.1,2014-10-17T00:53:49.7896610-04:00,2014-10-17T00:53:49.7896610-04:00
56,2010.2,2010.2,2014-10-17T00:53:49.7912630-04:00,2014-10-17T00:53:49.7912630-04:00
