Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
E2,07/08/04,Bristol City,Torquay,1,1,D,0,0,D,A Hall,14,8,8,4,15,18,7,4,2,3,0,0,1.53,3.6,6,1.5,3.6,6,1.6,3.4,5.5,1.55,3.4,4.6,1.5,3.4,6,1.5,3.5,6,1.61,3.1,5.5,1.71,2,1.6,2.1,-0.5,1.76,2.08,-0.75,2,1.85,-1
E2,07/08/04,Chesterfield,Brentford,3,1,H,1,0,H,E Ilderton,12,9,4,5,10,8,3,6,0,1,0,0,2.4,3.2,2.7,2.25,3.25,2.75,2.5,3.15,2.6,2.4,3.1,2.4,2.4,3.25,2.5,2.38,3.2,2.62,2.5,3.1,2.5,1.85,1.85,2.5,1.42,-0.5,1.8,2.04,0,1.85,2,0
E2,07/08/04,Doncaster,Blackpool,2,0,H,1,0,H,P Danson,16,4,6,2,12,14,11,3,0,2,0,0,2,3.25,3.4,2.1,3.2,3.1,2.05,3.25,3.25,1.9,3.1,3.3,1.8,3.25,3.75,2,3.25,3.25,2,3.1,3.3,1.75,1.95,2.05,1.63,-0.5,2.08,1.76,-0.5,1.8,2.05,-0.25
E2,07/08/04,Hartlepool,Bradford,2,1,H,0,0,D,G Salisbury,16,11,11,8,8,13,8,5,0,1,0,0,2,3.25,3.4,1.8,3.25,4,1.95,3.2,3.6,2,3,3.1,1.83,3.4,3.5,1.91,3.25,3.5,1.83,3.2,3.75,1.75,1.95,1.95,1.69,-0.5,1.78,2.06,-0.25,1.825,2.025,-0.25
E2,07/08/04,Hull,Bournemouth,1,0,H,1,0,H,P Prosser,16,14,9,6,12,5,6,4,3,0,0,1,1.8,3.2,4.33,1.6,3.5,5,1.75,3.3,4.4,1.75,3.1,3.8,1.83,3.2,3.75,1.8,3.25,4,1.72,3.1,4.5,1.75,1.95,1.75,1.89,-0.5,1.82,2.02,-0.5,1.875,1.975,-0.5
E2,07/08/04,Luton,Oldham,2,1,H,1,1,D,K Wright,6,8,5,7,17,10,6,6,2,0,0,0,1.9,3.25,3.75,1.85,3.25,3.75,2,3.1,3.6,2.1,2.9,3,1.83,3.2,3.75,2,3.25,3.25,2.1,3.1,3.1,1.85,1.85,2,1.67,-0.5,2.08,1.76,-0.5,2.05,1.8,-0.5
E2,07/08/04,Milton Keynes Dons,Barnsley,1,1,D,0,1,A,K Hill,12,4,5,1,16,19,4,12,1,0,0,0,2.4,3.4,2.6,2.25,3.25,2.75,2.5,3.15,2.6,2.4,3.1,2.4,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.75,1.95,2.5,1.42,-0.5,2.08,1.76,-0.25,1.875,1.975,0
E2,07/08/04,Peterboro,Tranmere,1,0,H,0,0,D,L Cable,14,6,10,2,19,14,7,3,4,2,0,0,2.7,3.25,2.37,2.8,3.1,2.3,2.8,3.15,2.35,2.7,2.9,2.3,2.6,3.2,2.38,2.75,3.25,2.25,2.62,3.1,2.37,1.85,1.85,1.48,2.35,0.5,2.04,1.8,0,2.05,1.8,0
E2,07/08/04,Sheffield Weds,Colchester,0,3,A,0,0,D,P Taylor,8,18,4,11,14,9,4,6,1,2,0,0,1.72,3.4,4.5,1.65,3.5,4.5,1.8,3.2,4.3,1.8,3.1,3.6,1.73,3.2,4.33,1.67,3.4,4.5,1.83,3,4,1.85,1.85,1.8,1.83,-0.5,1.82,2.02,-0.5,1.825,2.025,-0.5
E2,07/08/04,Stockport,Huddersfield,2,3,A,0,1,A,T Parkes,9,8,4,4,14,16,9,5,1,3,0,0,2.1,3.25,3.2,2.2,3.2,2.9,2.15,3.15,3.15,2.1,2.9,3,2.1,3.2,3,2.1,3.25,3,2.1,3.1,3.1,1.79,1.9,2.15,1.58,-0.5,1.88,1.96,-0.25,1.95,1.9,-0.25
E2,07/08/04,Walsall,Port Vale,3,2,H,1,0,H,L Probert,10,14,5,9,21,15,3,4,3,5,1,1,1.83,3.25,4,1.85,3.25,3.75,1.83,3.25,4,1.85,3.1,3.4,1.73,3.4,4,1.91,3.25,3.5,1.8,3.1,4,1.75,1.95,1.83,1.79,-0.5,1.94,1.9,-0.5,1.975,1.875,-0.5
E2,07/08/04,Wrexham,Swindon,2,1,H,1,0,H,S Mathieson,10,17,5,8,15,12,2,4,2,1,0,0,2.5,3.3,2.5,2.4,3.2,2.6,2.5,3.15,2.6,2.3,2.9,2.7,2.38,3.2,2.6,2.5,3.2,2.5,2.5,3.1,2.5,1.75,1.95,2.5,1.42,-0.5,1.86,1.98,0,1.95,1.9,0
E2,10/08/04,Barnsley,Bristol City,2,1,H,0,0,D,G Salisbury,13,11,6,5,10,13,2,6,1,1,0,0,2.5,3.3,2.5,2.5,3.2,2.5,2.45,3.2,2.65,2.5,2.8,2.5,2.25,3.2,2.75,2.38,3.2,2.62,2.37,3.1,2.62,1.9,1.79,2.45,1.45,-0.5,1.74,2.1,0,1.875,1.975,0
E2,10/08/04,Blackpool,Sheffield Weds,1,2,A,0,1,A,A Marriner,8,11,7,8,13,13,6,7,0,2,0,0,2.37,3.4,2.62,2.5,3.2,2.5,2.15,3.25,3.1,2.2,3,2.8,2.1,3.2,3,2.2,3.2,2.88,2.2,3.2,2.8,1.9,1.79,2.45,1.45,-0.5,1.74,2.1,0,1.8,2.05,0
E2,10/08/04,Bournemouth,Walsall,2,2,D,0,1,A,G Hegley,16,6,7,5,6,7,6,3,0,0,0,0,2.5,3.2,2.6,2.4,3.2,2.6,2.45,3.2,2.65,2.3,3,2.6,2.25,3.2,2.75,2.38,3.2,2.62,2.37,3.1,2.62,1.95,1.75,2.45,1.45,-0.5,1.76,2.08,0,1.85,2,0
E2,10/08/04,Bradford,Peterboro,2,2,D,1,1,D,S Mathieson,11,7,4,5,15,21,3,5,5,1,0,0,1.9,3.4,3.6,1.85,3.35,3.6,2.45,3.2,2.65,2,3,3.1,2.2,3.25,2.75,2.38,3.2,2.62,2.4,3.1,2.6,1.9,1.79,2.15,1.59,-0.5,1.82,2.02,-0.25,2.1,1.75,-0.5
E2,10/08/04,Brentford,Doncaster,4,3,H,1,2,A,R Olivier,13,11,7,6,14,17,9,1,2,4,1,0,2.3,3.25,2.8,2.2,3.2,2.9,2.25,3.2,2.9,2.3,3,2.6,2.25,3.2,2.75,2.2,3.2,2.88,2.25,3.2,2.75,1.85,1.85,2.25,1.52,-0.5,2.04,1.8,-0.25,2.05,1.8,-0.25
E2,10/08/04,Colchester,Stockport,3,2,H,3,0,H,C Penton,11,16,4,11,13,15,4,8,0,6,0,0,2,3.25,3.4,2,3.25,3.25,1.95,3.3,3.5,1.8,3.1,3.6,2,3.4,3,2,3.25,3.25,1.9,3.25,3.4,1.75,1.95,1.95,1.7,-0.5,1.92,1.92,-0.5,1.8,2.05,-0.25
E2,10/08/04,Huddersfield,Chesterfield,0,0,D,0,0,D,P Joslin,10,6,6,3,11,14,3,4,2,1,0,0,1.8,3.4,4,1.7,3.3,4.5,1.8,3.25,4.25,1.8,3.1,3.6,1.67,3.4,4.33,1.8,3.25,4,1.8,3.1,4,1.85,1.85,1.8,1.84,-0.5,1.78,2.06,-0.5,1.9,1.95,-0.5
E2,10/08/04,Oldham,Wrexham,2,3,A,0,2,A,P Prosser,11,9,6,4,14,7,5,6,3,0,0,0,2,3.25,3.4,2,3.25,3.25,2.1,3.2,3.2,2,3,3.1,2,3.2,3.2,2,3.25,3.25,2,3.2,3.2,1.79,1.9,2.1,1.6,-0.5,1.74,2.1,-0.25,2.075,1.775,-0.5
E2,10/08/04,Port Vale,Milton Keynes Dons,3,2,H,1,1,D,M Fletcher,17,18,10,10,11,13,5,9,1,2,0,0,2,3.4,3.25,1.95,3.2,3.5,2,3.3,3.4,1.9,3.1,3.3,1.83,3.4,3.5,1.91,3.25,3.5,2,3.2,3.2,1.85,1.85,2,1.67,-0.5,2.02,1.82,-0.5,2,1.85,-0.5
E2,10/08/04,Torquay,Hull,0,3,A,0,2,A,L Cable,18,10,11,5,15,13,13,4,2,0,1,1,2.6,3.2,2.5,2.75,3.25,2.25,2.65,3.2,2.45,2.6,3,2.3,2.5,3.25,2.4,2.75,3.25,2.25,2.62,3.1,2.37,2,1.71,1.45,2.45,0.5,1.94,1.9,0,1.925,1.925,0
E2,10/08/04,Tranmere,Hartlepool,2,1,H,1,1,D,M Atkinson,9,8,6,4,9,15,1,4,2,2,1,0,1.9,3.25,3.75,1.8,3.25,4,1.9,3.1,4,1.9,3.1,3.3,1.83,3.2,3.75,1.83,3.25,3.75,1.9,3.1,3.6,2,1.71,1.9,1.75,-0.5,1.88,1.96,-0.5,2.025,1.825,-0.5
E2,11/08/04,Swindon,Luton,2,3,A,1,2,A,A Leake,12,8,8,5,10,13,9,4,2,3,0,0,1.9,3.4,3.6,1.85,3.25,3.75,1.9,3.3,3.7,1.9,3.1,3.3,1.91,3.25,3.4,1.83,3.25,3.75,1.83,3.2,3.75,1.85,1.85,1.9,1.74,-0.5,1.92,1.92,-0.5,2.05,1.8,-0.5
E2,14/08/04,Barnsley,Luton,3,4,A,1,3,A,L Mason,14,14,10,8,16,15,7,8,2,2,0,0,1.83,3.25,4,2,3.25,3.25,1.87,3.25,3.8,1.9,3.1,3.3,1.8,3.25,3.75,1.83,3.25,3.75,1.83,3.2,3.75,1.71,2,1.87,1.75,-0.5,2,1.84,-0.5,2.05,1.8,-0.5
E2,14/08/04,Blackpool,Stockport,0,4,A,0,2,A,N Miller,13,14,9,11,12,7,10,6,1,1,0,0,2.1,3.25,3.2,2.1,3.3,3,2.15,3.25,3.05,2.1,3,2.9,2.2,3.25,2.75,2.1,3.25,3,2.2,3.2,2.8,1.65,2.05,2.15,1.57,-0.5,2,1.84,-0.25,1.85,2,-0.25
E2,14/08/04,Bournemouth,Bristol City,2,2,D,1,0,H,P Crossley,12,9,6,4,8,8,9,4,0,3,0,0,2.6,3.2,2.5,2.6,3.2,2.4,2.62,3.2,2.45,2.6,3,2.3,2.5,3.25,2.4,2.6,3.2,2.4,2.62,3.1,2.37,1.95,1.75,1.44,2.45,0.5,,,,1.925,1.925,0
E2,14/08/04,Bradford,Doncaster,2,0,H,2,0,H,M Ryan,10,14,8,8,6,5,5,8,2,3,0,1,2.37,3.25,2.7,2.25,3.25,2.75,2.4,3.25,2.65,2.3,3,2.6,2.25,3.2,2.75,2.3,3.2,2.7,2.37,3.1,2.62,1.71,2,2.4,1.46,-0.5,2.04,1.8,-0.25,1.775,2.075,0
E2,14/08/04,Brentford,Wrexham,1,0,H,0,0,D,T Kettle,7,4,3,1,16,15,7,3,0,0,0,0,2,3.25,3.4,2.2,3.1,3,2,3.2,3.5,2.1,3,2.9,2,3.4,3,2,3.25,3.25,1.9,3.2,3.5,1.65,2.05,2,1.67,-0.5,1.84,2,-0.25,1.825,2.025,-0.25
E2,14/08/04,Colchester,Peterboro,2,1,H,0,1,A,P Danson,10,8,4,6,8,16,8,1,0,2,0,0,1.9,3.4,3.6,1.95,3.2,3.5,1.87,3.3,3.8,1.9,3.1,3.3,1.91,3.4,3.25,1.91,3.25,3.5,1.8,3.3,3.75,1.65,2.05,1.87,1.77,-0.5,1.96,1.88,-0.5,2.05,1.8,-0.5
E2,14/08/04,Oldham,Walsall,5,3,H,2,2,D,C Webster,12,11,8,5,7,8,9,7,1,1,0,0,2.6,3.2,2.5,2.5,3.2,2.5,2.45,3.2,2.65,2.4,3.1,2.4,2.6,3.2,2.38,2.6,3.2,2.4,2.37,3.1,2.62,1.6,2.15,2.45,1.45,-0.5,1.86,1.98,0,1.9,1.95,0
E2,14/08/04,Port Vale,Hull,3,2,H,1,1,D,M Thorpe,17,15,8,8,10,11,3,5,0,1,0,0,2.5,3.3,2.5,2.4,3.2,2.6,2.52,3.25,2.52,2.4,3.1,2.4,2.5,3.2,2.5,2.6,3.2,2.4,2.5,3.25,2.4,1.79,1.9,2.52,1.42,-0.5,1.92,1.92,0,1.825,2.025,0
E2,14/08/04,Swindon,Milton Keynes Dons,2,1,H,1,1,D,T Parks,12,8,10,7,14,7,6,5,1,1,0,0,1.8,3.4,4,1.8,3.25,4,1.8,3.35,4,1.8,3.1,3.6,1.73,3.4,4,1.73,3.4,4.2,1.8,3.1,4,1.71,2,1.8,1.82,-0.5,1.84,2,-0.5,1.8,2.05,-0.5
E2,14/08/04,Torquay,Sheffield Weds,2,4,A,1,1,D,K Friend,9,16,6,9,11,15,5,6,3,1,0,0,2.7,3.2,2.4,2.4,3.2,2.6,2.65,3.2,2.45,2.4,3.1,2.4,2.6,3.2,2.38,2.62,3.2,2.38,2.62,3.2,2.3,1.71,2,1.45,2.45,0.5,,,,1.925,1.925,0
E2,14/08/04,Tranmere,Chesterfield,1,0,H,1,0,H,E Evans,14,12,8,8,12,19,5,6,2,4,0,0,1.61,3.4,5.5,1.6,3.5,5,1.62,3.5,5,1.65,3.2,4.2,1.67,3.4,4.33,1.57,3.4,5.5,1.57,3.5,5,1.85,1.85,1.62,2.06,-0.5,1.82,2.02,-0.75,2.075,1.775,-1
