Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
E0,14/08/04,Aston Villa,Southampton,2,0,H,2,0,H,U Rennie,14,6,5,2,14,9,12,6,0,0,0,0,1.9,3.1,4.33,1.9,3.25,4,2,3.25,3.5,1.85,3.1,3.6,1.73,3.2,4.33,1.91,3.25,3.75,1.8,3.1,4,1.91,1.79,2.05,1.75,1.7,2.05,-0.25,2.02,1.82,-0.5,2,1.9,-0.5
E0,14/08/04,Blackburn,West Brom,1,1,D,0,1,A,C Foy,12,4,4,2,15,17,4,5,1,0,0,0,1.8,3.1,5,1.8,3.25,4.5,1.77,3.3,4.75,1.8,3.1,3.8,1.67,3.25,4.5,1.73,3.4,4.33,1.9,2.87,4,1.85,1.85,2,1.8,1.77,1.95,-0.5,1.8,2.04,-0.5,1.85,2.05,-0.5
E0,14/08/04,Bolton,Charlton,4,1,H,2,0,H,P Dowd,21,9,11,5,10,12,9,5,1,1,0,0,2.25,3.2,3.1,2.1,3.2,3.3,2.25,3.2,3.1,2.2,3,2.9,2.2,3,3,2.25,3.2,2.88,2.15,3.2,2.9,1.86,1.85,2,1.8,2,1.85,-0.25,2.04,1.8,-0.25,2,1.9,-0.25
E0,14/08/04,Man City,Fulham,1,1,D,1,0,H,M Messias,12,4,5,2,14,12,9,4,0,2,0,0,2.1,3.25,3.4,2.1,3.2,3.3,2.1,3.25,3.25,2,3.1,3.2,2.1,3.2,3,2,3.25,3.4,2.05,3.1,3.2,1.85,1.85,1.9,1.9,1.85,2,-0.25,1.78,2.06,-0.25,1.85,2.05,-0.25
E0,14/08/04,Middlesbrough,Newcastle,2,2,D,0,1,A,S Bennett,15,11,8,4,16,13,6,7,3,1,0,0,2.3,3.25,3,2.4,3.2,2.7,2.35,3.15,2.95,2.3,3.1,2.6,2.25,3.2,2.75,2.3,3.25,2.8,2.37,3,2.7,1.9,1.79,2,1.8,,,,1.94,1.9,-0.25,1.8,2.1,0
E0,14/08/04,Norwich,Crystal Palace,1,1,D,1,0,H,P Walton,14,14,10,8,14,16,6,11,0,1,0,0,2.1,3.25,3.4,2.1,3.2,3.3,2.15,3.2,3.2,1.9,3.1,3.5,1.91,3.2,3.5,2.1,3.25,3.2,2,3.1,3.3,1.9,1.79,1.95,1.85,1.9,1.95,-0.25,1.8,2.04,-0.25,1.825,2.075,-0.25
E0,14/08/04,Portsmouth,Birmingham,1,1,D,1,1,D,H Webb,14,16,8,11,13,16,8,4,2,4,0,0,2.4,3.2,2.87,2.25,3.2,3,2.45,3.2,2.8,2.3,3,2.7,2.38,3.2,2.6,2.3,3.2,2.8,2.3,3.2,2.62,1.95,1.75,2,1.8,1.85,2,0,2.08,1.76,-0.25,1.8,2.1,0
E0,14/08/04,Tottenham,Liverpool,1,1,D,0,1,A,D Gallagher,14,16,7,8,17,11,3,8,3,1,0,0,3.1,3.2,2.25,3,3.2,2.25,2.75,3.2,2.4,2.7,3,2.3,2.75,3.2,2.25,3,3.2,2.2,2.75,3.1,2.3,1.85,1.85,1.9,1.9,1.95,1.9,0.25,2.04,1.8,0.25,1.975,1.925,0.25
E0,15/08/04,Chelsea,Man United,1,0,H,1,0,H,G Poll,8,11,5,3,17,8,2,3,0,0,0,0,2.1,3.25,3.4,2.15,3.1,3.2,2.1,3.25,3.35,2,3.1,3.2,2.1,3.2,3,2.1,3.25,3.2,2,3.2,3.2,1.9,1.79,1.95,1.85,1.6,2.2,0,2,1.84,-0.5,1.85,2.05,-0.25
E0,15/08/04,Everton,Arsenal,1,4,A,0,2,A,M Riley,9,18,5,14,14,19,0,7,2,1,0,0,6,3.4,1.61,5,3.4,1.7,4.75,3.3,1.77,4,3.2,1.75,5,3.25,1.62,5,3.3,1.67,5.5,3.1,1.61,1.75,1.95,1.9,1.9,1.95,1.9,0.75,1.96,1.88,0.75,2.05,1.85,0.75
E0,21/08/04,Birmingham,Chelsea,0,1,A,0,0,D,B Knight,9,7,3,3,10,16,8,2,0,0,0,0,4.5,3.2,1.83,4.25,3.4,1.75,4.5,3.25,1.83,3.8,3.1,1.8,4.33,3.2,1.73,4.5,3.4,1.73,4.33,2.87,1.83,1.9,1.79,1.95,1.85,1.9,1.95,0.75,1.88,1.96,0.75,1.9,2,0.75
E0,21/08/04,Charlton,Portsmouth,2,1,H,1,0,H,A Wiley,18,10,14,6,9,11,5,6,0,1,0,0,2,3.2,3.75,1.9,3.25,3.75,2.05,3.3,3.5,1.9,3.1,3.5,1.8,3.25,3.75,2,3.2,3.5,1.83,3.2,3.75,1.85,1.85,1.9,1.9,1.7,2.05,-0.25,2.04,1.8,-0.5,2.075,1.825,-0.5
E0,21/08/04,Crystal Palace,Everton,1,3,A,1,1,D,M Clattenburg,15,14,9,7,6,18,6,6,1,1,0,1,2.3,3.25,3,2.25,3.1,3,2.35,3.2,2.95,2.1,3,3.1,2.2,3.2,2.8,2.3,3.2,2.88,2.2,3.2,2.8,1.85,1.85,1.95,1.85,2,1.75,-0.25,1.8,2.04,0,1.8,2.1,0
E0,21/08/04,Fulham,Bolton,2,0,H,1,0,H,R Styles,23,10,12,4,11,13,8,4,0,0,0,0,2.25,3.2,3.1,2.2,3.2,3,2.25,3.2,3.1,2,3.1,3.2,2.1,3.2,3,2.2,3.2,3,2.15,3.2,2.9,1.85,1.85,1.9,1.9,1.65,2.15,0,1.96,1.88,-0.25,1.95,1.95,-0.25
E0,21/08/04,Liverpool,Man City,2,1,H,0,1,A,G Poll,15,7,10,4,9,17,8,3,1,3,0,1,1.57,3.5,6.5,1.6,3.5,5.25,1.61,3.5,5.75,1.5,3.7,5,1.57,3.25,5.5,1.53,3.6,6,1.57,3.3,5.5,1.79,1.9,1.85,1.95,2.2,1.6,-1.25,2,1.84,-1,2.075,1.825,-1
E0,21/08/04,Man United,Norwich,2,1,H,1,0,H,N Barry,17,7,7,2,8,23,11,5,0,1,0,0,1.25,5,13,1.25,5,10,1.31,4.75,9.5,1.3,4.2,8,1.22,5,10,1.25,5,10,1.28,4.5,8,1.71,2,1.75,2.05,1.65,2.15,-1.25,2.02,1.82,-1.5,2.1,1.8,-1.5
E0,21/08/04,Newcastle,Tottenham,0,1,A,0,0,D,M Dean,13,15,6,8,10,12,13,3,1,2,0,0,1.66,3.4,5.5,1.7,3.45,4.45,1.73,3.3,5,1.65,3.3,4.4,1.62,3.25,5,1.62,3.4,5.5,1.66,3.1,5,1.79,1.9,1.85,1.95,2.15,1.65,-1,1.92,1.92,-0.75,2,1.9,-0.75
E0,21/08/04,Southampton,Blackburn,3,2,H,1,0,H,A D'Urso,13,10,7,6,12,18,3,6,0,3,0,0,2.3,3.25,3,2.2,3.2,3,2.3,3.2,3,2.1,3,3.1,2.1,3.2,3,2.25,3.25,2.88,2.15,3.1,3,1.95,1.75,2.05,1.75,1.65,2.15,0,2,1.84,-0.25,2.05,1.85,-0.25
E0,22/08/04,Arsenal,Middlesbrough,5,3,H,1,1,D,S Dunn,16,9,11,5,8,14,7,5,1,1,0,0,1.36,4.33,9,1.35,4,9,1.36,4.25,9,1.4,3.9,6,1.25,4.5,10,1.33,4.33,8.5,1.33,4,8,1.65,2.05,1.7,2.1,1.71,2.05,-1.25,2.08,1.76,-1.5,2.125,1.775,-1.5
E0,22/08/04,West Brom,Aston Villa,1,1,D,1,1,D,M Halsey,14,9,5,4,12,20,12,4,2,2,0,0,2.87,3.2,2.4,2.65,3.1,2.5,2.8,3.2,2.45,2.7,3,2.3,2.88,3,2.25,2.8,3.1,2.38,2.62,2.9,2.5,1.95,1.75,2.05,1.75,1.75,2.12,0.25,1.72,2.12,0.25,1.775,2.125,0.25
