Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA
D2,11/08/00,Hannover,Nurnberg,1,1,D,0,0,D,20329,Bernd Heynemann ,,,,,,,,,,,,,1,1,0,0,10,10,2.4,3,2.6,2.3,2.9,2.5,2.5,3,2.5
D2,11/08/00,Stuttgarter K,Oberhausen,1,0,H,1,0,H,5400,,,,,,,,,,,,,,2,1,0,0,20,10,1.8,3.1,3.8,2,2.9,3,2.1,3.1,3
D2,12/08/00,Ahlen,St Pauli,3,6,A,2,2,D,8000,Günter Perl ,,,,,,,,,,,,,2,0,0,0,20,0,,,,1.9,2.9,3.2,1.9,3.2,3.3
D2,12/08/00,M'gladbach,Saarbrucken,0,0,D,0,0,D,28000,Peter Gagelmann ,,,,,,,,,,,,,0,0,0,0,0,0,1.4,3.7,6.5,1.45,3.5,5,1.57,3.3,5
D2,13/08/00,Bielefeld,Osnabruck,3,1,H,1,1,D,21258,Jürgen Aust ,,,,,,,,,,,,,0,3,0,0,0,30,1.55,3.7,4.5,1.55,3.3,4.5,1.44,3.6,6
D2,13/08/00,Greuther Furth,Chemnitz,4,1,H,1,0,H,6000,Alfons Berg ,,,,,,,,,,,,,1,1,0,0,10,10,2,2.9,3.1,1.75,2.9,3.8,1.72,3.1,4.2
D2,13/08/00,Mannheim,Aachen,3,0,H,1,0,H,7400,Jürgen Jansen ,,,,,,,,,,,,,1,0,0,0,10,0,1.85,3.1,3.6,,,,2,3.1,3.2
D2,13/08/00,Reutlingen,Mainz,3,2,H,1,1,D,8000,Uwe Kemmling ,,,,,,,,,,,,,2,4,0,0,20,40,2.3,3.2,2.55,1.9,2.9,3.2,2.2,3,2.9
D2,14/08/00,Duisburg,Ulm,1,2,A,0,1,A,8550,Franz-Xaver Wack ,11,5,6,2,0,0,10,3,22,26,0,1,3,1,0,1,30,35,2,3,3.4,2,2.9,3,2,3.1,3.2
D2,18/08/00,Chemnitz,Hannover,0,2,A,0,0,D,7020,Jörg Kessler ,,,,,,,,,,,,,0,0,0,0,0,0,2.05,3.05,3,2.1,2.9,2.9,2.25,2.8,3
D2,18/08/00,St Pauli,Mannheim,5,0,H,4,0,H,17390,Helmut Fleischer,,,,,,,,,,,,,2,1,0,1,20,35,2,2.95,3.05,,,,2.2,2.85,3
