Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D1,28/07/01,Cottbus,Hamburg,1,0,H,0,0,D,17781,Franz-Xaver Wack ,11,6,2,1,0,0,6,3,24,23,0,1,2,2,0,0,20,20,2.35,3.15,2.65,2.4,2.9,2.4,2.4,3.25,2.5,2.4,3.1,2.6,2.5,3,2.6,2.37,3.25,2.5
D1,28/07/01,Dortmund,Nurnberg,2,0,H,1,0,H,68000,Michael Weiner ,16,4,10,1,0,0,5,4,15,17,10,1,2,2,0,0,20,20,1.33,4.1,7.4,1.4,3.6,5.5,1.33,4.33,7,1.33,4.2,7.5,,,,1.36,3.75,8
D1,28/07/01,Freiburg,Werder Bremen,3,0,H,0,0,D,25000,Hartmut Strampe ,11,13,5,3,0,0,9,5,11,12,2,2,1,4,0,1,10,65,2.2,3.1,2.85,2.1,2.9,2.9,2.2,3.25,2.75,2.1,3.2,3,2.25,3,3,2.1,3.2,3
D1,28/07/01,Leverkusen,Wolfsburg,2,1,H,1,0,H,22500,Hermann Albrecht ,13,4,7,2,1,0,11,0,6,15,3,1,2,1,0,0,20,10,1.47,3.8,5.8,1.55,3.3,4.5,1.5,3.4,6,1.5,3.4,6,1.57,3.6,5,1.5,3.6,5.5
D1,28/07/01,M'gladbach,Bayern Munich,1,0,H,1,0,H,34500,Edgar Steinborn ,15,10,4,3,0,0,5,7,19,25,5,1,0,4,0,0,0,40,3.55,3.3,1.9,3,2.9,2,3.5,3.2,1.91,3.4,3.3,1.91,3.5,3.25,1.91,3.7,3.3,1.8
D1,28/07/01,Munich 1860,Kaiserslautern,0,4,A,0,0,D,24000,Hellmut Krug ,8,7,2,5,1,0,7,4,17,20,1,0,2,3,0,0,20,30,2.2,3.2,2.85,2.1,2.9,2.9,2,3.4,3,2.1,3.2,3,2.25,3,3,2,3.3,3.1
D1,28/07/01,Stuttgart,FC Koln,0,0,D,0,0,D,30000,Markus Merk ,16,9,6,2,2,1,4,0,19,22,1,3,1,1,0,0,10,10,1.95,3.2,3.5,1.9,2.9,3.2,1.91,3.25,3.4,2,3,3.4,1.91,3.25,3.5,2.1,3.2,3
D1,29/07/01,St Pauli,Hertha,0,0,D,0,0,D,20515,Jürgen Aust ,9,12,4,4,0,1,1,1,20,24,2,3,1,2,0,0,10,20,3.7,3.2,1.85,3.5,3,1.8,3.5,3.5,1.8,3.6,3.3,1.8,3.25,3.5,1.91,3.75,3.25,1.8
D1,04/08/01,Bayern Munich,Schalke 04,3,0,H,3,0,H,63000,Herbert Fandel ,15,6,9,3,1,0,4,6,13,17,3,1,2,4,0,0,20,40,,,,1.7,3.1,3.8,1.5,3.4,6,1.57,3.5,5,1.67,3.4,4.5,1.61,3.5,4.5
D1,04/08/01,FC Koln,Munich 1860,2,0,H,0,0,D,32000,Alfons Berg ,12,4,7,2,1,1,5,3,10,8,1,1,1,1,0,0,10,10,,,,1.9,2.9,3.2,1.8,3.25,3.75,1.67,3.3,4.5,1.8,3.4,3.75,1.66,3.4,4.33
