Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
P1,22/08/08,Guimaraes,Setubal,1,1,D,1,0,H,2.1,3.25,3.6,1.85,3.3,3.75,2,3.2,3.5,2,3.1,3.2,1.91,3.2,3.5,1.85,3.25,3.9,1.91,3.1,3.6,1.91,3.2,3.75,1.9,3.1,3.75,1.91,3.1,3.75,3,2.29,2.1,3.15,3.13,3.66,3.6,2,2.25,2.25,1.57,1.57,2,-0.25,1.95,1.93,1.97,1.97
P1,23/08/08,Pacos Ferreira,Sp Braga,0,2,A,0,0,D,3.2,3.1,2.2,3.55,3.25,1.95,3.2,3.1,2.15,2.7,3,2.3,2.88,3,2.25,3,3,2.3,3.1,3,2.15,3.2,3,2.25,3.1,3,2.2,2.88,3,2.3,35,3.55,3.14,3.25,3.06,2.3,2.2,28,2.38,2.26,1.65,1.58,14,0.25,2.04,1.98,1.94,1.89
P1,23/08/08,Sp Lisbon,Trofense,3,1,H,3,0,H,1.25,5.5,15,1.2,5.5,12,1.22,5,12,1.2,5,10,1.2,5,11,1.25,5,10,1.2,5,11,1.25,5,11,1.2,5.5,11,1.2,5,12,33,1.25,1.21,5.7,5.26,15,11.82,26,1.91,1.76,2.12,1.99,14,-1.5,1.91,1.84,2.05,2.01
P1,24/08/08,Est Amadora,Academica,1,0,H,0,0,D,2.15,3.2,3.2,2.2,2.9,3.3,2.2,3.1,3.1,2.1,3,3.1,2.1,3,3.2,2.2,3,3.2,2.15,3,3.1,2.1,3,3.5,2.1,3.1,3.2,2.1,3,3.25,33,2.25,2.17,3.25,3.04,3.5,3.21,25,2.38,2.28,1.66,1.57,14,-0.25,2,1.95,1.97,1.93
P1,24/08/08,Leixoes,Nacional,1,3,A,1,1,D,2.4,3,3,2.35,2.9,3,2.45,3,2.75,2.4,3,2.6,2.38,2.9,2.75,2.5,3,2.7,2.3,3,2.8,2.4,3,2.88,2.4,3.1,2.65,2.38,2.88,2.88,34,2.5,2.38,3.2,3,3.15,2.88,25,2.6,2.38,1.6,1.53,13,0,1.82,1.78,2.13,2.07
P1,24/08/08,Naval,Maritimo,1,0,H,1,0,H,2.45,3.1,2.8,2.4,2.9,2.95,2.4,3,2.9,2.5,3,2.5,2.38,3,2.7,2.6,3,2.6,2.4,2.9,2.75,2.5,3.2,2.6,2.4,3.1,2.65,2.5,2.88,2.75,34,2.6,2.43,3.2,3.02,3,2.78,25,2.5,2.35,1.6,1.54,13,0,1.86,1.83,2.08,2.01
P1,24/08/08,Porto,Belenenses,2,0,H,1,0,H,1.29,4.5,15,1.25,4.6,12,1.3,4.5,9,1.25,4.5,9,1.29,4.5,8,1.3,4.5,9,1.29,4.2,9,1.3,4.5,10,1.33,4,8.5,1.33,4,9,33,1.33,1.29,5,4.51,15,9.69,25,1.95,1.84,2.02,1.91,12,-1.5,1.95,1.92,2.03,1.96
P1,24/08/08,Rio Ave,Benfica,1,1,D,0,0,D,6,3.5,1.62,5.75,3.8,1.5,5.5,3.4,1.6,4.6,3.4,1.6,5.5,3.4,1.53,5,3.4,1.65,5,3.5,1.57,5,3.5,1.65,4.5,3.4,1.65,5,3.4,1.62,34,6,5.25,3.8,3.47,1.7,1.61,25,2.23,2.1,1.8,1.68,12,0.75,2.11,2.02,1.9,1.86
P1,29/08/08,Belenenses,Pacos Ferreira,2,2,D,1,0,H,1.73,3.5,5,1.7,3.2,5,1.75,3.25,4.5,1.7,3.2,4.2,1.67,3.25,4.5,1.75,3.25,4.5,1.75,3.2,4.2,1.8,3.2,4.33,1.75,3.3,4.35,1.73,3.25,4.33,34,1.75,1.68,3.7,3.38,5.98,4.8,25,2.41,2.28,1.63,1.57,14,-0.75,2,1.95,1.98,1.94
P1,30/08/08,Benfica,Porto,1,1,D,0,1,A,2.5,3.2,2.8,2.4,3.1,2.75,2.4,3.1,2.75,2.5,3.1,2.6,2.5,3.1,2.5,2.5,3,2.7,2.38,3,2.7,2.5,2.88,2.88,2.5,3.1,2.65,2.4,3,2.8,33,2.55,2.44,3.2,3.08,3.11,2.76,23,2.5,2.29,1.65,1.56,10,0,1.83,1.78,2.17,2.07
