Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
P1,18/08/00,Beira Mar,Boavista,2,4,A,0,1,A,2.65,3.15,2.2,2.7,2.9,2.2,2.8,3.1,2.2,2.75,3.1,2.2
P1,19/08/00,Porto,Benfica,2,0,H,2,0,H,1.66,3.6,4.1,1.8,3,3.5,1.83,3.2,3.75,1.8,3.1,4
P1,19/08/00,Sp Braga,Guimaraes,1,0,H,0,0,D,2.15,3.4,2.7,2,2.9,3,2.25,3,2.8,2.3,3,2.7
P1,20/08/00,Alverca,Maritimo,0,0,D,0,0,D,2,3,3.4,2,2.9,3,2.2,3.1,2.8,2.15,3.1,2.85
P1,20/08/00,Aves,Belenenses,0,1,A,0,1,A,2,3.15,3.2,2.1,2.9,2.9,2.25,3,2.8,2.5,2.9,2.55
P1,20/08/00,Gil Vicente,Campomaiorense,1,1,D,0,1,A,1.4,3.65,5.6,1.45,3.5,5,1.6,3.4,4.6,1.65,3.25,4.5
P1,20/08/00,Salgueiros,Pacos Ferreira,1,0,H,1,0,H,1.9,3.2,3.3,1.7,3.1,3.8,1.73,3.2,4,1.7,3.2,4.2
P1,20/08/00,Sp Lisbon,Farense,1,0,H,0,0,D,1.25,4.65,9.5,1.15,5.5,11,1.22,4.8,9,1.2,4.8,10
P1,20/08/00,Leiria,Est Amadora,2,0,H,1,0,H,2.05,3.15,2.85,2,2.9,3,2.1,3.1,3,2,3.1,3.15
P1,25/08/00,Est Amadora,Sp Braga,0,1,A,0,0,D,1.9,3.05,3.6,1.8,3,3.5,1.91,3.1,3.6,1.95,3,3.4
P1,26/08/00,Campomaiorense,Salgueiros,2,3,A,0,3,A,2.05,3.15,2.9,1.7,3.1,3.8,1.91,3.1,3.6,1.95,3,3.4
P1,26/08/00,Guimaraes,Sp Lisbon,1,4,A,0,3,A,3.55,3.15,1.8,3,2.9,2,3.1,3.1,2.1,2.85,2.9,2.25
P1,27/08/00,Belenenses,Porto,2,0,H,1,0,H,4.4,3.05,1.66,3.8,3.1,1.7,4,3.25,1.75,3.65,3.1,1.85
P1,27/08/00,Pacos Ferreira,Aves,2,0,H,1,0,H,1.8,3.15,3.55,1.7,3.1,3.8,1.83,3.2,3.75,1.8,3.15,3.75
P1,27/08/00,Benfica,Beira Mar,4,1,H,2,0,H,1.2,4.3,10,1.2,4.7,9,1.17,5.5,11,1.15,5.5,12
P1,27/08/00,Farense,Alverca,2,0,H,0,0,D,2,3.15,3.2,1.9,2.9,3.2,2,3.1,3.3,1.9,3.1,3.5
P1,28/08/00,Boavista,Leiria,4,0,H,0,0,D,1.45,3.75,5.9,1.35,3.8,6.2,1.4,3.75,7,1.45,3.55,6
