Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
P1,22/08/02,Setubal,Boavista,1,1,D,1,1,D,3.75,3.2,1.83,3.8,3.29,1.85,3.5,3.1,1.9,3.75,3.25,1.85,3.5,3.25,1.85,,
P1,23/08/02,Academica,Sp Lisbon,0,2,A,0,1,A,4.5,3.5,1.615,4.6,3.5,1.68,4,3.2,1.75,4.5,3.5,1.615,4,3.4,1.7,1.7,1.9
P1,24/08/02,Benfica,Maritimo,3,0,H,2,0,H,1.4,3.75,7,1.44,3.85,6.85,1.4,3.7,6.5,1.4,3.75,7,1.4,3.75,6.5,1.65,1.95
P1,24/08/02,Leiria,Guimaraes,1,2,A,0,1,A,1.833,3.2,3.75,1.86,3.3,3.75,1.75,3.2,4,1.8,3.25,3.8,1.7,3.4,4,1.75,1.85
P1,24/08/02,Santa Clara,Sp Braga,0,0,D,0,0,D,2.1,3.2,3,2.15,3.1,3.1,2.2,2.9,3,2.2,3.1,2.875,1.95,3.1,3.3,1.95,1.65
P1,25/08/02,Moreirense,Beira Mar,1,2,A,0,0,D,2.1,3.2,3,2.16,3.15,3.15,2.1,3,3.1,2.1,3.2,3,2.1,3.2,2.9,1.9,1.7
P1,25/08/02,Nacional,Gil Vicente,0,1,A,0,0,D,2,3.2,3,2.06,3.25,3.25,2.1,3,3.1,2.05,3.25,3,2,3.1,3.2,1.85,1.75
P1,25/08/02,Pacos Ferreira,Varzim,3,1,H,2,0,H,1.7,3.2,4.5,1.7,3.35,4.5,1.65,3.2,4.6,1.7,3.3,4.333,1.55,3.5,5,1.7,1.9
P1,25/08/02,Porto,Belenenses,2,2,D,0,1,A,1.4,3.75,7,1.42,4,7,1.4,3.7,6.5,1.4,3.75,7,1.35,4,7,1.7,1.95
P1,30/08/02,Sp Braga,Pacos Ferreira,1,0,H,1,0,H,2,3.2,3.2,1.94,3.3,3.85,1.9,3.1,3.5,1.909,3.2,3.5,1.8,3.2,3.75,1.9,1.7
P1,31/08/02,Beira Mar,Benfica,0,2,A,0,1,A,3.2,3.2,2,3.7,3.3,1.9,3.1,3,2.1,3.4,3.25,1.909,3.4,3.2,1.9,1.65,1.97
P1,31/08/02,Belenenses,Academica,2,0,H,1,0,H,1.444,3.75,6,1.41,3.95,7.35,1.45,3.8,5.4,1.444,3.75,6,1.45,3.75,5.5,1.7,1.9
P1,31/08/02,Guimaraes,Nacional,3,2,H,1,1,D,1.5,3.4,6,1.48,3.7,6,1.45,3.8,5.4,1.5,3.4,6,1.5,3.7,5,1.75,1.85
P1,01/09/02,Gil Vicente,Setubal,0,1,A,0,0,D,1.833,3,2.875,1.85,3.3,3.9,1.9,3.1,3.5,1.833,3.3,3.6,1.8,3.2,3.75,1.9,1.7
P1,01/09/02,Maritimo,Leiria,2,0,H,1,0,H,1.833,3.2,3.75,1.75,3.25,4.35,1.8,3.1,3.8,1.8,3.25,3.8,1.65,3.5,4.1,1.7,1.9
P1,01/09/02,Sp Lisbon,Santa Clara,2,1,H,1,0,H,1.167,5.5,11,1.18,6,12,1.2,5,10,1.167,5.5,11,1.25,4.5,9,1.45,2.35
P1,01/09/02,Varzim,Moreirense,1,0,H,0,0,D,1.909,3.25,3.4,1.85,3.33,3.8,1.85,3.1,3.6,1.85,3.25,3.6,1.75,3.4,3.75,1.75,1.85
P1,02/09/02,Boavista,Porto,0,1,A,0,1,A,2.25,3.2,2.75,2.4,3.2,2.9,2.3,3,2.7,2.3,3.1,2.7,2.37,3.1,2.62,1.9,1.7
P1,13/09/02,Academica,Boavista,0,1,A,0,1,A,4,3.4,1.727,4.6,3.4,1.74,4.2,3.2,1.7,4.2,3.4,1.7,3.8,3.3,1.75,1.8,1.8
P1,14/09/02,Leiria,Beira Mar,1,0,H,0,0,D,1.727,3.4,4,1.82,3.4,4,1.9,3.1,3.5,1.75,3.25,4,1.75,3.3,3.8,1.85,1.75
P1,14/09/02,Moreirense,Benfica,2,3,A,2,1,H,4.5,3.25,1.667,5,3.55,1.64,4.6,3.4,1.6,4.5,3.5,1.615,4.25,3.4,1.65,1.7,1.9
P1,14/09/02,Pacos Ferreira,Sp Lisbon,4,0,H,2,0,H,3.75,3.2,1.833,4.25,3.3,1.8,4,3.2,1.75,3.8,3.25,1.8,3.35,3.2,1.9,1.7,1.9
P1,15/09/02,Nacional,Maritimo,0,0,D,0,0,D,2.5,3.25,2.375,2.85,3.2,2.3,2.9,3,2.2,2.625,3.2,2.3,2.9,2.9,2.25,1.85,1.75
P1,15/09/02,Porto,Gil Vicente,3,1,H,1,1,D,1.2,5,11,1.25,5.5,12,1.2,5,10,1.2,5,11,1.25,4.5,8.5,1.6,2.05
