day,date,home_team,result,away_team
Saturday,April 7,MIA,2-1,Colorado
Saturday,April 14,New England,0-1,MIA
Wednesday,April 18,Sporting KC,2-1,MIA
Saturday,April 21,MIA,2-1,San Jose
Saturday,April 28,MIA,1-0,New England
Saturday,May 5,Columbus,0-0,MIA
Saturday,May 19,MIA,3-1,Tampa Bay Mutiny
Wednesday,May 23,Colorado,0-1,MIA
Saturday,May 26,Tampa Bay Mutiny,0-4,MIA
Wednesday,May 30,MIA,2-1,D.C. United
Saturday,June 2,FC Dallas,2-6,MIA
Saturday,June 9,MIA,5-1,Sporting KC
Saturday,June 16,MIA,3-3,LA Galaxy
Saturday,June 30,MIA,4-3,Columbus
Wednesday,July 4,San Jose,1-1,MIA
Saturday,July 7,MIA,0-3,NY Red Bulls
Saturday,July 14,LA Galaxy,3-0,MIA
Wednesday,July 18,MIA,2-1,Chicago
Saturday,July 21,MIA,1-1,New England
Wednesday,August 1,D.C. United,2-2,MIA
Saturday,August 4,NY Red Bulls,2-1,MIA
Saturday,August 11,New England,1-4,MIA
Wednesday,August 15,Chicago,1-2,MIA
Saturday,August 18,MIA,4-2,FC Dallas
Saturday,August 25,MIA,2-3,NY Red Bulls
Saturday,September 8,MIA,3-1,D.C. United
