Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Nick Rimando,RSL,GK,33,33,2970,36,1.09,5/7,14,11,8,13,42.4
Kevin Hartman,DAL,GK,33,33,2970,35,1.06,3/3,15,11,7,13,45.5
Troy Perkins,POR,GK,29,29,2610,38,1.31,5/5,9,12,8,9,31.0
Dan Kennedy,CHV,GK,32,32,2880,39,1.22,2/4,8,12,12,9,25.0
Kasey Keller,SEA,GK,34,34,3060,37,1.09,3/4,18,7,9,9,52.9
Josh Saunders,LA,GK,19,18,1639,17,0.94,2/2,12,2,4,8,63.2
William Hesmer,CLB,GK,32,32,2880,44,1.38,3/4,11,13,8,8,34.4
Matt Pickens,COL,GK,34,34,3060,41,1.21,2/2,12,9,13,8,35.3
Donovan Ricketts,LA,GK,15,15,1284,11,0.73,1/1,7,3,4,7,46.7
Faryd Mondragón,PHI,GK,27,27,2385,28,1.04,2/2,8,8,11,7,29.6
Sean Johnson,NYC,GK,28,28,2520,37,1.32,2/4,9,7,12,7,32.1
Bill Hamid,DC,GK,28,28,2392,37,1.32,4/4,7,9,10,7,25.0
Jimmy Nielsen,KC,GK,31,31,2767,35,1.13,1/2,12,8,11,7,38.7
Jon Busch,SJ,GK,33,33,2970,44,1.33,4/4,7,12,14,7,21.2
Stefan Frei,SEA,GK,27,27,2406,49,1.81,4/4,3,12,11,6,11.1
Tally Hall,DC,GK,34,34,3060,41,1.21,5/5,12,9,13,6,35.3
Frank Rost,NY,GK,11,11,945,14,1.27,0/0,4,4,3,5,36.4
Matt Reis,NE,GK,27,27,2430,43,1.59,6/7,5,12,10,5,18.5
Zac MacMath,COL,GK,8,7,675,8,1.14,1/1,3,0,4,3,37.5
Bouna Coundoul,NY,GK,12,11,1035,13,1.18,1/1,3,2,6,3,25.0
Joe Cannon,VAN,GK,20,20,1800,32,1.6,3/3,4,12,4,3,20.0
Andy Gruenebaum,CLB,GK,2,2,180,0,0.0,0/0,2,0,0,2,100.0
Greg Sutton,NY,GK,10,10,900,15,1.5,2/5,3,2,5,2,30.0
Jay Nolly,VAN,GK,14,14,1260,23,1.64,3/4,2,6,6,2,14.3
Kyle Reynish,RSL,GK,1,1,90,0,0.0,0/0,1,0,0,1,100.0
Alex Horwath,RSL,GK,1,1,90,0,0.0,0/0,0,0,1,1,0.0
Brian Perk,LA,GK,1,1,90,0,0.0,0/1,0,0,1,1,0.0
Joe Willis,HOU,GK,3,3,270,4,1.33,0/0,1,2,0,1,33.3
Eric Kronberg,KC,GK,4,3,292,5,1.67,1/1,1,1,1,1,25.0
Jon Conway,CHI,GK,6,6,540,8,1.33,0/0,0,2,4,1,0.0
Milos Kocic,TOR,GK,8,7,654,10,1.43,0/0,3,1,4,1,37.5
Andrew Weber,SJ,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Terry Boss,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Steward Ceus,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Sergio Arias,CHV,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Ian Joyce,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Josh Lambo,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Josh Ford,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Chase Harrison,PHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Evan Newton,HOU,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Richard Sanchez,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Tyler Deric,HOU,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Tim Murray,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Tim Melia,SKC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Alec Dufty,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jon Kempin,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Alex Riggs,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Brian Sylvestre,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Thorne Holder,PHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
David Bingham,LA,GK,1,1,90,1,1.0,0/0,1,0,0,0,100.0
Chris Konopka,NY,GK,1,1,90,2,2.0,0/0,0,0,1,0,0.0
Chris Seitz,HOU,GK,1,1,90,4,4.0,1/1,0,1,0,0,0.0
Steve Cronin,DC,GK,2,0,126,4,4.0,0/0,0,0,2,0,0.0
Zach Thornton,CHV,GK,2,2,180,4,2.0,0/0,0,2,0,0,0.0
Adin Brown,POR,GK,2,2,135,4,2.0,0/0,0,2,0,0,0.0
Pat Onstad,DC,GK,3,3,270,7,2.33,2/2,1,2,0,0,33.3
Jake Gleeson,POR,GK,4,3,315,6,2.0,0/0,2,0,1,0,50.0
Bobby Shuttleworth,MIN,GK,7,7,630,15,2.14,1/1,0,4,3,0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
