Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Kasey Keller,SEA,GK,34,34,3060,145,110,37,1.09,3/4,18,7,9,9,52.9,75.9
Matt Pickens,COL,GK,34,34,3060,116,76,41,1.21,2/2,12,9,13,8,35.3,65.5
Tally Hall,DC,GK,34,34,3060,143,99,41,1.21,5/5,12,9,13,6,35.3,69.2
Kevin Hartman,DAL,GK,33,33,2970,124,85,35,1.06,3/3,15,11,7,13,45.5,68.5
Nick Rimando,RSL,GK,33,33,2970,134,95,36,1.09,5/7,14,11,8,13,42.4,70.9
Jon Busch,SJ,GK,33,33,2970,160,113,44,1.33,4/4,7,12,14,7,21.2,70.6
William Hesmer,CLB,GK,32,32,2880,135,92,44,1.38,3/4,11,13,8,8,34.4,68.1
Dan Kennedy,CHV,GK,32,32,2880,142,100,39,1.22,2/4,8,12,12,9,25.0,70.4
Jimmy Nielsen,KC,GK,31,31,2767,114,79,35,1.13,1/2,12,8,11,7,38.7,69.3
Troy Perkins,POR,GK,29,29,2610,132,91,38,1.31,5/5,9,12,8,9,31.0,68.9
Bill Hamid,DC,GK,28,28,2392,114,77,37,1.32,4/4,7,9,10,7,25.0,67.5
Sean Johnson,NYC,GK,28,28,2520,115,76,37,1.32,2/4,9,7,12,7,32.1,66.1
Faryd Mondragón,PHI,GK,27,27,2385,79,49,28,1.04,2/2,8,8,11,7,29.6,62.0
Stefan Frei,SEA,GK,27,27,2406,155,106,49,1.81,4/4,3,12,11,6,11.1,68.4
Matt Reis,NE,GK,27,27,2430,159,111,43,1.59,6/7,5,12,10,5,18.5,69.8
Joe Cannon,VAN,GK,20,20,1800,99,66,32,1.6,3/3,4,12,4,3,20.0,66.7
Josh Saunders,LA,GK,19,18,1639,73,55,17,0.94,2/2,12,2,4,8,63.2,75.3
Donovan Ricketts,LA,GK,15,15,1284,54,41,11,0.73,1/1,7,3,4,7,46.7,75.9
Jay Nolly,VAN,GK,14,14,1260,63,39,23,1.64,3/4,2,6,6,2,14.3,61.9
Bouna Coundoul,NY,GK,12,11,1035,51,37,13,1.18,1/1,3,2,6,3,25.0,72.5
Frank Rost,NY,GK,11,11,945,40,26,14,1.27,0/0,4,4,3,5,36.4,65.0
Greg Sutton,NY,GK,10,10,900,44,30,15,1.5,2/5,3,2,5,2,30.0,68.2
Milos Kocic,TOR,GK,8,7,654,47,35,10,1.43,0/0,3,1,4,1,37.5,74.5
Zac MacMath,COL,GK,8,7,675,25,16,8,1.14,1/1,3,0,4,3,37.5,64.0
Bobby Shuttleworth,MIN,GK,7,7,630,32,17,15,2.14,1/1,0,4,3,0,0.0,53.1
Jon Conway,CHI,GK,6,6,540,24,15,8,1.33,0/0,0,2,4,1,0.0,62.5
Eric Kronberg,KC,GK,4,3,292,15,10,5,1.67,1/1,1,1,1,1,25.0,66.7
Jake Gleeson,POR,GK,4,3,315,17,12,6,2.0,0/0,2,0,1,0,50.0,70.6
Joe Willis,HOU,GK,3,3,270,16,12,4,1.33,0/0,1,2,0,1,33.3,75.0
Pat Onstad,DC,GK,3,3,270,16,8,7,2.33,2/2,1,2,0,0,33.3,50.0
Steve Cronin,DC,GK,2,0,126,10,6,4,4.0,0/0,0,0,2,0,0.0,60.0
Adin Brown,POR,GK,2,2,135,9,5,4,2.0,0/0,0,2,0,0,0.0,55.6
Zach Thornton,CHV,GK,2,2,180,7,3,4,2.0,0/0,0,2,0,0,0.0,42.9
Andy Gruenebaum,CLB,GK,2,2,180,5,5,0,0.0,0/0,2,0,0,2,100.0,100.0
Kyle Reynish,RSL,GK,1,1,90,2,2,0,0.0,0/0,1,0,0,1,100.0,100.0
Chris Seitz,HOU,GK,1,1,90,9,5,4,4.0,1/1,0,1,0,0,0.0,55.6
Chris Konopka,NY,GK,1,1,90,4,2,2,2.0,0/0,0,0,1,0,0.0,50.0
Brian Perk,LA,GK,1,1,90,2,2,0,0.0,0/1,0,0,1,1,0.0,100.0
David Bingham,LA,GK,1,1,90,5,4,1,1.0,0/0,1,0,0,0,100.0,80.0
Alex Horwath,RSL,GK,1,1,90,4,4,0,0.0,0/0,0,0,1,1,0.0,100.0
Alec Dufty,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Alex Riggs,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Tyler Deric,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Tim Murray,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Tim Melia,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Evan Newton,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Richard Sanchez,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Brian Sylvestre,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Thorne Holder,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Josh Ford,SEA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Chase Harrison,PHI,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Sergio Arias,CHV,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Ian Joyce,COL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Josh Lambo,DAL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Andrew Weber,SJ,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Terry Boss,SEA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Steward Ceus,COL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
