day,date,home_team,result,away_team
Saturday,March 19,DC,3-1,Columbus
Saturday,March 26,New England,2-1,DC
Sunday,April 3,Colorado,4-1,DC
Saturday,April 9,DC,1-1,LA Galaxy
Saturday,April 16,Toronto FC,0-3,DC
Thursday,April 21,DC,0-4,NY Red Bulls
Friday,April 29,Houston,4-1,DC
Wednesday,May 4,Seattle,2-1,DC
Saturday,May 7,DC,0-0,FC Dallas
Saturday,May 14,DC,1-1,Colorado
Sunday,May 29,Portland,2-3,DC
Friday,June 3,LA Galaxy,0-0,DC
Saturday,June 11,DC,2-4,San Jose
Saturday,June 18,Real Salt Lake,1-1,DC
Saturday,June 25,DC,2-2,Houston
Saturday,July 2,DC,2-2,Philadelphia
Saturday,July 9,NY Red Bulls,0-1,DC
Saturday,July 16,FC Dallas,0-0,DC
Wednesday,July 20,DC,0-1,New England
Saturday,July 30,San Jose,0-2,DC
Saturday,August 6,DC,3-3,Toronto FC
Saturday,August 13,DC,4-0,Vancouver
Thursday,August 18,Chicago,1-1,DC
Sunday,August 21,Sporting KC,1-0,DC
Saturday,September 10,Chivas USA,0-3,DC
Saturday,September 17,Seattle,3-0,DC
Wednesday,September 21,DC,2-2,Chivas USA
Saturday,September 24,DC,4-1,Real Salt Lake
Thursday,September 29,Philadelphia,3-2,DC
Sunday,October 2,Columbus,2-1,DC
Wednesday,October 12,Vancouver,2-1,DC
Saturday,October 15,DC,1-2,Chicago
Wednesday,October 19,DC,1-1,Portland
Saturday,October 22,DC,0-1,Sporting KC
