Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Jon Busch,SJ,GK,33,33,2970,160,113,44,1.33,4/4,70.6
Matt Reis,NE,GK,27,27,2430,159,111,43,1.59,6/7,69.8
Kasey Keller,SEA,GK,34,34,3060,145,110,37,1.09,3/4,75.9
Stefan Frei,SEA,GK,27,27,2406,155,106,49,1.81,4/4,68.4
Dan Kennedy,CHV,GK,32,32,2880,142,100,39,1.22,2/4,70.4
Tally Hall,DC,GK,34,34,3060,143,99,41,1.21,5/5,69.2
Nick Rimando,RSL,GK,33,33,2970,134,95,36,1.09,5/7,70.9
William Hesmer,CLB,GK,32,32,2880,135,92,44,1.38,3/4,68.1
Troy Perkins,POR,GK,29,29,2610,132,91,38,1.31,5/5,68.9
Kevin Hartman,DAL,GK,33,33,2970,124,85,35,1.06,3/3,68.5
Jimmy Nielsen,KC,GK,31,31,2767,114,79,35,1.13,1/2,69.3
Bill Hamid,DC,GK,28,28,2392,114,77,37,1.32,4/4,67.5
Sean Johnson,NYC,GK,28,28,2520,115,76,37,1.32,2/4,66.1
Matt Pickens,COL,GK,34,34,3060,116,76,41,1.21,2/2,65.5
Joe Cannon,VAN,GK,20,20,1800,99,66,32,1.6,3/3,66.7
Josh Saunders,LA,GK,19,18,1639,73,55,17,0.94,2/2,75.3
Faryd Mondragón,PHI,GK,27,27,2385,79,49,28,1.04,2/2,62.0
Donovan Ricketts,LA,GK,15,15,1284,54,41,11,0.73,1/1,75.9
Jay Nolly,VAN,GK,14,14,1260,63,39,23,1.64,3/4,61.9
Bouna Coundoul,NY,GK,12,11,1035,51,37,13,1.18,1/1,72.5
Milos Kocic,TOR,GK,8,7,654,47,35,10,1.43,0/0,74.5
Greg Sutton,NY,GK,10,10,900,44,30,15,1.5,2/5,68.2
Frank Rost,NY,GK,11,11,945,40,26,14,1.27,0/0,65.0
Bobby Shuttleworth,MIN,GK,7,7,630,32,17,15,2.14,1/1,53.1
Zac MacMath,COL,GK,8,7,675,25,16,8,1.14,1/1,64.0
Jon Conway,CHI,GK,6,6,540,24,15,8,1.33,0/0,62.5
Joe Willis,HOU,GK,3,3,270,16,12,4,1.33,0/0,75.0
Jake Gleeson,POR,GK,4,3,315,17,12,6,2.0,0/0,70.6
Eric Kronberg,KC,GK,4,3,292,15,10,5,1.67,1/1,66.7
Pat Onstad,DC,GK,3,3,270,16,8,7,2.33,2/2,50.0
Steve Cronin,DC,GK,2,0,126,10,6,4,4.0,0/0,60.0
Andy Gruenebaum,CLB,GK,2,2,180,5,5,0,0.0,0/0,100.0
Adin Brown,POR,GK,2,2,135,9,5,4,2.0,0/0,55.6
Chris Seitz,HOU,GK,1,1,90,9,5,4,4.0,1/1,55.6
Alex Horwath,RSL,GK,1,1,90,4,4,0,0.0,0/0,100.0
David Bingham,LA,GK,1,1,90,5,4,1,1.0,0/0,80.0
Zach Thornton,CHV,GK,2,2,180,7,3,4,2.0,0/0,42.9
Kyle Reynish,RSL,GK,1,1,90,2,2,0,0.0,0/0,100.0
Brian Perk,LA,GK,1,1,90,2,2,0,0.0,0/1,100.0
Chris Konopka,NY,GK,1,1,90,4,2,2,2.0,0/0,50.0
Sergio Arias,CHV,GK,0,0,0,0,0,0,0.0,0/0,0.0
Ian Joyce,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Josh Lambo,DAL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Andrew Weber,SJ,GK,0,0,0,0,0,0,0.0,0/0,0.0
Terry Boss,SEA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Steward Ceus,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Tyler Deric,HOU,GK,0,0,0,0,0,0,0.0,0/0,0.0
Tim Murray,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Tim Melia,SKC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Evan Newton,HOU,GK,0,0,0,0,0,0,0.0,0/0,0.0
Brian Sylvestre,LA,GK,0,0,0,0,0,0,0,0/0,0.0
Thorne Holder,PHI,GK,0,0,0,0,0,0,0,0/0,0.0
Alec Dufty,CHI,GK,0,0,0,0,0,0,0,0/0,0.0
Jon Kempin,CLB,GK,0,0,0,0,0,0,0,0/0,0.0
Alex Riggs,CLB,GK,0,0,0,0,0,0,0,0/0,0.0
Richard Sanchez,CHI,GK,0,0,0,0,0,0,0,0/0,0.0
Josh Ford,SEA,GK,0,0,0,0,0,0,0,0/0,0.0
Chase Harrison,PHI,GK,0,0,0,0,0,0,0,0/0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0,0,0,0/0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
