Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Diego Chara,POR,M,28,27,2401,2,4,26,7,64,23,1,7,0
Gershon Koffie,VAN,M,29,28,2467,1,0,34,9,58,76,0,3,1
Dwayne De Rosario,DC,M,33,31,2781,16,12,112,44,57,46,45,3,0
Fredy Montero,SEA,F,30,27,2304,12,9,108,42,55,54,17,7,0
Eric Hassli,VAN,F,26,21,1865,10,2,72,28,53,35,20,8,3
Julius James,CLB,D,31,31,2790,1,0,8,2,53,22,0,7,0
Osvaldo Alonso,SEA,M,33,32,2891,3,3,54,11,50,39,0,7,0
Emmanuel Ekpo,CLB,M,32,29,2506,1,2,32,6,48,53,2,8,2
Cam Weaver,HOU,F,28,16,1611,4,1,30,11,47,29,15,3,0
Camilo Sanvezzo,VAN,F,32,29,2484,12,3,83,37,47,55,22,5,0
Daniel Hernandez,DAL,M,30,30,2668,2,4,29,4,47,38,0,6,0
Dane Richards,NY,M,27,27,2333,7,7,51,21,46,28,13,5,1
Teemu Tainio,NY,M,28,28,2407,0,2,27,4,45,18,0,7,1
Joel Lindpere,NY,M,34,34,3048,7,7,54,22,45,53,13,4,0
Jeff Larentowicz,ATL,M,34,34,3051,7,1,37,17,45,37,0,5,0
Roger Espinoza,SKC,M,24,24,1979,1,3,20,5,44,44,0,3,1
Andy Najar,DC,M-F,31,28,2522,5,6,57,20,44,37,4,2,1
Andre Hainault,HOU,D,31,31,2790,1,0,9,1,44,24,1,1,0
Gonzalo Segares,CHI,D,33,33,2950,0,5,17,3,44,20,2,8,0
Alvaro Saborio,RSL,F,23,22,1928,11,2,66,24,43,38,38,3,0
Alejandro Moreno,CHV,F,24,22,2016,5,2,30,12,42,48,11,0,0
Justin Braun,CHV,F,29,22,2055,8,5,69,29,42,32,16,4,0
Marco Pappa,CHI,M,29,27,2324,8,2,92,39,42,35,12,2,0
Richard Eckersley,TOR,D,23,22,1953,0,0,6,3,41,42,0,6,0
Khari Stephenson,SJ,M,31,27,2256,5,4,78,26,41,18,5,3,0
Jackson Goncalves,DAL,M,28,22,1952,4,2,54,17,39,22,9,8,1
Fabian Espindola,RSL,F,27,25,2096,10,3,62,30,39,31,33,6,0
Aurélien Collin,RBNY,D,23,21,1912,3,0,15,5,38,19,2,10,1
Marvin Chávez,DAL,M,31,30,2521,6,4,66,28,38,53,21,4,0
Brad Davis,HOU,M,34,34,2892,4,16,49,15,38,33,2,5,0
Julian de Guzman,TOR,M,19,16,1325,2,3,16,5,37,29,0,6,0
Daniel Paladini,CHI,M,23,16,1491,0,1,37,14,37,15,1,7,0
Rajko Lekic,NE,F,23,22,1851,6,1,44,17,37,39,28,3,0
Benny Feilhaber,LAFC,M,23,23,2046,4,7,36,11,37,71,1,3,1
Kei Kamara,VAN,F,30,24,2201,9,4,91,29,37,44,7,2,0
Zach Loyd,DAL,D,30,28,2416,1,4,8,1,37,44,2,4,0
Sheanon Williams,PHI,D,32,32,2828,1,3,20,7,37,42,1,4,1
Shalrie Joseph,NE,M,32,32,2860,8,1,52,23,37,54,6,7,1
Carlos Valdés,PHI,D,32,32,2880,1,1,22,4,37,33,2,8,0
Emilio Rentería,CLB,F,18,14,1159,8,2,43,17,36,33,17,0,0
Brian Mullan,COL,D,22,19,1665,1,1,14,4,36,31,1,4,1
Teal Bunbury,NE,F,29,20,1744,9,3,66,22,36,17,21,2,1
Landon Donovan,LA,M-F,23,21,1915,12,3,42,23,36,36,3,4,0
Kyle Beckerman,RSL,M,29,27,2423,3,9,33,13,36,24,1,6,1
Jack Jewsbury,POR,M,31,31,2790,7,8,47,20,36,26,3,5,0
Dejan Rusmir,CLB,M,18,13,1016,0,2,14,1,35,14,0,4,0
Chance Myers,KC,D,28,24,2209,0,1,21,5,35,21,1,1,0
Alain Rochat,VAN,D,28,27,2434,3,1,21,5,35,39,1,6,0
Juninho,LA,M,30,30,2556,4,2,39,13,35,43,0,4,1
Yamith Cuesta,CHI,D,20,18,1681,0,0,7,1,34,13,3,3,1
Mehdi Ballouchy,NY,M,29,17,1519,2,1,23,7,33,24,5,4,0
Brad Ring,SJ,D,21,17,1600,0,1,11,2,33,25,0,7,0
Andrew Jacobson,DAL,M,27,22,1850,1,5,32,11,33,17,0,4,0
Andy Williams,RSL,M,31,20,1970,2,1,38,13,33,45,1,2,0
Perry Kitchen,LA,M,31,30,2726,1,0,10,2,33,24,0,4,0
Danny Califf,PHI,D,33,33,2970,1,0,9,4,33,25,0,4,0
Chris Wingert,RSL,D,23,22,1915,0,1,9,2,32,10,0,5,0
Wells Thompson,COL,D,31,22,1935,3,3,22,9,31,39,2,4,0
A.J. DeLaGarza,HOU,D,30,30,2627,0,0,3,1,31,31,1,3,0
Alan Gordon,SJ,F,10,8,739,5,1,20,10,30,14,10,4,0
Steven Lenhart,SJ,F,14,13,1163,5,3,34,14,30,36,12,6,0
Mike Magee,LA,M,27,20,1772,5,0,28,11,30,34,3,2,0
Dan Gargan,CHI,D,25,21,1848,1,0,7,1,30,11,2,7,0
Erik Friberg,SEA,M,26,23,1897,1,2,9,3,30,13,3,4,0
Jhon Kennedy Hurtado,SEA,D,23,23,1945,0,1,10,1,30,16,1,4,2
Maicon Santos,DAL,F,30,24,1974,8,2,92,25,30,29,16,0,0
Ben Zemanski,CHV,M,28,23,2056,2,4,22,5,30,25,0,6,0
CJ Sapong,PHI,F,34,22,2096,5,5,53,25,30,44,5,0,0
Jámison Olave,RSL,D,24,24,2128,2,1,20,7,30,17,3,3,1
Júlio César,KC,D,27,25,2149,2,2,9,4,30,18,1,3,1
Cory Gibbs,CHI,D,26,26,2203,3,1,19,5,30,23,1,6,1
Patrick Nyarko,CHI,F-M,30,24,2266,1,9,33,7,30,60,9,2,0
Nate Jaqua,SEA,F,23,7,843,0,2,16,2,29,9,9,2,0
Franco Coria,NE,D,18,14,1250,0,0,4,0,29,5,0,5,0
Ryan Cochrane,NE,D,22,19,1478,1,1,8,1,29,4,0,5,1
Sam Cronin,MIN,M,27,22,1903,0,2,21,2,29,10,0,6,1
Rodney Wallace,NYC,F,25,22,1973,2,2,19,6,29,14,2,6,0
Ryan Johnson,SJ,F,26,24,2080,3,4,46,15,29,24,15,3,0
Brandon McDonald,DC,D,29,26,2294,2,0,10,3,29,13,1,6,1
Juan Pablo Angel,CHV,F,31,26,2314,10,1,78,32,29,13,36,2,0
Chris Wondolowski,SJ,F,30,30,2672,16,3,109,52,29,24,27,3,0
Roy Miller,POR,D,30,30,2699,0,3,18,5,29,16,2,5,0
Geoff Cameron,HOU,D,33,33,2970,5,5,63,18,29,36,11,2,0
Nick LaBrocca,CHV,M,34,34,3058,8,6,77,25,29,38,8,4,0
Collen Warner,MIN,M,24,15,1106,0,5,16,8,28,19,4,3,1
Abdoulie Mansally,NE,D,25,9,1140,0,2,29,4,28,29,10,3,1
Je-Vaughn Watson,HOU,D,22,11,1163,1,2,12,4,28,10,3,4,1
Danny Mwanga,PHI,F,28,13,1535,5,4,37,20,28,23,9,4,0
Bobby Convey,SJ,M,21,19,1766,1,2,17,4,28,18,3,5,0
Eddie Gaven,CLB,M,26,26,2227,5,1,58,24,28,65,11,0,0
Thierry Henry,NY,F,26,26,2266,14,4,65,30,28,27,14,3,2
Kalif Alhassan,POR,M,32,27,2337,0,6,58,14,28,52,3,3,1
Pablo Mastroeni,COL,M,30,30,2517,1,4,12,1,28,39,1,6,0
Ramiro Corrales,SJ,M,29,29,2552,2,2,30,5,28,30,3,7,0
Ugo Ihemelu,DAL,D,31,30,2726,2,2,10,3,28,24,0,6,0
Caleb Folan,COL,F,26,16,1521,6,2,40,16,27,25,17,5,1
Chris Birchall,LA,M,23,17,1551,1,0,26,4,27,15,1,3,1
Luke Rodgers,NY,F,23,20,1560,9,3,45,20,27,26,48,6,0
Gabriel Farfan,CHV,M,22,18,1609,1,2,2,1,27,25,0,1,0
Robbie Rogers,CLB,D,27,24,2218,2,7,36,11,27,50,7,2,0
A.J. Soares,NE,D,28,28,2464,1,0,17,5,27,24,0,2,2
Jalil Anibaba,NE,D,29,27,2508,2,1,11,4,27,14,1,0,0
Kenny Cooper,POR,F,34,29,2562,8,2,78,30,27,56,40,2,0
Brian Carroll,PHI,M,30,30,2571,1,0,15,4,27,13,0,5,0
Veljko Paunovic,PHI,F,17,16,1236,3,3,32,10,26,21,8,1,0
Mikael Yourassowsky,TOR,D,21,13,1302,0,1,21,4,26,27,6,4,1
Tom Heinemann,CLB,F,28,12,1315,3,1,45,15,26,23,21,4,0
Rafa Márquez,NY,M,19,19,1684,0,5,16,4,26,27,0,6,0
David Beckham,LA,M,26,25,2226,2,15,29,9,26,47,2,10,0
Graham Zusi,SKC,D-M,32,25,2329,5,7,47,16,26,38,2,4,0
James Riley,SEA,D,29,29,2579,0,2,7,1,26,17,0,3,0
Lovel Palmer,HOU,D,34,31,2782,1,1,58,9,26,18,2,6,1
Cristian Nazarit,CHI,F,12,6,624,2,0,20,5,25,2,8,3,0
Conor Casey,COL,F,14,11,809,6,1,18,10,25,14,12,4,1
Juan Agudelo,NE,F,27,12,1364,6,2,44,17,25,22,6,1,0
Michael Boxall,MIN,D,19,18,1616,0,0,2,2,25,10,0,3,0
Ned Grabavoy,RSL,M,25,21,1899,0,0,17,3,25,38,3,3,0
Logan Pause,CHI,M,29,28,2514,0,0,6,2,25,11,0,3,0
Dominic Oduro,MTL,M,34,29,2633,12,2,78,39,25,52,20,5,0
Brek Shea,VAN,M-F,31,30,2647,11,4,74,23,25,43,12,6,1
George John,DAL,D,31,31,2781,3,1,18,7,25,29,0,4,1
Todd Dunivant,LA,D,32,32,2880,0,4,12,5,25,30,4,2,0
Kevin Alston,NE,D,33,33,2954,0,1,13,1,25,45,0,1,0
Tony Tchani,CHI,M,15,14,1144,1,0,15,7,24,21,0,3,1
Kyle Nakazawa,PHI,M,22,14,1208,1,3,15,4,24,14,0,1,0
Ricardo Villar,DAL,M,20,14,1317,0,2,23,6,24,26,2,2,0
Andy Iro,CLB,D,17,15,1323,0,0,6,0,24,16,1,4,1
Pat Phelan,NE,M-D,20,15,1426,0,3,12,2,24,20,3,4,1
Jeb Brovsky,VAN,D,24,16,1509,0,1,11,2,24,13,0,4,0
Sanna Nyassi,COL,M,26,17,1586,5,5,61,23,24,33,11,4,0
Ty Harden,TOR,D,26,24,2120,0,0,6,1,24,7,0,3,1
Tyrone Marshall,COL,D,27,24,2177,0,1,7,0,24,14,0,4,0
Jordan Harvey,LAFC,D,30,30,2498,0,5,9,2,24,12,0,7,1
