day,date,home_team,result,away_team
Tuesday,March 15,Seattle,0-1,LA
Sunday,March 20,LA,1-1,New England
Saturday,March 26,Real Salt Lake,4-1,LA
Saturday,April 2,LA,1-0,Philadelphia
Saturday,April 9,D.C. United,1-1,LA
Wednesday,April 13,Toronto FC,0-0,LA
Sunday,April 17,Chicago,1-2,LA
Saturday,April 23,LA,3-0,Portland
Sunday,May 1,FC Dallas,2-1,LA
Saturday,May 7,LA,1-1,NY Red Bulls
Wednesday,May 11,Philadelphia,1-1,LA
Saturday,May 14,LA,4-1,Sporting KC
Saturday,May 21,Chivas USA,0-1,LA
Wednesday,May 25,LA,1-0,Houston
Saturday,May 28,New England,0-1,LA
Friday,June 3,LA,0-0,D.C. United
Saturday,June 11,LA,2-2,Toronto FC
Saturday,June 18,Colorado,1-3,LA
Saturday,June 25,San Jose,0-0,LA
Monday,July 4,Seattle,0-0,LA
Saturday,July 9,LA,2-1,Chicago
Wednesday,July 20,LA,1-0,Columbus
Saturday,July 30,Vancouver,0-4,LA
Wednesday,August 3,Portland,3-0,LA
Saturday,August 6,LA,3-1,FC Dallas
Saturday,August 20,LA,2-0,San Jose
Monday,September 5,Sporting KC,2-2,LA
Friday,September 9,LA,1-0,Colorado
Saturday,September 17,LA,3-0,Vancouver
Saturday,September 24,Columbus,0-1,LA
Saturday,October 1,LA,2-1,Real Salt Lake
Tuesday,October 4,NY Red Bulls,2-0,LA
Sunday,October 16,LA,1-0,Chivas USA
Sunday,October 23,Houston,3-1,LA
