Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Brad Davis,HOU,M,34,34,16,6,13,3,0.5
David Beckham,LA,M,26,25,15,7,10,5,0.61
Mauro Rosales,SEA,M,26,22,13,4,9,4,0.63
Dwayne De Rosario,DC,M,33,31,12,4,8,4,0.39
Davide Chiumiento,VAN,M,26,20,9,1,6,3,0.48
Patrick Nyarko,CHI,F-M,30,24,9,2,1,8,0.36
Fredy Montero,SEA,F,30,27,9,2,5,4,0.35
Kyle Beckerman,RSL,M,29,27,9,6,9,0,0.33
Sébastien Le Toux,PHI,F,34,34,9,3,3,6,0.26
Jack Jewsbury,POR,M,31,31,8,3,6,2,0.26
Steven Beitashour,LAFC,D,19,19,7,1,5,2,0.38
Josh Wolff,DC,F,30,23,7,2,5,2,0.33
Benny Feilhaber,LAFC,M,23,23,7,0,3,4,0.31
Robbie Rogers,CLB,D,27,24,7,1,4,3,0.28
Graham Zusi,SKC,D-M,32,25,7,4,6,1,0.27
Dane Richards,NY,M,27,27,7,2,5,2,0.27
Ante Jazic,CHV,D,28,28,7,3,4,3,0.26
Jan Gunnar Solli,NY,D,31,31,7,4,4,3,0.24
Joel Lindpere,NY,M,34,34,7,1,4,3,0.21
Omar Cummings,COL,F,26,18,6,1,4,2,0.32
Dax McCarty,CHI,M,29,25,6,1,4,2,0.25
Kalif Alhassan,POR,M,32,27,6,3,6,0,0.23
Andy Najar,DC,M-F,31,28,6,3,5,1,0.21
Nick LaBrocca,CHV,M,34,34,6,0,1,5,0.18
Pável Pardo,CHI,M,13,12,5,1,4,1,0.43
Collen Warner,MIN,M,24,15,5,2,1,4,0.41
Brad Evans,SKC,D-M,20,17,5,4,3,2,0.3
Nick Soolsma,TOR,F,23,18,5,2,3,2,0.29
Chad Barrett,LA,F,27,20,5,2,4,1,0.28
Sanna Nyassi,COL,M,26,17,5,1,4,1,0.28
Rafa Márquez,NY,M,19,19,5,0,4,1,0.27
Joao Plata,RSL,F,26,21,5,1,2,3,0.26
Andrew Jacobson,DAL,M,27,22,5,2,2,3,0.24
Justin Braun,CHV,F,29,22,5,3,2,3,0.22
CJ Sapong,PHI,F,34,22,5,2,1,4,0.21
Chris Pontius,LA,F,25,25,5,1,0,5,0.21
Jordan Harvey,LAFC,D,30,30,5,1,3,2,0.18
Gonzalo Segares,CHI,D,33,33,5,3,2,3,0.15
Geoff Cameron,HOU,D,33,33,5,2,3,2,0.15
Paulo Jr.,RSL,F,11,5,4,1,3,1,0.77
Sebastián Grazzini,CHI,M,11,11,4,0,3,1,0.46
Nizar Khalfan,VAN,M,22,9,4,0,3,1,0.34
Santino Quaranta,DC,M-F,21,10,4,0,2,2,0.33
Jamie Smith,COL,M,20,18,4,1,1,3,0.24
Danny Mwanga,PHI,F,28,13,4,2,2,2,0.23
Justin Mapp,PHI,M,29,24,4,1,2,2,0.19
Ben Zemanski,CHV,M,28,23,4,1,2,2,0.18
Ryan Johnson,SJ,F,26,24,4,1,2,2,0.17
Chris Tierney,NE,D-M,27,25,4,1,0,4,0.16
Kei Kamara,VAN,F,30,24,4,1,2,2,0.16
Khari Stephenson,SJ,M,31,27,4,0,3,1,0.16
Thierry Henry,NY,F,26,26,4,1,2,2,0.16
Diego Chara,POR,M,28,27,4,1,3,1,0.15
Zach Loyd,DAL,D,30,28,4,2,2,2,0.15
Pablo Mastroeni,COL,M,30,30,4,1,2,2,0.14
Marvin Chávez,DAL,M,31,30,4,1,2,2,0.14
Brek Shea,VAN,M-F,31,30,4,2,1,3,0.14
Daniel Hernandez,DAL,M,30,30,4,2,3,1,0.13
Todd Dunivant,LA,D,32,32,4,1,1,3,0.13
