day,date,home_team,result,away_team
Saturday,March 19,VAN,4-2,Toronto FC
Saturday,March 26,Philadelphia,1-0,VAN
Saturday,April 2,VAN,3-3,Sporting KC
Wednesday,April 6,VAN,1-1,New England
Sunday,April 10,Houston,3-1,VAN
Saturday,April 16,VAN,0-0,Chivas USA
Saturday,April 23,VAN,1-2,FC Dallas
Saturday,April 30,Columbus,2-1,VAN
Saturday,May 7,Chicago,0-0,VAN
Wednesday,May 11,VAN,1-1,San Jose
Saturday,May 14,New England,1-0,VAN
Saturday,May 28,VAN,1-1,NY Red Bulls
Wednesday,June 1,Chivas USA,1-1,VAN
Saturday,June 4,Real Salt Lake,2-0,VAN
Saturday,June 11,Seattle,2-2,VAN
Saturday,June 18,VAN,1-0,Philadelphia
Saturday,June 25,Sporting KC,2-1,VAN
Wednesday,June 29,Toronto FC,1-0,VAN
Wednesday,July 6,VAN,0-1,Columbus
Saturday,July 9,Colorado,2-1,VAN
Wednesday,July 20,San Jose,2-2,VAN
Saturday,July 30,VAN,0-4,LA Galaxy
Sunday,August 7,VAN,4-2,Chicago
Saturday,August 13,D.C. United,4-0,VAN
Saturday,August 20,Portland,2-1,VAN
Saturday,August 27,VAN,1-0,Houston
Saturday,September 10,NY Red Bulls,1-1,VAN
Saturday,September 17,LA Galaxy,3-0,VAN
Saturday,September 24,Seattle,1-3,VAN
Sunday,October 2,VAN,0-1,Portland
Thursday,October 6,VAN,3-0,Real Salt Lake
Wednesday,October 12,VAN,2-1,D.C. United
Saturday,October 15,FC Dallas,2-0,VAN
Saturday,October 22,VAN,1-2,Colorado
