Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
T1,09/08/02,Trabzonspor,Fenerbahce,0,0,D,0,0,D,3.4,3.25,1.909,3.5,3.25,1.98,3.8,3.1,1.8,,,,,,,2.95,3.1,2.1,1.65,2.05
T1,10/08/02,Ankaragucu,Malatyaspor,1,1,D,1,0,H,1.444,3.6,6.5,1.47,3.6,7,1.45,4,5,,,,,,,1.5,3.45,5.5,1.6,2.05
T1,10/08/02,Bursaspor,Besiktas,2,2,D,1,1,D,3.5,3.4,1.833,3.5,3.4,1.86,3.5,3.2,1.85,,,,,,,3.35,3.2,1.9,1.6,2.05
T1,10/08/02,Diyarbakirspor,Altay,1,1,D,1,0,H,1.727,3.4,4,1.7,3.6,4.2,1.7,3.3,4,,,,,,,1.8,3.3,3.6,,
T1,10/08/02,Istanbulspor,Adanaspor,2,2,D,0,2,A,1.727,3.2,4.333,1.77,3.3,4.1,1.75,3.3,3.8,,,,,,,1.65,3.4,4.2,1.75,1.85
T1,11/08/02,Galatasaray,Samsunspor,4,1,H,3,1,H,1.2,5,11,1.22,6,12,1.2,5,10,,,,,,,1.2,5.5,8.5,1.95,1.7
T1,11/08/02,Gaziantepspor,Denizlispor,1,1,D,0,1,A,1.833,3.2,3.75,1.82,3.35,3.8,1.75,3.3,3.8,,,,,,,1.75,3.35,3.75,,
T1,11/08/02,Goztep,Elazigspor,2,1,H,0,1,A,1.667,3.25,4.5,1.68,3.4,4.3,1.65,3.5,4,,,,,,,1.6,3.45,4.5,1.6,2.05
T1,11/08/02,Kocaelispor,Genclerbirligi,1,3,A,0,2,A,2.1,3.2,3,2.22,3.15,2.95,2.1,3.2,2.9,,,,,,,2.05,3.2,2.95,,
T1,16/08/02,Denizlispor,Galatasaray,1,3,A,0,0,D,3.4,3.25,1.909,3.85,3.35,1.8,3.8,3.3,1.75,,,,,,,3.65,3.25,1.8,1.6,2.05
T1,17/08/02,Besiktas,Kocaelispor,2,1,H,0,0,D,1.286,4.5,8,1.25,4.4,9.5,1.25,4.5,9,,,,,,,1.3,4.1,8,1.45,2.35
T1,17/08/02,Elazigspor,Trabzonspor,2,0,H,2,0,H,2.5,3.2,2.4,2.62,3.2,2.35,2.3,3.2,2.3,,,,,,,2.5,3.2,2.35,1.65,1.95
T1,17/08/02,Genclerbirligi,Istanbulspor,4,1,H,0,1,A,1.727,3.4,4,1.7,3.36,4.25,1.85,3.2,3.5,,,,,,,1.9,3.25,3.3,1.55,2.1
T1,17/08/02,Malatyaspor,Gaziantepspor,1,1,D,1,0,H,2.625,3.2,2.3,2.5,3.2,2.55,,,,,,,,,,2.55,3.2,2.3,1.85,1.75
T1,17/08/02,Samsunspor,Bursaspor,1,0,H,1,0,H,2.1,3.2,3,2.05,3.21,3.2,2,3.2,3.1,,,,,,,2.05,3.2,2.95,1.6,2.05
T1,18/08/02,Adanaspor,Diyarbakirspor,2,1,H,1,0,H,1.909,3.25,3.4,1.98,3.3,3.5,1.85,3.2,3.5,,,,,,,2.1,3.2,2.85,1.6,2.05,,
T1,18/08/02,Altay,Goztep,4,2,H,2,0,H,2.3,3.2,2.625,2.4,3.2,2.65,2.4,3.1,2.4,,,,,,,2.4,3.1,2.5,1.65,1.95,,
T1,18/08/02,Fenerbahce,Ankaragucu,1,0,H,1,0,H,1.333,4,8,1.25,4.2,7.85,1.3,4.2,8,,,,,,,1.25,4.5,9,,,,
T1,24/08/02,Goztep,Adanaspor,1,4,A,0,1,A,1.8,3.25,3.75,1.84,3.25,3.85,1.75,3.3,3.8,,,,,,,1.9,3.3,3.25,1.6,2,,
T1,24/08/02,Istanbulspor,Besiktas,1,2,A,1,1,D,4.333,3.2,1.727,4.3,3.4,1.7,5,3.7,1.5,,,,,,,4,3.35,1.7,1.5,2.2,,
T1,24/08/02,Kocaelispor,Samsunspor,1,2,A,1,2,A,1.8,3.25,3.75,1.87,3.35,3.65,1.75,3.3,3.8,,,,,,,1.65,3.3,4.4,1.6,2,,
T1,24/08/02,Trabzonspor,Altay,0,0,D,0,0,D,1.667,3.25,4.5,1.68,3.5,4.65,1.75,3.3,3.8,,,,,,,1.7,3.4,3.9,1.7,1.9,,
T1,25/08/02,Ankaragucu,Elazigspor,3,1,H,1,0,H,1.533,3.4,5.5,1.51,3.6,6,1.5,3.7,5,,,,,,,1.5,3.45,5.5,1.55,2.1,,
T1,25/08/02,Denizlispor,Malatyaspor,1,0,H,1,0,H,1.727,3.2,4.333,1.66,3.5,4.75,1.6,3.4,4.6,,,,,,,1.6,3.5,4.4,1.65,1.95,,
T1,25/08/02,Diyarbakirspor,Genclerbirligi,1,4,A,0,1,A,2.4,3.25,2.5,2.5,3.2,2.6,2.4,3.1,2.4,,,,,,,2.35,3.2,2.5,1.75,1.85,,
T1,25/08/02,Galatasaray,Bursaspor,2,0,H,1,0,H,1.167,5.5,11,1.16,6,12.5,1.15,6,12,,,,,,,1.15,5.9,10,1.3,2.9,,
T1,30/08/02,Besiktas,Diyarbakirspor,2,0,H,1,0,H,1.2,5,11,1.15,5.5,12,1.2,5,10,,,,,,,1.22,5,8.5,1.3,2.85,,
T1,31/08/02,Adanaspor,Trabzonspor,0,1,A,0,0,D,2.2,3.25,2.75,2.15,3.2,2.8,1.9,3.2,3.4,,,,,,,2.2,3.3,2.65,1.65,1.95,,
T1,31/08/02,Altay,Ankaragucu,2,3,A,1,1,D,2.625,3.1,2.375,2.5,3.1,2.45,2.5,3.2,2.3,,,,,,,2.4,3.3,2.4,1.75,1.85,,
T1,31/08/02,Bursaspor,Kocaelispor,4,2,H,1,1,D,1.8,3.25,3.75,1.76,3.4,4,1.7,3.3,4,,,,,,,1.9,3.3,3.3,1.6,2.05,,
T1,31/08/02,Malatyaspor,Galatasaray,2,2,D,1,1,D,6,3.75,1.444,6,3.65,1.46,5,3.7,1.5,,,,,,,4.5,3.5,1.6,1.45,2.3,,
T1,01/09/02,Elazigspor,Gaziantepspor,1,3,A,1,2,A,2.5,3.25,2.375,2.45,3.15,2.45,2.4,3.1,2.4,,,,,,,2.3,3.3,2.5,1.7,1.9,,
T1,01/09/02,Fenerbahce,Denizlispor,3,2,H,2,0,H,1.2,5,11,1.19,5.5,12,1.25,4.5,9,,,,,,,1.28,4,9,1.35,2.65,,
T1,01/09/02,Genclerbirligi,Goztep,3,1,H,1,0,H,1.571,3.5,5,1.5,3.6,5.25,1.6,3.4,4.6,,,,,,,1.45,3.75,5.5,1.65,1.95,,
T1,01/09/02,Samsunspor,Istanbulspor,1,2,A,1,0,H,1.8,3.25,3.75,1.83,3.3,3.65,1.9,3.2,3.4,,,,,,,1.85,3.25,3.5,1.65,1.95,,
T1,11/09/02,Gaziantepspor,Fenerbahce,3,3,D,2,1,H,3.6,3.3,1.833,3.65,3.3,1.89,3.2,3.1,2,,,,,,,3.5,3.2,1.85,1.7,1.9,,
T1,13/09/02,Galatasaray,Kocaelispor,2,0,H,2,0,H,1.143,6,12,1.19,5.7,13,1.2,5,10,1.167,5.5,13,,,,1.2,5,9.5,,,,
T1,14/09/02,Ankaragucu,Adanaspor,1,1,D,0,1,A,1.615,3.25,5,1.6,3.5,4.65,1.55,3.5,4.8,1.571,3.75,4.5,,,,1.55,3.5,4.8,1.65,1.95,,
T1,14/09/02,Denizlispor,Elazigspor,3,1,H,1,0,H,1.5,3.6,5.5,1.51,3.6,5.4,1.5,3.7,5,1.571,3.75,4.5,,,,1.5,3.55,5.25,1.67,1.95,,
T1,14/09/02,Malatyaspor,Fenerbahce,2,0,H,1,0,H,4.5,3.25,1.667,4.5,3.4,1.65,3.5,3.1,1.9,3.75,3.5,1.727,,,,3.8,3.3,1.75,,,,
T1,14/09/02,Trabzonspor,Genclerbirligi,1,1,D,1,0,H,2.3,3.2,2.625,2.4,3.2,2.5,2.2,3.1,2.8,2.4,3.2,2.5,,,,2.3,3.2,2.55,1.8,1.8,,
