Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
T1,11/08/00,Kocaelispor,Fenerbahce,0,4,A,0,2,A,,,,2.9,3,2,3.8,2.5,1.53,,,
T1,12/08/00,Besiktas,Yozgatspor,3,0,H,1,0,H,,,,1.2,4.7,9,1.17,4,10,1.14,5.5,11
T1,12/08/00,Bursaspor,Gaziantepspor,3,3,D,1,1,D,,,,2.2,3,2.6,2.5,2.25,2,2.3,3.1,2.6
T1,12/08/00,Erzurumspor,Trabzonspor,1,3,A,0,0,D,,,,2.8,3,2.1,2.5,3,1.75,3.1,3.1,2
T1,12/08/00,Genclerbirligi,Rizespor,0,0,D,0,0,D,,,,1.35,3.8,6.2,1.6,3,3,1.4,3.75,6
T1,13/08/00,Denizlispor,Galatasaray,0,1,A,0,1,A,,,,4,3.3,1.6,2.6,3.25,1.57,4.5,3.5,1.57
T1,13/08/00,Istanbulspor,Adanaspor,1,6,A,1,3,A,,,,1.9,3,3.1,1.5,3.25,3,1.9,3,3.5
T1,13/08/00,Samsunspor,Ankaragucu,3,0,H,3,0,H,,,,1.6,3.3,4,2,2.4,2.5,1.72,3.25,3.8
T1,13/08/00,Siirt Jet-PA,Antalyaspor,1,2,A,1,0,H,,,,2.2,3,2.6,2.5,3,1.75,,,
T1,18/08/00,Antalyaspor,Besiktas,1,2,A,0,0,D,,,,4.5,3.3,1.55,7,4.2,1.25,,,
T1,19/08/00,Ankaragucu,Kocaelispor,1,0,H,1,0,H,,,,1.75,3.1,3.6,,,,1.85,3.3,3.4
T1,19/08/00,Galatasaray,Erzurumspor,7,0,H,3,0,H,,,,1.15,5.5,11,1.08,5.5,13,1.15,5.5,11
T1,19/08/00,Siirt Jet-PA,Rizespor,2,3,A,2,1,H,,,,2.1,3,2.8,,,,2,3.15,3.1
T1,19/08/00,Yozgatspor,Denizlispor,2,0,H,0,0,D,,,,2.2,3,2.6,2.2,2.75,2.88,1.9,3.25,3.25
T1,20/08/00,Fenerbahce,Istanbulspor,2,0,H,0,0,D,,,,1.2,4.7,9,1.2,4.5,7,1.25,4.5,8.5
T1,20/08/00,Gaziantepspor,Samsunspor,4,0,H,2,0,H,,,,1.65,3.2,3.8,1.67,3.25,3.8,1.65,3.4,4.2
T1,20/08/00,Genclerbirligi,Adanaspor,1,0,H,0,0,D,,,,1.7,3.2,3.6,1.8,3.25,3,1.7,3.35,4
T1,20/08/00,Trabzonspor,Bursaspor,2,1,H,1,0,H,,,,1.3,4,7,1.33,3.75,6,1.35,4,6.5
T1,25/08/00,Samsunspor,Trabzonspor,1,1,D,1,1,D,,,,2.35,3,2.35,3,3.2,1.9,,,
T1,26/08/00,Denizlispor,Erzurumspor,3,1,H,3,0,H,,,,1.45,3.5,5,1.62,3,4.5,1.55,3.5,4.75
T1,26/08/00,Genclerbirligi,Fenerbahce,3,1,H,1,0,H,,,,3.3,3.1,1.8,5,3.75,1.4,3.4,3.1,1.9
T1,26/08/00,Siirt Jet-PA,Adanaspor,2,2,D,1,1,D,,,,2.35,3,2.35,2,2.9,3,,,
T1,27/08/00,Besiktas,Rizespor,2,1,H,1,1,D,,,,1.15,5.5,11,1.17,5,8.5,1.15,5.5,11
T1,27/08/00,Istanbulspor,Ankaragucu,0,2,A,0,1,A,,,,2,3,2.9,1.9,3,3.2,2.1,3,3
T1,27/08/00,Kocaelispor,Gaziantepspor,1,2,A,1,2,A,,,,2.35,3,2.35,2.2,2.75,2.8,2.4,3,2.55
T1,27/08/00,Yozgatspor,Antalyaspor,0,0,D,0,0,D,,,,2.2,3.1,2.5,1.7,3.2,3.5,2.1,3.1,2.9
T1,06/09/00,Bursaspor,Galatasaray,0,2,A,0,1,A,,,,4.5,3.3,1.55,4.5,3.5,1.5,4.6,3.6,1.55
T1,08/09/00,Adanaspor,Besiktas,1,1,D,1,0,H,,,,4,3.3,1.6,4.33,3.4,1.53,4.6,3.6,1.55
T1,09/09/00,Ankaragucu,Genclerbirligi,2,3,A,0,1,A,,,,2.35,3,2.35,2.4,3,2.4,2.25,3.25,2.6
T1,09/09/00,Antalyaspor,Denizlispor,4,1,H,2,0,H,,,,1.8,3,3.5,1.8,3.1,3.4,1.75,3.4,3.65
T1,09/09/00,Galatasaray,Samsunspor,1,2,A,1,0,H,,,,1.15,5.5,11,1.14,5.5,9,1.15,5.5,12
T1,09/09/00,Trabzonspor,Kocaelispor,2,1,H,1,0,H,,,,1.35,3.8,6.2,1.29,3.75,7.5,1.25,4.5,8.5
T1,10/09/00,Erzurumspor,Bursaspor,5,0,H,2,0,H,,,,2.1,3,2.8,2,2.8,3.25,2.05,3.4,2.8
T1,10/09/00,Fenerbahce,Siirt Jet-PA,4,2,H,1,1,D,,,,1.15,5.5,11,1.13,5.5,10,1.12,6,13
T1,10/09/00,Gaziantepspor,Istanbulspor,0,0,D,0,0,D,,,,1.25,4.3,8,1.33,3.6,7,1.25,4.5,8.5
T1,10/09/00,Yozgatspor,Rizespor,0,0,D,0,0,D,,,,1.9,3,3.1,2.1,2.88,2.88,1.9,3.4,3.15
T1,15/09/00,Kocaelispor,Galatasaray,1,4,A,1,1,D,,,,4.7,3.4,1.5,7,3.2,1.4,4.8,3.5,1.55
