round,home_team,home_score,away_score,away_team,notes
1,Duisburg,2,2,Dortmund,"(Pavlic 19 p, Gecks 37 - Lotz 31 o, Neuberger 84)[Aug 19]"
1,Aachen,0,4,Bayern,"(Roth 22, Hermandung 61 o, Ohlhauser 74,Beckenbauer 82)"
1,Nürnberg,2,0,Karlsruher,"(Strehl 30, 32)"
1,K'lautern,2,1,Neunkirchen,"(Roggensack 23, Kapitulski 68 - Hermesdorf 84)"
1,Werder,1,4,Hamburger,"(Rupp 10 - H.Schulz 43, B.Dörfel 65, Kurbjuhn 80,G.Dörfel 88)"
1,Stuttgart,4,0,Frankfurt,"(Köppel 21, 47, Friedrich 31 o, Gress 55)"
1,Schalke,3,4,M'gladbach,"(Rausch 85, 88, W.Kraus 73 - Meyer 8, 32, 77, Laumen 52)"
1,TSV 1860,1,0,B'schweig,(Bründl 89)
1,Hannover,3,0,1. FC Köln,"(Heynckes 71, 83, Bandura 5)"
2,B'schweig,1,0,Schalke,(W.Schmidt 21)
2,M'gladbach,1,1,Stuttgart,(Meyer 69 - Weiß 3)
2,Frankfurt,5,3,Werder,"(Steinmann 15 o, Bechtold 21, Solz 36, 45 -Höttges 16, Schütz 72, H.Kraus 89)"
2,Hamburger,1,1,K'lautern,(U.Seeler 13 - Kentschke 90)
2,Neunkirchen,2,2,Nürnberg,"(Linsenmaier 44, 86 - Strehl 73, L.Müller 90)"
2,Karlsruher,0,2,Duisburg,"(van Haaren 77, Gecks 84)"
2,Dortmund,1,0,Aachen,"(Wosab 44)(sent off: Pawellek (Aachen, 76))"
2,Bayern,1,0,Hannover,(Roth 83)
2,1. FC Köln,1,0,TSV 1860,(Flohe 76)
3,Aachen,2,1,Karlsruher,"(Martinelli 66, 88 - Ehmann 70)"
3,Duisburg,3,1,Neunkirchen,"(H.Wild 32, Kostedde 62, van Haaren 81 - Lang 24)"
3,Nürnberg,4,0,Hamburger,"(Brungs 8, 74, Starek 35, Cebinac 81)(sent off: Sandmann (Hamburger, 43))"
3,K'lautern,1,1,Frankfurt,(Kapitulski 29 p - Lotz 89) [81 Klimaschewski(K'lautern) m/pen]
3,Werder,0,4,M'gladbach,"(Meyer 40, 83, Ackermann 65, Meyer 83)"
3,Stuttgart,0,0,B'schweig,
3,Schalke,0,0,TSV 1860,
3,Bayern,0,3,1. FC Köln,"(Löhr 59, 89, Rühl 51)"
3,Hannover,2,2,Dortmund,"(Straschitz 41, Skoblar 81 - Emmerich 61, 67)"
4,TSV 1860,3,3,Stuttgart,"(Grosser 8, Küppers 37, Kohlars 52 - Köppel 65, 73,Schmitt 89)"
4,B'schweig,0,3,Werder,"(Görts 5, Ferner 61, Rupp 88)"
4,M'gladbach,8,2,K'lautern,"(Meyer 8, 40, 63, Wimmer 50, 79, Netzer 36 p,Ackermann 47, Laumen 68 - Roggensack 25,Kapitulski 75)"
4,Frankfurt,1,2,Nürnberg,"(Lotz 23 - Strehl 45, Brungs 88)"
4,Hamburger,1,3,Duisburg,"(Krämer 32 - Budde 12, van Haaren 24, Gecks 66)"
4,Neunkirchen,0,1,Aachen,(Glenski 28) [78 Gronen (Aachen) m/pen]
4,Karlsruher,3,1,Hannover,"(C.Müller 65, 66, Herrmann 40 - Siemensmeyer 29 p)[30 Marx (Karlsruher) m/pen](sent off: Skoblar (Hannover, 50))"
